"TF","HD_SW480"
"MYOD1","0.263269468389492112"
"NANOG","1.546491939957985062"
"NCOA1","2.439776635949648220"
"NCOA2","0.343051457571569018"
"NCOA3","3.862819334106512681"
"NEUROD1","0.730309908943853170"
"NFATC1","2.278704258201502242"
"NFATC2","0.360661713633018799"
"NFE2","0.172962738562716184"
"NFE2L1","2.661289309596805985"
"NFE2L2","0.969712886470143531"
"NFIC","-1.251244677790843030"
"NFKB1","2.409840943108280786"
"NFKB2","0.006307764129812586"
"NFYA","-1.153564668119033687"
"NFYB","1.450959510872270153"
"NR1H2","1.829498548785566836"
"NR1H3","1.691549401510508810"
"NR2C2","-2.495512915310210023"
"NR2F1","-0.926123651191186004"
"NR2F6","2.238192577295329944"
"NR3C1","-2.106018233781777216"
"NR4A1","1.159108295793125798"
"NR5A1","0.675495164181952878"
"NR5A2","1.234523696703221152"
"NRF1","-0.633955709856907190"
"ONECUT1","3.461453381697824572"
"OTX2","0.102835417567567089"
"PAX5","0.042776972932449087"
"PAX6","0.546812653500705736"
"PAX8","-0.028443306394762467"
"PBX2","1.497144391151135734"
"PBX3","1.486176522407081091"
"PDX1","2.955551477745427036"
"PGR","0.158340454114633378"
"PKNOX1","1.056942614855030049"
"POU2F1","1.212425711830141806"
"POU2F2","1.014435167047509356"
"POU4F2","1.854582758550495258"
"POU5F1","3.373155579685720884"
"PPARA","0.336157302734326202"
"PPARG","-0.077714998157912912"
"PRDM1","1.583661321483933460"
"PRDM14","1.178549818715344255"
"PROX1","0.806209083222871881"
"RARA","0.591199666420249015"
"RBPJ","2.671823042475469645"
"REL","1.365050746344105281"
"RELA","1.908960111491700529"
"RELB","-0.497982701990222210"
"REST","1.673149457873073231"
"RFX1","0.251273741221723246"
"RFX2","-0.467580998320814789"
"RFX5","2.375641458371648085"
"RUNX1","1.056089881100447769"
"RUNX2","4.219413714108492641"
"RUNX3","-1.990425510231008444"
"RXRA","0.386722703574030158"
"SIX2","0.855346060460593138"
"SIX5","1.202898899863903193"
"SMAD1","-0.338042940921115864"
"SMAD3","-1.316093343621627776"
"SMAD4","-0.259014204772905099"
"SMAD5","0.368725501006850476"
"SNAI2","1.017943679789491629"
"SNAPC4","-1.268850500705384965"
"SOX10","0.093482818058502851"
"SOX11","1.575543242525165866"
"SOX13","1.363632176024329956"
"SOX2","0.852296186722119042"
"SOX6","0.529932439481579531"
"SOX9","0.396191504439454167"
"SP1","2.133739916758593314"
"SP2","0.795641954993406175"
"SP3","2.690018499936377427"
"SP4","2.370176189028922131"
"SPI1","3.284000380079433956"
"SPIB","1.398613771314600296"
"SREBF1","0.597965602241824046"
"SREBF2","-0.770133808963179067"
"SRF","0.628051768478600114"
"STAT1","2.211589426364242605"
"STAT2","3.482301723432147611"
"STAT3","1.631737412251502706"
"STAT4","-1.014972303285134547"
"STAT5A","0.998208182219820883"
"STAT5B","1.469524397559333950"
"STAT6","0.154367900697980870"
"TAL1","-1.398496767663920837"
"TBP","3.473738643537438886"
"TBX21","1.701232243844159608"
"TCF12","3.955607545843295547"
"TCF3","-0.564835474207279864"
"TCF4","3.648977289229215604"
"TCF7","1.940890382191197805"
"TCF7L2","-0.366333391317823054"
"TEAD1","4.607912988474492266"
"TEAD2","-0.121094901649468817"
"TEAD4","2.731809896420184458"
"TFAP2A","-0.397360069407728889"
"TFAP2C","-0.993138221160966284"
"TFAP4","-0.236859993567170857"
"TFDP1","2.176749433529124644"
"TGIF2","1.655019085282103841"
"THAP1","-0.099611321636647085"
"THAP11","-0.874927267370563477"
"TP53","1.854592283564568067"
"TP63","-0.414285737048094682"
"TP73","-0.634157148979631491"
"TWIST1","0.971840079504388221"
"USF1","1.912471177121134680"
"USF2","2.964469407427039904"
"VDR","-0.102184286528015464"
"WT1","-0.358253798927087586"
"XBP1","-0.185077606792750565"
"YY1","0.527571706249954309"
"ZBED1","0.648644080030548742"
"ZBTB11","0.520185485603002040"
"ZBTB33","1.078155172583764365"
"ZBTB7A","-1.430131537954566712"
"ZEB1","-1.355991927808689157"
"ZEB2","-1.342037131163939412"
"ZFX","-0.922448573619437995"
"ZKSCAN1","0.793225466516415123"
"ZNF143","-0.592769156900028960"
"ZNF217","1.063952561821456033"
"ZNF24","-0.401648519115068270"
"ZNF263","2.241075024534515236"
"ZNF274","-0.184880721647309842"
"ZNF384","3.353782538542066760"
"ZNF592","1.128075567523614708"
"ZNF639","1.379991099502238194"
"ZNF740","1.384175433210481865"
