"TF","LD_HCT116"
"SIX2","1.97884473711212894"
"SIX5","3.25705733263911856"
"SMAD1","0.13338344751512204"
"SMAD3","4.26638284464252049"
"SMAD4","3.68348602381725954"
"SMAD5","-1.98785875128063294"
"SNAI2","-3.71135933737204615"
"SNAPC4","1.45323866692847781"
"SOX10","1.39962777234264957"
"SOX11","-1.61354046821489017"
"SOX13","2.27334879099238085"
"SOX2","1.69647605908356702"
"SOX6","-0.09737367078331159"
"SOX9","1.55377365220149311"
"SP1","1.22077199907112499"
"SP2","0.50035937591140445"
"SP3","1.56676590189813902"
"SP4","0.62431755013467527"
"SPI1","1.83951547862028431"
"SPIB","-0.23435932057340880"
"SREBF1","-3.65998876900288028"
"SREBF2","-4.46914810967061804"
"SRF","2.08986798228115767"
"STAT1","2.90742486312862214"
"STAT2","2.25991439473216094"
"STAT3","2.54904988579223568"
"STAT4","0.75298096697390848"
"STAT5A","1.24738238266010160"
"STAT5B","0.78382610628045379"
"STAT6","1.78473088896162602"
"TAL1","0.74546870173873259"
"TBP","2.22945283311940567"
"TBX21","2.43927507578459313"
"TCF12","1.58866296533759210"
"TCF3","0.39329985169268827"
"TCF4","-0.46012739265901775"
"TCF7","-0.38268379288917381"
"TCF7L2","0.08748612667767319"
"TEAD1","2.10018289510460621"
"TEAD2","2.80536688941319934"
"TEAD4","3.68544292115800776"
"TFAP2A","0.89522654356346298"
"TFAP2C","1.47575498954486894"
"TFAP4","3.34421242052159862"
"TFDP1","-5.40591270943298507"
"TGIF2","-1.56731316376212404"
"THAP1","5.43755954630691818"
"THAP11","2.92505896013243616"
"TP53","1.05245772695263562"
"TP63","1.16955193228682042"
"TP73","1.29097494768221432"
"TWIST1","1.02246858831495735"
"USF1","-0.08061727890136830"
"USF2","-0.59209633567500575"
"VDR","2.43207508952707796"
"WT1","0.52442626110263180"
"XBP1","0.04405770492720505"
"YY1","-0.36765135150058142"
"ZBED1","-0.32564939206655108"
"ZBTB11","-2.39151273504093442"
"ZBTB33","-2.88705238744588399"
"ZBTB7A","-7.89852145555868113"
"ZEB1","-0.39726024392632286"
"ZEB2","0.98562518083369877"
"ZFX","-0.62582701686360631"
"ZKSCAN1","2.72503655659783428"
"ZNF143","2.61725874563969718"
"ZNF217","-1.14471466525560861"
"ZNF24","0.42503531150272028"
"ZNF263","-13.27764297577331476"
"ZNF274","-0.27343550467782457"
"ZNF384","2.09953147810998653"
"ZNF592","1.01875091803529183"
"ZNF639","2.29722000513065794"
"ZNF740","1.32791928721085650"
