"TF","HD_HCT116"
"MITF","-0.68004259104550158"
"MNT","-0.70920291201863805"
"MXI1","-0.81742911816656294"
"MYB","0.06613760689654198"
"MYBL2","-1.07317963303729957"
"MYC","4.57496679866152700"
"MYCN","4.95699570156773284"
"MYOD1","-2.42459610071092602"
"NANOG","-4.09047865672521027"
"NCOA1","-0.39914795299635364"
"NCOA2","-2.58112747916115604"
"NCOA3","-0.83135699733579405"
"NEUROD1","-0.79212982522256736"
"NFATC1","-1.38291385857261195"
"NFE2","-2.74434113538986590"
"NFE2L1","-1.28860437167117081"
"NFE2L2","-0.43219324693993016"
"NFIC","-0.27299233627954367"
"NFKB1","-2.33522349352946401"
"NFKB2","1.44565562164067707"
"NFYA","0.28200543448032306"
"NFYB","1.26985556730959792"
"NR1H2","-1.97616562717671806"
"NR1H3","-2.66433037041765974"
"NR2C2","2.57754397837571414"
"NR2F1","-1.45113795647906696"
"NR2F6","3.03079363105267330"
"NR3C1","-0.87267225855659858"
"NR4A1","-2.20432191116598020"
"NR5A2","-1.56255449799878088"
"NRF1","2.41958533338992021"
"ONECUT1","-1.83095050910135493"
"OTX2","-2.08551362032888443"
"PAX5","-0.71849876107538102"
"PAX6","-0.10443089958009157"
"PAX8","0.86660200893000572"
"PBX2","-2.56784849704143037"
"PBX3","-2.02856896518178997"
"PDX1","-2.69631581884912208"
"PGR","-0.52967051664231835"
"PKNOX1","-1.67366332667977713"
"POU2F1","-1.52764592627680029"
"POU2F2","-1.73533167520667386"
"POU4F2","1.05710982432964995"
"POU5F1","-2.66691833598142169"
"PPARA","0.50437464053023084"
"PPARG","-1.21281270647096062"
"PRDM1","-2.23551977651546041"
"PRDM14","-3.84023250196912125"
"PROX1","-0.60881914794890968"
"RARA","-3.90978714484880063"
"RBPJ","-1.90533322301534613"
"REL","-0.54199564834841774"
"RELA","-1.93976891020118769"
"RELB","0.50980376683379303"
"REST","-1.88732475542821443"
"RFX1","0.26674099140351892"
"RFX2","-0.07493310424344068"
"RFX5","-4.39547107134345172"
"RUNX1","-2.80185068887717925"
"RUNX2","-2.64923220891947997"
"RUNX3","-0.23346520734086390"
"RXRA","0.54964388937019393"
"SIX2","-2.20982260073196501"
"SIX5","2.59479241460065957"
"SMAD1","-2.79713672522109569"
"SMAD3","-1.96450510489193997"
"SMAD4","-1.63175424904179533"
"SMAD5","1.03365361015589063"
"SNAI2","1.69177864052241667"
"SNAPC4","4.04460231129121794"
"SOX10","-3.15453554301719485"
"SOX11","0.56601276702750114"
"SOX13","-2.71357038925456306"
"SOX2","-0.28988719486254216"
"SOX6","-3.04220544323043773"
"SOX9","-1.82790976762305690"
"SP1","-1.07523125153900545"
"SP2","-0.12480523698180349"
"SP3","-2.87002625667545574"
"SP4","1.03642239553792659"
"SPI1","-1.72034334101892861"
"SPIB","-2.96541366317876953"
"SREBF1","-2.76767620995094488"
"SREBF2","-1.62914356276630978"
"SRF","1.50895200552354525"
"STAT1","-0.70977307287898217"
"STAT2","2.22079572003961578"
"STAT3","0.09208533728704030"
"STAT4","-0.12124630325783677"
"STAT5A","0.84525065509738995"
"STAT5B","0.84963550439064783"
"STAT6","-0.31152426880710959"
"TAL1","-0.65380648785406692"
"TBP","-0.64667085143471026"
"TBX21","-5.57047532602122519"
"TCF12","-2.43686868258101397"
"TCF3","0.34622547570592882"
"TCF4","-4.00984329769836290"
"TCF7","-0.62052715971383843"
"TCF7L2","-0.37647280857541965"
"TEAD1","-3.11110073095765527"
"TEAD2","-0.01342326967990900"
"TEAD4","-3.55503562653566574"
"TFAP2A","-1.61334826889351013"
"TFAP2C","-1.52213093189066706"
"TFAP4","-2.60867991342075767"
"TFDP1","4.57765812752907486"
"TGIF2","-1.02901060415255197"
"THAP1","0.70499224412994421"
"THAP11","-3.38117011539961032"
"TP53","-2.89908542964462956"
"TP63","-2.28720196109632345"
"TP73","-1.99429635038157027"
"TWIST1","-0.33978931698950204"
"USF1","1.64279179811742049"
"USF2","1.08776806203123089"
"VDR","-1.66753088927314663"
"WT1","-0.84027279753646378"
"XBP1","-0.40759875605525098"
"YY1","0.25546973115902444"
"ZBED1","1.57463118190236062"
"ZBTB11","0.05040302325432967"
"ZBTB33","0.89059570315591219"
"ZBTB7A","-2.03615279280487549"
"ZEB1","1.71188720231550939"
"ZEB2","2.51998764652990248"
"ZFX","3.05107356682052844"
"ZKSCAN1","-1.07621372429920648"
"ZNF143","0.38249944084776283"
"ZNF217","-2.44006404392875442"
"ZNF24","1.11723698702941787"
"ZNF263","0.28143326440756894"
"ZNF274","0.24203914664496859"
"ZNF384","-1.50799010324259264"
"ZNF592","1.03655823637716238"
"ZNF639","-0.40142761560643325"
"ZNF740","1.63151743731042198"
