"TF","Best_Rank","Mean_Rank","Library_Count","Best_P_Value","Best_Adjusted_P_Value","Best_Combined_Score","Library","Top_Terms","Rank","Score","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","Method_Direction","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"CCND1","124","373.50000000000000","2","0.7142815109415614482912815219606272876262664794921875000000000000000000000","0.975282564236840454618970852607162669301033020019531250000000000000000","0.280662205346895843316","Transcription_Factor_PPIs(rank=124, adjP=0.998); ChEA_2022(rank=623, adjP=0.975)","CCND1; CCND1 20090754 ChIP-ChIP RETINA Mouse","279","0.280662205346895843316","enrichr","279","0.280662205346895843316","0.7142815109415614482912815219606272876262664794921875000000000000000000000","0.975282564236840454618970852607162669301033020019531250000000000000000","","0","",NA,NA,NA
"ARNTL","125","125.00000000000000","1","0.1383128189208150671252184338300139643251895904541015625000000000000000000","0.422967169423437761022199765648110769689083099365234375000000000000000","6.813287489586405065722","TRRUST_Transcription_Factors_2019(rank=125, adjP=0.423)","ARNTL mouse","280","6.813287489586405065722","enrichr","280","6.813287489586405065722","0.1383128189208150671252184338300139643251895904541015625000000000000000000","0.422967169423437761022199765648110769689083099365234375000000000000000","","4","ARCHS4--Coexpression(rank=88); ReMap--ChIP-seq(rank=152); Enrichr--Queries(rank=619); GTEx--Coexpression(rank=1121)","225","0.05405000000000000","ARCHS4 Coexpression,0.05405"
"SOX11","126","126.00000000000000","1","0.0000269932867962459219690271594593866666400572285056114196777343750000000","0.000160888558603021350826289825874937378102913498878479003906250000000","18.525226880736088475032","ChEA_2022(rank=126, adjP=0.000161)","SOX11 23321250 ChIP-ChIP Z138-A519-JVM2 Human","281","18.525226880736088475032","enrichr","281","18.525226880736088475032","0.0000269932867962459219690271594593866666400572285056114196777343750000000","0.000160888558603021350826289825874937378102913498878479003906250000000","","5","Literature--ChIP-seq(rank=41); ReMap--ChIP-seq(rank=117); Enrichr--Queries(rank=132); ARCHS4--Coexpression(rank=187); GTEx--Coexpression(rank=362)","360","0.09402000000000001","Enrichr Queries,0.09402"
"CREB5","126","126.00000000000000","1","0.1383128189208150671252184338300139643251895904541015625000000000000000000","0.422967169423437761022199765648110769689083099365234375000000000000000","6.813287489586405065722","TRRUST_Transcription_Factors_2019(rank=126, adjP=0.423)","CREB5 human","282","6.813287489586405065722","enrichr","282","6.813287489586405065722","0.1383128189208150671252184338300139643251895904541015625000000000000000000","0.422967169423437761022199765648110769689083099365234375000000000000000","","3","Enrichr--Queries(rank=93); GTEx--Coexpression(rank=394); ARCHS4--Coexpression(rank=422)","268","0.06623999999999999","Enrichr Queries,0.06624"
"OCT4","127","127.00000000000000","1","0.0000284903589845427485127173083956364507685066200792789459228515625000000","0.000168474485018831466980049338388880642014555633068084716796875000000","16.073775303384209678370","ChEA_2022(rank=127, adjP=0.000168)","OCT4 21477851 ChIP-Seq ESCs Mouse","283","16.073775303384209678370","enrichr","283","16.073775303384209678370","0.0000284903589845427485127173083956364507685066200792789459228515625000000","0.000168474485018831466980049338388880642014555633068084716796875000000","","0","",NA,NA,NA
"NR4A2","127","246.33333333333334","3","0.1383128189208150671252184338300139643251895904541015625000000000000000000","0.272409108273111488784934408613480627536773681640625000000000000000000","6.813287489586405065722","TRRUST_Transcription_Factors_2019(rank=127, adjP=0.423); Transcription_Factor_PPIs(rank=153, adjP=0.998); ChEA_2022(rank=459, adjP=0.272)","NR4A2 mouse; NR4A2; NR4A2 19515692 ChIP-ChIP MN9D Mouse","284","6.813287489586405065722","enrichr","284","6.813287489586405065722","0.1383128189208150671252184338300139643251895904541015625000000000000000000","0.272409108273111488784934408613480627536773681640625000000000000000000","","4","GTEx--Coexpression(rank=57); Literature--ChIP-seq(rank=110); Enrichr--Queries(rank=415); ARCHS4--Coexpression(rank=822)","154","0.03547000000000000","GTEx Coexpression,0.03547"
"MNX1","128","128.00000000000000","1","0.0000290272890802076188767992526162942112932796590030193328857421875000000","0.000170308547650280494830180022525212280015693977475166320800781250000","16.009574468433061866790","ChEA_2022(rank=128, adjP=0.00017)","MNX1 26342078 ChIP-Seq MIN6-4N Mouse","285","16.009574468433061866790","enrichr","285","16.009574468433061866790","0.0000290272890802076188767992526162942112932796590030193328857421875000000","0.000170308547650280494830180022525212280015693977475166320800781250000","","4","Literature--ChIP-seq(rank=39); GTEx--Coexpression(rank=563); Enrichr--Queries(rank=575); ARCHS4--Coexpression(rank=877)","715","0.23780000000000001","Literature ChIP-seq,0.2378"
"OTX2","128","128.00000000000000","1","0.1383128189208150671252184338300139643251895904541015625000000000000000000","0.422967169423437761022199765648110769689083099365234375000000000000000","6.813287489586405065722","TRRUST_Transcription_Factors_2019(rank=128, adjP=0.423)","OTX2 human","286","6.813287489586405065722","enrichr","286","6.813287489586405065722","0.1383128189208150671252184338300139643251895904541015625000000000000000000","0.422967169423437761022199765648110769689083099365234375000000000000000","","4","ReMap--ChIP-seq(rank=72); GTEx--Coexpression(rank=248); Enrichr--Queries(rank=573); ARCHS4--Coexpression(rank=1053)","529","0.15429999999999999","GTEx Coexpression,0.1543"
"TBX2","129","206.50000000000000","2","0.0000316756937200732860372351384903311100060818716883659362792968750000000","0.000183973344829211038183383597477416060428367927670478820800781250000","14.837947891829280422371","ChEA_2022(rank=129, adjP=0.000184); TRRUST_Transcription_Factors_2019(rank=284, adjP=0.555)","TBX2 33478486 ChIP-Seq IMR90 Human Lung; TBX2 mouse","287","14.837947891829280422371","enrichr","287","14.837947891829280422371","0.0000316756937200732860372351384903311100060818716883659362792968750000000","0.000183973344829211038183383597477416060428367927670478820800781250000","","3","Enrichr--Queries(rank=277); GTEx--Coexpression(rank=326); ARCHS4--Coexpression(rank=1139)","632","0.19730000000000000","Enrichr Queries,0.1973"
"SMAD2/3","130","130.00000000000000","1","0.0000318462514351497050679902500736062620489974506199359893798828125000000","0.000183973344829211038183383597477416060428367927670478820800781250000","15.775773290310086238719","ChEA_2022(rank=130, adjP=0.000184)","SMAD2/3 21741376 ChIP-Seq EPCs Human","288","15.775773290310086238719","enrichr","288","15.775773290310086238719","0.0000318462514351497050679902500736062620489974506199359893798828125000000","0.000183973344829211038183383597477416060428367927670478820800781250000","","0","",NA,NA,NA
