"TF","HD_HCT116","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"LYL1","-2.09824609952654573","-2.09824609952654573","2.09824609952654573","Repressed","89","viper","89","2.09824609952654573",NA,NA,"5","Literature--ChIP-seq(rank=126); ReMap--ChIP-seq(rank=222); ARCHS4--Coexpression(rank=674); Enrichr--Queries(rank=905); GTEx--Coexpression(rank=1349)","1155","0.413999999999999979","ARCHS4 Coexpression,0.414"
"OTX2","-2.08551362032888443","-2.08551362032888443","2.08551362032888443","Repressed","90","viper","90","2.08551362032888443",NA,NA,"4","ReMap--ChIP-seq(rank=271); GTEx--Coexpression(rank=565); Enrichr--Queries(rank=1146); ARCHS4--Coexpression(rank=1315)","1041","0.351600000000000024","GTEx Coexpression,0.3516"
"FLI1","-2.08452304329902027","-2.08452304329902027","2.08452304329902027","Repressed","91","viper","91","2.08452304329902027",NA,NA,"6","ReMap--ChIP-seq(rank=19); Literature--ChIP-seq(rank=72); ENCODE--ChIP-seq(rank=111); GTEx--Coexpression(rank=187); ARCHS4--Coexpression(rank=230); Enrichr--Queries(rank=1011)","270","0.063969999999999999","ReMap ChIP-seq,0.06397"
"FOXA1","-2.07198496026125634","-2.07198496026125634","2.07198496026125634","Repressed","92","viper","92","2.07198496026125634",NA,NA,"6","ARCHS4--Coexpression(rank=12); Enrichr--Queries(rank=30); ENCODE--ChIP-seq(rank=37); Literature--ChIP-seq(rank=41); ReMap--ChIP-seq(rank=209); GTEx--Coexpression(rank=288)","25","0.007371000000000000","ARCHS4 Coexpression,0.007371"
"BHLHE22","2.06171340676350834","2.06171340676350834","2.06171340676350834","Activated","93","viper","93","2.06171340676350834",NA,NA,"3","ReMap--ChIP-seq(rank=169); ARCHS4--Coexpression(rank=669); GTEx--Coexpression(rank=873)","1148","0.410899999999999987","ARCHS4 Coexpression,0.4109"
"KLF13","-2.05607625906063163","-2.05607625906063163","2.05607625906063163","Repressed","94","viper","94","2.05607625906063163",NA,NA,"4","ReMap--ChIP-seq(rank=69); GTEx--Coexpression(rank=311); Enrichr--Queries(rank=389); ARCHS4--Coexpression(rank=545)","675","0.193500000000000005","GTEx Coexpression,0.1935"
"HIF1A","-2.04429452287137270","-2.04429452287137270","2.04429452287137270","Repressed","95","viper","95","2.04429452287137270",NA,NA,"5","Literature--ChIP-seq(rank=78); ReMap--ChIP-seq(rank=164); ARCHS4--Coexpression(rank=227); GTEx--Coexpression(rank=575); Enrichr--Queries(rank=692)","515","0.139399999999999996","ARCHS4 Coexpression,0.1394"
"ZBTB7A","-2.03615279280487504","-2.03615279280487504","2.03615279280487504","Repressed","96","viper","96","2.03615279280487504",NA,NA,"5","ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=20); GTEx--Coexpression(rank=93); ARCHS4--Coexpression(rank=479); Enrichr--Queries(rank=1002)","102","0.025420000000000002","ENCODE ChIP-seq,0.02542"
"PBX3","-2.02856896518178997","-2.02856896518178997","2.02856896518178997","Repressed","97","viper","97","2.02856896518178997",NA,NA,"5","ENCODE--ChIP-seq(rank=40); Enrichr--Queries(rank=148); ReMap--ChIP-seq(rank=163); ARCHS4--Coexpression(rank=728); GTEx--Coexpression(rank=765)","405","0.105399999999999994","Enrichr Queries,0.1054"
"ELK1","-2.02318248209545448","-2.02318248209545448","2.02318248209545448","Repressed","98","viper","98","2.02318248209545448",NA,NA,"5","ENCODE--ChIP-seq(rank=79); Literature--ChIP-seq(rank=98); GTEx--Coexpression(rank=110); ReMap--ChIP-seq(rank=220); ARCHS4--Coexpression(rank=1029)","288","0.068449999999999997","GTEx Coexpression,0.06845"
"MEIS1","-2.01621074849584625","-2.01621074849584625","2.01621074849584625","Repressed","99","viper","99","2.01621074849584625",NA,NA,"5","Literature--ChIP-seq(rank=65); ReMap--ChIP-seq(rank=259); GTEx--Coexpression(rank=290); Enrichr--Queries(rank=333); ARCHS4--Coexpression(rank=485)","640","0.180499999999999994","GTEx Coexpression,0.1805"
"BCL6","2.00556116978890842","2.00556116978890842","2.00556116978890842","Activated","100","viper","100","2.00556116978890842",NA,NA,"5","Literature--ChIP-seq(rank=131); Enrichr--Queries(rank=169); ReMap--ChIP-seq(rank=178); ARCHS4--Coexpression(rank=332); GTEx--Coexpression(rank=876)","447","0.120399999999999993","Enrichr Queries,0.1204"
"TP73","-1.99429635038157049","-1.99429635038157049","1.99429635038157049","Repressed","101","viper","101","1.99429635038157049",NA,NA,"3","GTEx--Coexpression(rank=48); Enrichr--Queries(rank=113); ARCHS4--Coexpression(rank=147)","120","0.029870000000000001","GTEx Coexpression,0.02987"
"IRF4","-1.97729435525136510","-1.97729435525136510","1.97729435525136510","Repressed","102","viper","102","1.97729435525136510",NA,NA,"5","ENCODE--ChIP-seq(rank=118); ReMap--ChIP-seq(rank=172); ARCHS4--Coexpression(rank=387); GTEx--Coexpression(rank=543); Enrichr--Queries(rank=851)","779","0.237699999999999995","ARCHS4 Coexpression,0.2377"
"NR1H2","-1.97616562717671806","-1.97616562717671806","1.97616562717671806","Repressed","103","viper","103","1.97616562717671806",NA,NA,"4","ReMap--ChIP-seq(rank=7); GTEx--Coexpression(rank=266); ARCHS4--Coexpression(rank=586); Enrichr--Queries(rank=902)","93","0.023570000000000001","ReMap ChIP-seq,0.02357"
"GFI1B","-1.96662955106211390","-1.96662955106211390","1.96662955106211390","Repressed","104","viper","104","1.96662955106211390",NA,NA,"5","ReMap--ChIP-seq(rank=35); Literature--ChIP-seq(rank=111); ARCHS4--Coexpression(rank=397); Enrichr--Queries(rank=706); GTEx--Coexpression(rank=1177)","439","0.117800000000000002","ReMap ChIP-seq,0.1178"
"SMAD3","-1.96450510489194019","-1.96450510489194019","1.96450510489194019","Repressed","105","viper","105","1.96450510489194019",NA,NA,"5","Literature--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=24); Enrichr--Queries(rank=362); ARCHS4--Coexpression(rank=370); GTEx--Coexpression(rank=544)","182","0.042680000000000003","Literature ChIP-seq,0.04268"
"EGR1","-1.95944774222811624","-1.95944774222811624","1.95944774222811624","Repressed","106","viper","106","1.95944774222811624",NA,NA,"6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=8); ReMap--ChIP-seq(rank=28); GTEx--Coexpression(rank=140); Enrichr--Queries(rank=294); ARCHS4--Coexpression(rank=378)","74","0.018290000000000001","Literature ChIP-seq,0.01829"
"RELA","-1.93976891020118791","-1.93976891020118791","1.93976891020118791","Repressed","107","viper","107","1.93976891020118791",NA,NA,"6","Literature--ChIP-seq(rank=22); ENCODE--ChIP-seq(rank=103); ReMap--ChIP-seq(rank=179); GTEx--Coexpression(rank=399); ARCHS4--Coexpression(rank=815); Enrichr--Queries(rank=936)","500","0.134099999999999997","Literature ChIP-seq,0.1341"
"RBPJ","-1.90533322301534591","-1.90533322301534591","1.90533322301534591","Repressed","108","viper","108","1.90533322301534591",NA,NA,"5","Literature--ChIP-seq(rank=156); ReMap--ChIP-seq(rank=245); ARCHS4--Coexpression(rank=620); Enrichr--Queries(rank=826); GTEx--Coexpression(rank=1216)","1095","0.380800000000000027","ARCHS4 Coexpression,0.3808"
"ARNT","-1.90267000616025284","-1.90267000616025284","1.90267000616025284","Repressed","109","viper","109","1.90267000616025284",NA,NA,"5","Literature--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=140); GTEx--Coexpression(rank=692); Enrichr--Queries(rank=943); ARCHS4--Coexpression(rank=1073)","417","0.109799999999999995","Literature ChIP-seq,0.1098"
"REST","-1.88732475542821443","-1.88732475542821443","1.88732475542821443","Repressed","110","viper","110","1.88732475542821443",NA,NA,"6","ReMap--ChIP-seq(rank=83); ENCODE--ChIP-seq(rank=84); Literature--ChIP-seq(rank=92); GTEx--Coexpression(rank=428); Enrichr--Queries(rank=1014); ARCHS4--Coexpression(rank=1094)","856","0.266299999999999981","GTEx Coexpression,0.2663"
"GATA2","-1.85770061585894197","-1.85770061585894197","1.85770061585894197","Repressed","111","viper","111","1.85770061585894197",NA,NA,"6","ENCODE--ChIP-seq(rank=16); Literature--ChIP-seq(rank=55); Enrichr--Queries(rank=89); ReMap--ChIP-seq(rank=137); GTEx--Coexpression(rank=299); ARCHS4--Coexpression(rank=488)","268","0.063390000000000002","Enrichr Queries,0.06339"
"JUNB","-1.83918899628751653","-1.83918899628751653","1.83918899628751653","Repressed","112","viper","112","1.83918899628751653",NA,NA,"4","ARCHS4--Coexpression(rank=156); GTEx--Coexpression(rank=162); ReMap--ChIP-seq(rank=202); Enrichr--Queries(rank=478)","371","0.095820000000000002","ARCHS4 Coexpression,0.09582"
"ONECUT1","-1.83095050910135493","-1.83095050910135493","1.83095050910135493","Repressed","113","viper","113","1.83095050910135493",NA,NA,"4","ReMap--ChIP-seq(rank=264); Enrichr--Queries(rank=950); GTEx--Coexpression(rank=1269); ARCHS4--Coexpression(rank=1327)","1489","0.676599999999999979","Enrichr Queries,0.6766"
"SOX9","-1.82790976762305668","-1.82790976762305668","1.82790976762305668","Repressed","114","viper","114","1.82790976762305668",NA,NA,"5","Literature--ChIP-seq(rank=12); ReMap--ChIP-seq(rank=22); ARCHS4--Coexpression(rank=123); Enrichr--Queries(rank=186); GTEx--Coexpression(rank=478)","302","0.073169999999999999","Literature ChIP-seq,0.07317"
"ETV4","-1.79799918184254848","-1.79799918184254848","1.79799918184254848","Repressed","115","viper","115","1.79799918184254848",NA,NA,"4","Enrichr--Queries(rank=64); ReMap--ChIP-seq(rank=68); GTEx--Coexpression(rank=631); ARCHS4--Coexpression(rank=757)","195","0.045580000000000002","Enrichr Queries,0.04558"
"MAFF","-1.78888469624431767","-1.78888469624431767","1.78888469624431767","Repressed","116","viper","116","1.78888469624431767",NA,NA,"5","Enrichr--Queries(rank=77); ENCODE--ChIP-seq(rank=91); ReMap--ChIP-seq(rank=160); GTEx--Coexpression(rank=173); ARCHS4--Coexpression(rank=1480)","232","0.054840000000000000","Enrichr Queries,0.05484"
"ARNTL","-1.78616516657409385","-1.78616516657409385","1.78616516657409385","Repressed","117","viper","117","1.78616516657409385",NA,NA,"4","Enrichr--Queries(rank=178); ARCHS4--Coexpression(rank=225); ReMap--ChIP-seq(rank=282); GTEx--Coexpression(rank=901)","470","0.126799999999999996","Enrichr Queries,0.1268"
"FOXA2","-1.77510013194679384","-1.77510013194679384","1.77510013194679384","Repressed","118","viper","118","1.77510013194679384",NA,NA,"6","Literature--ChIP-seq(rank=11); ENCODE--ChIP-seq(rank=64); ReMap--ChIP-seq(rank=174); GTEx--Coexpression(rank=305); Enrichr--Queries(rank=351); ARCHS4--Coexpression(rank=1131)","283","0.067070000000000005","Literature ChIP-seq,0.06707"
"FOXJ2","-1.74597765415804584","-1.74597765415804584","1.74597765415804584","Repressed","119","viper","119","1.74597765415804584",NA,NA,"4","ReMap--ChIP-seq(rank=241); Enrichr--Queries(rank=533); ARCHS4--Coexpression(rank=754); GTEx--Coexpression(rank=1102)","1094","0.379599999999999993","Enrichr Queries,0.3796"
"POU2F2","-1.73533167520667386","-1.73533167520667386","1.73533167520667386","Repressed","120","viper","120","1.73533167520667386",NA,NA,"5","ENCODE--ChIP-seq(rank=104); ReMap--ChIP-seq(rank=203); ARCHS4--Coexpression(rank=416); Enrichr--Queries(rank=537); GTEx--Coexpression(rank=991)","824","0.255500000000000005","ARCHS4 Coexpression,0.2555"
"FOXM1","1.73330278951239847","1.73330278951239847","1.73330278951239847","Activated","121","viper","121","1.73330278951239847",NA,NA,"6","GTEx--Coexpression(rank=25); ARCHS4--Coexpression(rank=28); Literature--ChIP-seq(rank=47); ENCODE--ChIP-seq(rank=75); Enrichr--Queries(rank=230); ReMap--ChIP-seq(rank=251)","61","0.015559999999999999","GTEx Coexpression,0.01556"
"SPI1","-1.72034334101892861","-1.72034334101892861","1.72034334101892861","Repressed","122","viper","122","1.72034334101892861",NA,NA,"6","Literature--ChIP-seq(rank=76); ENCODE--ChIP-seq(rank=105); ReMap--ChIP-seq(rank=157); ARCHS4--Coexpression(rank=385); GTEx--Coexpression(rank=1089); Enrichr--Queries(rank=1163)","776","0.236499999999999988","ARCHS4 Coexpression,0.2365"
"ZEB1","1.71188720231550939","1.71188720231550939","1.71188720231550939","Activated","123","viper","123","1.71188720231550939",NA,NA,"5","ENCODE--ChIP-seq(rank=27); ReMap--ChIP-seq(rank=65); GTEx--Coexpression(rank=104); ARCHS4--Coexpression(rank=330); Enrichr--Queries(rank=343)","274","0.064720000000000000","GTEx Coexpression,0.06472"
"SNAI2","1.69177864052241667","1.69177864052241667","1.69177864052241667","Activated","124","viper","124","1.69177864052241667",NA,NA,"4","ReMap--ChIP-seq(rank=21); ARCHS4--Coexpression(rank=80); Enrichr--Queries(rank=559); GTEx--Coexpression(rank=658)","209","0.049140000000000003","ARCHS4 Coexpression,0.04914"
"BHLHE40","1.67794182007868953","1.67794182007868953","1.67794182007868953","Activated","125","viper","125","1.67794182007868953",NA,NA,"4","ReMap--ChIP-seq(rank=8); GTEx--Coexpression(rank=27); ENCODE--ChIP-seq(rank=32); ARCHS4--Coexpression(rank=306)","67","0.016799999999999999","GTEx Coexpression,0.0168"
"PKNOX1","-1.67366332667977735","-1.67366332667977735","1.67366332667977735","Repressed","126","viper","126","1.67366332667977735",NA,NA,"4","ReMap--ChIP-seq(rank=148); Enrichr--Queries(rank=655); GTEx--Coexpression(rank=1104); ARCHS4--Coexpression(rank=1134)","1244","0.466500000000000026","Enrichr Queries,0.4665"
"VDR","-1.66753088927314663","-1.66753088927314663","1.66753088927314663","Repressed","127","viper","127","1.66753088927314663",NA,NA,"5","Literature--ChIP-seq(rank=14); GTEx--Coexpression(rank=15); ARCHS4--Coexpression(rank=51); ReMap--ChIP-seq(rank=173); Enrichr--Queries(rank=325)","34","0.009334000000000000","GTEx Coexpression,0.009334"
"USF1","1.64279179811742049","1.64279179811742049","1.64279179811742049","Activated","128","viper","128","1.64279179811742049",NA,NA,"5","ENCODE--ChIP-seq(rank=33); ReMap--ChIP-seq(rank=128); GTEx--Coexpression(rank=694); ARCHS4--Coexpression(rank=793); Enrichr--Queries(rank=884)","885","0.279700000000000004","ENCODE ChIP-seq,0.2797"
"SMAD4","-1.63175424904179511","-1.63175424904179511","1.63175424904179511","Repressed","129","viper","129","1.63175424904179511",NA,NA,"5","Literature--ChIP-seq(rank=73); ReMap--ChIP-seq(rank=152); GTEx--Coexpression(rank=1015); Enrichr--Queries(rank=1161); ARCHS4--Coexpression(rank=1536)","1203","0.445099999999999996","Literature ChIP-seq,0.4451"
"ZNF740","1.63151743731042198","1.63151743731042198","1.63151743731042198","Activated","130","viper","130","1.63151743731042198",NA,NA,"4","ReMap--ChIP-seq(rank=150); Enrichr--Queries(rank=1096); ARCHS4--Coexpression(rank=1313); GTEx--Coexpression(rank=1393)","1305","0.505099999999999993","ReMap ChIP-seq,0.5051"
"SREBF2","-1.62914356276630978","-1.62914356276630978","1.62914356276630978","Repressed","131","viper","131","1.62914356276630978",NA,NA,"6","ENCODE--ChIP-seq(rank=66); Literature--ChIP-seq(rank=87); ReMap--ChIP-seq(rank=111); GTEx--Coexpression(rank=335); Enrichr--Queries(rank=847); ARCHS4--Coexpression(rank=1337)","708","0.208499999999999991","GTEx Coexpression,0.2085"
"CEBPA","-1.61996035987296860","-1.61996035987296860","1.61996035987296860","Repressed","132","viper","132","1.61996035987296860",NA,NA,"5","Literature--ChIP-seq(rank=112); ReMap--ChIP-seq(rank=215); GTEx--Coexpression(rank=393); ARCHS4--Coexpression(rank=459); Enrichr--Queries(rank=548)","797","0.244600000000000012","GTEx Coexpression,0.2446"
"TFAP2A","-1.61334826889351013","-1.61334826889351013","1.61334826889351013","Repressed","133","viper","133","1.61334826889351013",NA,NA,"6","ENCODE--ChIP-seq(rank=30); ReMap--ChIP-seq(rank=34); ARCHS4--Coexpression(rank=36); GTEx--Coexpression(rank=76); Enrichr--Queries(rank=105); Literature--ChIP-seq(rank=150)","89","0.022110000000000001","ARCHS4 Coexpression,0.02211"
"BCL11A","-1.59649401328047369","-1.59649401328047369","1.59649401328047369","Repressed","134","viper","134","1.59649401328047369",NA,NA,"5","GTEx--Coexpression(rank=61); ENCODE--ChIP-seq(rank=99); ReMap--ChIP-seq(rank=239); Enrichr--Queries(rank=345); ARCHS4--Coexpression(rank=1194)","161","0.037960000000000001","GTEx Coexpression,0.03796"
"ZBED1","1.57463118190236062","1.57463118190236062","1.57463118190236062","Activated","135","viper","135","1.57463118190236062",NA,NA,"4","ReMap--ChIP-seq(rank=270); GTEx--Coexpression(rank=615); Enrichr--Queries(rank=771); ARCHS4--Coexpression(rank=990)","1101","0.382699999999999985","GTEx Coexpression,0.3827"
"NR5A2","-1.56255449799878088","-1.56255449799878088","1.56255449799878088","Repressed","136","viper","136","1.56255449799878088",NA,NA,"4","Enrichr--Queries(rank=111); ReMap--ChIP-seq(rank=237); GTEx--Coexpression(rank=919); ARCHS4--Coexpression(rank=1121)","324","0.079060000000000005","Enrichr Queries,0.07906"
"ETS1","1.54177716505266682","1.54177716505266682","1.54177716505266682","Activated","137","viper","137","1.54177716505266682",NA,NA,"6","ENCODE--ChIP-seq(rank=13); ReMap--ChIP-seq(rank=76); Literature--ChIP-seq(rank=161); GTEx--Coexpression(rank=202); ARCHS4--Coexpression(rank=211); Enrichr--Queries(rank=322)","420","0.110200000000000006","ENCODE ChIP-seq,0.1102"
"POU2F1","-1.52764592627680029","-1.52764592627680029","1.52764592627680029","Repressed","138","viper","138","1.52764592627680029",NA,NA,"4","ReMap--ChIP-seq(rank=276); ARCHS4--Coexpression(rank=847); GTEx--Coexpression(rank=1001); Enrichr--Queries(rank=1138)","1330","0.520299999999999985","ARCHS4 Coexpression,0.5203"
"CEBPB","-1.52604275510794185","-1.52604275510794185","1.52604275510794185","Repressed","139","viper","139","1.52604275510794185",NA,NA,"6","ENCODE--ChIP-seq(rank=12); Literature--ChIP-seq(rank=91); ReMap--ChIP-seq(rank=156); ARCHS4--Coexpression(rank=267); GTEx--Coexpression(rank=400); Enrichr--Queries(rank=586)","389","0.101700000000000013","ENCODE ChIP-seq,0.1017"
"TFAP2C","-1.52213093189066728","-1.52213093189066728","1.52213093189066728","Repressed","140","viper","140","1.52213093189066728",NA,NA,"6","ReMap--ChIP-seq(rank=16); Literature--ChIP-seq(rank=21); ARCHS4--Coexpression(rank=31); GTEx--Coexpression(rank=33); ENCODE--ChIP-seq(rank=50); Enrichr--Queries(rank=60)","77","0.019040000000000001","ARCHS4 Coexpression,0.01904"
"CDX2","-1.51708016942010815","-1.51708016942010815","1.51708016942010815","Repressed","141","viper","141","1.51708016942010815",NA,NA,"5","Literature--ChIP-seq(rank=64); ARCHS4--Coexpression(rank=102); ReMap--ChIP-seq(rank=113); GTEx--Coexpression(rank=130); Enrichr--Queries(rank=720)","264","0.062649999999999997","ARCHS4 Coexpression,0.06265"
"E2F5","1.51480745041288922","1.51480745041288922","1.51480745041288922","Activated","142","viper","142","1.51480745041288922",NA,NA,"4","Enrichr--Queries(rank=123); ReMap--ChIP-seq(rank=194); ARCHS4--Coexpression(rank=901); GTEx--Coexpression(rank=1518)","347","0.087609999999999993","Enrichr Queries,0.08761"
"IRF3","1.51179862605973825","1.51179862605973825","1.51179862605973825","Activated","143","viper","143","1.51179862605973825",NA,NA,"5","ENCODE--ChIP-seq(rank=62); ReMap--ChIP-seq(rank=99); ARCHS4--Coexpression(rank=556); Enrichr--Queries(rank=1237); GTEx--Coexpression(rank=1362)","1006","0.333299999999999985","ReMap ChIP-seq,0.3333"
"SRF","1.50895200552354525","1.50895200552354525","1.50895200552354525","Activated","144","viper","144","1.50895200552354525",NA,NA,"6","ENCODE--ChIP-seq(rank=71); Literature--ChIP-seq(rank=119); GTEx--Coexpression(rank=142); ReMap--ChIP-seq(rank=205); Enrichr--Queries(rank=479); ARCHS4--Coexpression(rank=1006)","349","0.088359999999999994","GTEx Coexpression,0.08836"
"ZNF384","-1.50799010324259264","-1.50799010324259264","1.50799010324259264","Repressed","145","viper","145","1.50799010324259264",NA,NA,"5","ENCODE--ChIP-seq(rank=48); ReMap--ChIP-seq(rank=105); ARCHS4--Coexpression(rank=1255); Enrichr--Queries(rank=1297); GTEx--Coexpression(rank=1485)","1045","0.353499999999999981","ReMap ChIP-seq,0.3535"
"NR2F1","-1.45113795647906696","-1.45113795647906696","1.45113795647906696","Repressed","146","viper","146","1.45113795647906696",NA,NA,"4","ReMap--ChIP-seq(rank=88); ARCHS4--Coexpression(rank=245); GTEx--Coexpression(rank=482); Enrichr--Queries(rank=589)","549","0.150499999999999995","ARCHS4 Coexpression,0.1505"
"NFKB2","1.44565562164067707","1.44565562164067707","1.44565562164067707","Activated","147","viper","147","1.44565562164067707",NA,NA,"4","ReMap--ChIP-seq(rank=199); ARCHS4--Coexpression(rank=502); Enrichr--Queries(rank=570); GTEx--Coexpression(rank=691)","958","0.308400000000000007","ARCHS4 Coexpression,0.3084"
"NFATC1","-1.38291385857261195","-1.38291385857261195","1.38291385857261195","Repressed","148","viper","148","1.38291385857261195",NA,NA,"5","ENCODE--ChIP-seq(rank=116); ARCHS4--Coexpression(rank=268); ReMap--ChIP-seq(rank=279); Enrichr--Queries(rank=361); GTEx--Coexpression(rank=780)","596","0.164599999999999996","ARCHS4 Coexpression,0.1646"
"IKZF1","-1.37152952019865926","-1.37152952019865926","1.37152952019865926","Repressed","149","viper","149","1.37152952019865926",NA,NA,"6","ENCODE--ChIP-seq(rank=83); ReMap--ChIP-seq(rank=108); Literature--ChIP-seq(rank=125); ARCHS4--Coexpression(rank=204); GTEx--Coexpression(rank=502); Enrichr--Queries(rank=1007)","464","0.125299999999999995","ARCHS4 Coexpression,0.1253"
"E2F6","-1.36794620375359477","-1.36794620375359477","1.36794620375359477","Repressed","150","viper","150","1.36794620375359477",NA,NA,"5","ENCODE--ChIP-seq(rank=25); ReMap--ChIP-seq(rank=44); Enrichr--Queries(rank=276); ARCHS4--Coexpression(rank=595); GTEx--Coexpression(rank=712)","546","0.148100000000000009","ReMap ChIP-seq,0.1481"
"FOXL2","-1.31566233144556621","-1.31566233144556621","1.31566233144556621","Repressed","151","viper","151","1.31566233144556621",NA,NA,"3","Enrichr--Queries(rank=871); ARCHS4--Coexpression(rank=1159); GTEx--Coexpression(rank=1305)","1447","0.620399999999999840","Enrichr Queries,0.6204"
"GLI2","1.30890423776768339","1.30890423776768339","1.30890423776768339","Activated","152","viper","152","1.30890423776768339",NA,NA,"3","ARCHS4--Coexpression(rank=171); Enrichr--Queries(rank=226); GTEx--Coexpression(rank=376)","403","0.104999999999999996","ARCHS4 Coexpression,0.105"
"HSF1","1.29270675616904152","1.29270675616904152","1.29270675616904152","Activated","153","viper","153","1.29270675616904152",NA,NA,"5","ENCODE--ChIP-seq(rank=88); ReMap--ChIP-seq(rank=100); Literature--ChIP-seq(rank=110); ARCHS4--Coexpression(rank=489); GTEx--Coexpression(rank=1563)","937","0.300400000000000000","ARCHS4 Coexpression,0.3004"
"NFE2L1","-1.28860437167117081","-1.28860437167117081","1.28860437167117081","Repressed","154","viper","154","1.28860437167117081",NA,NA,"4","ReMap--ChIP-seq(rank=296); GTEx--Coexpression(rank=538); Enrichr--Queries(rank=1125); ARCHS4--Coexpression(rank=1156)","1007","0.334799999999999986","GTEx Coexpression,0.3348"
"FOXP2","1.27842373764872463","1.27842373764872463","1.27842373764872463","Activated","155","viper","155","1.27842373764872463",NA,NA,"6","ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=81); Literature--ChIP-seq(rank=89); GTEx--Coexpression(rank=247); Enrichr--Queries(rank=623); ARCHS4--Coexpression(rank=1319)","11","0.003367000000000000","ReMap ChIP-seq,0.003367"
"NFYB","1.26985556730959814","1.26985556730959814","1.26985556730959814","Activated","156","viper","156","1.26985556730959814",NA,NA,"5","ENCODE--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=77); GTEx--Coexpression(rank=518); Enrichr--Queries(rank=845); ARCHS4--Coexpression(rank=1407)","557","0.152499999999999997","ENCODE ChIP-seq,0.1525"
"ARID2","-1.25973601651272427","-1.25973601651272427","1.25973601651272427","Repressed","157","viper","157","1.25973601651272427",NA,NA,"4","ReMap--ChIP-seq(rank=67); ARCHS4--Coexpression(rank=1214); Enrichr--Queries(rank=1296); GTEx--Coexpression(rank=1509)","753","0.225599999999999995","ReMap ChIP-seq,0.2256"
"ESR2","-1.25800863086373527","-1.25800863086373527","1.25800863086373527","Repressed","158","viper","158","1.25800863086373527",NA,NA,"5","Literature--ChIP-seq(rank=8); ReMap--ChIP-seq(rank=97); Enrichr--Queries(rank=734); GTEx--Coexpression(rank=1062); ARCHS4--Coexpression(rank=1095)","208","0.048779999999999997","Literature ChIP-seq,0.04878"
"CREB3","1.25089887821395096","1.25089887821395096","1.25089887821395096","Activated","159","viper","159","1.25089887821395096",NA,NA,"4","ReMap--ChIP-seq(rank=216); GTEx--Coexpression(rank=252); Enrichr--Queries(rank=787); ARCHS4--Coexpression(rank=1376)","567","0.156799999999999995","GTEx Coexpression,0.1568"
"JUN","-1.23875649993170378","-1.23875649993170378","1.23875649993170378","Repressed","160","viper","160","1.23875649993170378",NA,NA,"6","ENCODE--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=46); Literature--ChIP-seq(rank=60); GTEx--Coexpression(rank=124); Enrichr--Queries(rank=211); ARCHS4--Coexpression(rank=241)","315","0.077160000000000006","GTEx Coexpression,0.07716"
"ATF2","-1.23146731954481026","-1.23146731954481026","1.23146731954481026","Repressed","161","viper","161","1.23146731954481026",NA,NA,"5","ENCODE--ChIP-seq(rank=106); ReMap--ChIP-seq(rank=269); GTEx--Coexpression(rank=421); ARCHS4--Coexpression(rank=825); Enrichr--Queries(rank=1272)","840","0.262000000000000011","GTEx Coexpression,0.262"
"PPARG","-1.21281270647096062","-1.21281270647096062","1.21281270647096062","Repressed","162","viper","162","1.21281270647096062",NA,NA,"5","Literature--ChIP-seq(rank=24); ReMap--ChIP-seq(rank=110); GTEx--Coexpression(rank=141); ARCHS4--Coexpression(rank=166); Enrichr--Queries(rank=223)","348","0.087739999999999999","GTEx Coexpression,0.08774"
"IRF1","1.16467833122561260","1.16467833122561260","1.16467833122561260","Activated","163","viper","163","1.16467833122561260",NA,NA,"6","ReMap--ChIP-seq(rank=62); ENCODE--ChIP-seq(rank=94); Literature--ChIP-seq(rank=133); ARCHS4--Coexpression(rank=261); GTEx--Coexpression(rank=312); Enrichr--Queries(rank=804)","579","0.160299999999999998","ARCHS4 Coexpression,0.1603"
"ZNF24","1.11723698702941787","1.11723698702941787","1.11723698702941787","Activated","164","viper","164","1.11723698702941787",NA,NA,"4","ReMap--ChIP-seq(rank=135); GTEx--Coexpression(rank=935); Enrichr--Queries(rank=1360); ARCHS4--Coexpression(rank=1570)","1220","0.454500000000000015","ReMap ChIP-seq,0.4545"
"MAX","-1.10288309551238006","-1.10288309551238006","1.10288309551238006","Repressed","165","viper","165","1.10288309551238006",NA,NA,"5","ENCODE--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=57); ARCHS4--Coexpression(rank=292); GTEx--Coexpression(rank=315); Enrichr--Queries(rank=1035)","638","0.179400000000000004","ARCHS4 Coexpression,0.1794"
"FOXO4","-1.09571203300453468","-1.09571203300453468","1.09571203300453468","Repressed","166","viper","166","1.09571203300453468",NA,NA,"3","Enrichr--Queries(rank=73); GTEx--Coexpression(rank=800); ARCHS4--Coexpression(rank=989)","221","0.051990000000000001","Enrichr Queries,0.05199"
