"TF","HD_HCT116","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"SOX10","-3.15453554301719485","-3.15453554301719485","3.15453554301719485","Repressed","39","viper","39","3.15453554301719485",NA,NA,"4","ARCHS4--Coexpression(rank=188); GTEx--Coexpression(rank=220); ReMap--ChIP-seq(rank=284); Enrichr--Queries(rank=744)","435","0.115500000000000005","ARCHS4 Coexpression,0.1155"
"TEAD1","-3.11110073095765483","-3.11110073095765483","3.11110073095765483","Repressed","40","viper","40","3.11110073095765483",NA,NA,"4","ReMap--ChIP-seq(rank=138); Enrichr--Queries(rank=289); GTEx--Coexpression(rank=355); ARCHS4--Coexpression(rank=514)","700","0.205800000000000011","Enrichr Queries,0.2058"
"ELF3","-3.09445303264590255","-3.09445303264590255","3.09445303264590255","Repressed","41","viper","41","3.09445303264590255",NA,NA,"4","GTEx--Coexpression(rank=2); ARCHS4--Coexpression(rank=4); Enrichr--Queries(rank=31); ReMap--ChIP-seq(rank=39)","5","0.001245000000000000","GTEx Coexpression,0.001245"
"ZFX","3.05107356682052844","3.05107356682052844","3.05107356682052844","Activated","42","viper","42","3.05107356682052844",NA,NA,"5","Literature--ChIP-seq(rank=148); ReMap--ChIP-seq(rank=161); ARCHS4--Coexpression(rank=912); GTEx--Coexpression(rank=1238); Enrichr--Queries(rank=1323)","1361","0.542100000000000026","ReMap ChIP-seq,0.5421"
"SOX6","-3.04220544323043773","-3.04220544323043773","3.04220544323043773","Repressed","43","viper","43","3.04220544323043773",NA,NA,"4","ReMap--ChIP-seq(rank=118); ARCHS4--Coexpression(rank=404); Enrichr--Queries(rank=574); GTEx--Coexpression(rank=661)","805","0.248200000000000004","ARCHS4 Coexpression,0.2482"
"NR2F6","3.03079363105267330","3.03079363105267330","3.03079363105267330","Activated","44","viper","44","3.03079363105267330",NA,NA,"4","ARCHS4--Coexpression(rank=17); ReMap--ChIP-seq(rank=92); GTEx--Coexpression(rank=120); Enrichr--Queries(rank=545)","39","0.010440000000000000","ARCHS4 Coexpression,0.01044"
"SPIB","-2.96541366317876998","-2.96541366317876998","2.96541366317876998","Repressed","45","viper","45","2.96541366317876998",NA,NA,"4","ARCHS4--Coexpression(rank=206); ReMap--ChIP-seq(rank=252); GTEx--Coexpression(rank=845); Enrichr--Queries(rank=1050)","469","0.126500000000000001","ARCHS4 Coexpression,0.1265"
"IRF2","2.90897959812939000","2.90897959812939000","2.90897959812939000","Activated","46","viper","46","2.90897959812939000",NA,NA,"4","ReMap--ChIP-seq(rank=142); ARCHS4--Coexpression(rank=359); Enrichr--Queries(rank=447); GTEx--Coexpression(rank=706)","739","0.220500000000000002","ARCHS4 Coexpression,0.2205"
"TP53","-2.89908542964462956","-2.89908542964462956","2.89908542964462956","Repressed","47","viper","47","2.89908542964462956",NA,NA,"5","Literature--ChIP-seq(rank=10); ARCHS4--Coexpression(rank=92); ReMap--ChIP-seq(rank=197); GTEx--Coexpression(rank=867); Enrichr--Queries(rank=923)","239","0.056509999999999998","ARCHS4 Coexpression,0.05651"
"EHF","-2.88660523665610036","-2.88660523665610036","2.88660523665610036","Repressed","48","viper","48","2.88660523665610036",NA,NA,"4","ARCHS4--Coexpression(rank=3); Enrichr--Queries(rank=9); GTEx--Coexpression(rank=21); ReMap--ChIP-seq(rank=188)","7","0.001843000000000000","ARCHS4 Coexpression,0.001843"
