"TF","MD_SW480","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"SREBF1","4.3721938328226590542","4.3721938328226590542","4.3721938328226590542","Activated","11","viper","11","4.3721938328226590542",NA,NA,"6","ENCODE--ChIP-seq(rank=73); Literature--ChIP-seq(rank=142); ReMap--ChIP-seq(rank=254); GTEx--Coexpression(rank=594); Enrichr--Queries(rank=809); ARCHS4--Coexpression(rank=1424)","976","0.36959999999999998","GTEx Coexpression,0.3696"
"IRF2","4.3246170762834079682","4.3246170762834079682","4.3246170762834079682","Activated","12","viper","12","4.3246170762834079682",NA,NA,"4","ARCHS4--Coexpression(rank=73); ReMap--ChIP-seq(rank=225); GTEx--Coexpression(rank=417); Enrichr--Queries(rank=564)","194","0.04484000000000000","ARCHS4 Coexpression,0.04484"
"PDX1","4.3224738358748000522","4.3224738358748000522","4.3224738358748000522","Activated","13","viper","13","4.3224738358748000522",NA,NA,"5","ReMap--ChIP-seq(rank=83); Literature--ChIP-seq(rank=148); ARCHS4--Coexpression(rank=218); Enrichr--Queries(rank=378); GTEx--Coexpression(rank=506)","477","0.13389999999999999","ARCHS4 Coexpression,0.1339"
"ZNF217","4.2706391793832922943","4.2706391793832922943","4.2706391793832922943","Activated","14","viper","14","4.2706391793832922943",NA,NA,"6","Literature--ChIP-seq(rank=6); ENCODE--ChIP-seq(rank=33); ReMap--ChIP-seq(rank=94); GTEx--Coexpression(rank=910); Enrichr--Queries(rank=1044); ARCHS4--Coexpression(rank=1081)","160","0.03659000000000000","Literature ChIP-seq,0.03659"
"MEF2A","4.2678770034095734331","4.2678770034095734331","4.2678770034095734331","Activated","15","viper","15","4.2678770034095734331",NA,NA,"6","ENCODE--ChIP-seq(rank=51); Literature--ChIP-seq(rank=62); ReMap--ChIP-seq(rank=187); ARCHS4--Coexpression(rank=406); GTEx--Coexpression(rank=655); Enrichr--Queries(rank=776)","743","0.24940000000000001","ARCHS4 Coexpression,0.2494"
"SPI1","4.2036817727228639185","4.2036817727228639185","4.2036817727228639185","Activated","16","viper","16","4.2036817727228639185",NA,NA,"6","ReMap--ChIP-seq(rank=34); ENCODE--ChIP-seq(rank=38); Literature--ChIP-seq(rank=98); GTEx--Coexpression(rank=233); ARCHS4--Coexpression(rank=288); Enrichr--Queries(rank=615)","414","0.11450000000000000","ReMap ChIP-seq,0.1145"
"ELF3","4.1692983171629967032","4.1692983171629967032","4.1692983171629967032","Activated","17","viper","17","4.1692983171629967032",NA,NA,"4","ReMap--ChIP-seq(rank=40); ARCHS4--Coexpression(rank=200); GTEx--Coexpression(rank=344); Enrichr--Queries(rank=411)","445","0.12290000000000000","ARCHS4 Coexpression,0.1229"
"IRF4","4.0266858416184057035","4.0266858416184057035","4.0266858416184057035","Activated","18","viper","18","4.0266858416184057035",NA,NA,"5","ENCODE--ChIP-seq(rank=90); ReMap--ChIP-seq(rank=138); ARCHS4--Coexpression(rank=438); Enrichr--Queries(rank=722); GTEx--Coexpression(rank=1076)","783","0.26900000000000002","ARCHS4 Coexpression,0.269"
"MEIS2","4.0078322753229480568","4.0078322753229480568","4.0078322753229480568","Activated","19","viper","19","4.0078322753229480568",NA,NA,"4","Enrichr--Queries(rank=32); ARCHS4--Coexpression(rank=66); GTEx--Coexpression(rank=75); ReMap--ChIP-seq(rank=174)","98","0.02279000000000000","Enrichr Queries,0.02279"
"CEBPA","3.9272994252764110712","3.9272994252764110712","3.9272994252764110712","Activated","20","viper","20","3.9272994252764110712",NA,NA,"5","Literature--ChIP-seq(rank=94); ReMap--ChIP-seq(rank=120); ARCHS4--Coexpression(rank=382); Enrichr--Queries(rank=637); GTEx--Coexpression(rank=858)","711","0.23460000000000000","ARCHS4 Coexpression,0.2346"
"MAFB","3.8416685272366137838","3.8416685272366137838","3.8416685272366137838","Activated","21","viper","21","3.8416685272366137838",NA,NA,"4","ReMap--ChIP-seq(rank=202); ARCHS4--Coexpression(rank=227); Enrichr--Queries(rank=330); GTEx--Coexpression(rank=456)","489","0.13940000000000000","ARCHS4 Coexpression,0.1394"
"MAFK","3.8161089319396506170","3.8161089319396506170","3.8161089319396506170","Activated","22","viper","22","3.8161089319396506170",NA,NA,"5","ENCODE--ChIP-seq(rank=28); ReMap--ChIP-seq(rank=29); GTEx--Coexpression(rank=332); Enrichr--Queries(rank=810); ARCHS4--Coexpression(rank=1447)","372","0.09764000000000000","ReMap ChIP-seq,0.09764"
"ARNT","3.7932877970282850022","3.7932877970282850022","3.7932877970282850022","Activated","23","viper","23","3.7932877970282850022",NA,NA,"5","Literature--ChIP-seq(rank=21); ReMap--ChIP-seq(rank=127); GTEx--Coexpression(rank=768); Enrichr--Queries(rank=1127); ARCHS4--Coexpression(rank=1128)","464","0.12800000000000000","Literature ChIP-seq,0.128"
"STAT2","3.7898473330334523368","3.7898473330334523368","3.7898473330334523368","Activated","24","viper","24","3.7898473330334523368",NA,NA,"5","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=22); ARCHS4--Coexpression(rank=56); Enrichr--Queries(rank=346); GTEx--Coexpression(rank=1102)","149","0.03390000000000000","ENCODE ChIP-seq,0.0339"
"TBX21","3.5337616443505144304","3.5337616443505144304","3.5337616443505144304","Activated","25","viper","25","3.5337616443505144304",NA,NA,"4","ReMap--ChIP-seq(rank=76); GTEx--Coexpression(rank=242); ARCHS4--Coexpression(rank=268); Enrichr--Queries(rank=525)","519","0.15060000000000001","GTEx Coexpression,0.1506"
"FOXP2","-3.4903091262119900762","-3.4903091262119900762","3.4903091262119900762","Repressed","26","viper","26","3.4903091262119900762",NA,NA,"6","ENCODE--ChIP-seq(rank=25); Enrichr--Queries(rank=52); GTEx--Coexpression(rank=88); Literature--ChIP-seq(rank=99); ReMap--ChIP-seq(rank=142); ARCHS4--Coexpression(rank=425)","163","0.03704000000000000","Enrichr Queries,0.03704"
"MYC","-3.4731808203407656954","-3.4731808203407656954","3.4731808203407656954","Repressed","27","viper","27","3.4731808203407656954",NA,NA,"6","Literature--ChIP-seq(rank=34); ENCODE--ChIP-seq(rank=45); ReMap--ChIP-seq(rank=235); GTEx--Coexpression(rank=712); Enrichr--Queries(rank=795); ARCHS4--Coexpression(rank=1020)","652","0.20730000000000001","Literature ChIP-seq,0.2073"
"ATF3","-3.4461367395378137424","-3.4461367395378137424","3.4461367395378137424","Repressed","28","viper","28","3.4461367395378137424",NA,NA,"6","Literature--ChIP-seq(rank=108); ENCODE--ChIP-seq(rank=110); ReMap--ChIP-seq(rank=130); ARCHS4--Coexpression(rank=186); Enrichr--Queries(rank=418); GTEx--Coexpression(rank=947)","413","0.11430000000000001","ARCHS4 Coexpression,0.1143"
"MYBL2","3.4344173552863033194","3.4344173552863033194","3.4344173552863033194","Activated","29","viper","29","3.4344173552863033194",NA,NA,"6","ENCODE--ChIP-seq(rank=116); Literature--ChIP-seq(rank=140); ReMap--ChIP-seq(rank=232); GTEx--Coexpression(rank=1345); Enrichr--Queries(rank=1401); ARCHS4--Coexpression(rank=1520)","1539","0.78110000000000002","ReMap ChIP-seq,0.7811"
"ATF4","-3.4012532415517333639","-3.4012532415517333639","3.4012532415517333639","Repressed","30","viper","30","3.4012532415517333639",NA,NA,"4","ReMap--ChIP-seq(rank=8); GTEx--Coexpression(rank=105); Enrichr--Queries(rank=1175); ARCHS4--Coexpression(rank=1559)","118","0.02694000000000000","ReMap ChIP-seq,0.02694"
"PROX1","3.3949565328272561793","3.3949565328272561793","3.3949565328272561793","Activated","31","viper","31","3.3949565328272561793",NA,NA,"4","ReMap--ChIP-seq(rank=10); Enrichr--Queries(rank=64); ARCHS4--Coexpression(rank=628); GTEx--Coexpression(rank=913)","147","0.03367000000000000","ReMap ChIP-seq,0.03367"
"KDM5B","3.3678932291802832211","3.3678932291802832211","3.3678932291802832211","Activated","32","viper","32","3.3678932291802832211",NA,NA,"5","ENCODE--ChIP-seq(rank=48); ReMap--ChIP-seq(rank=122); Literature--ChIP-seq(rank=152); ARCHS4--Coexpression(rank=253); GTEx--Coexpression(rank=1261)","533","0.15540000000000001","ARCHS4 Coexpression,0.1554"
"NCOA3","3.3589838695287044246","3.3589838695287044246","3.3589838695287044246","Activated","33","viper","33","3.3589838695287044246",NA,NA,"4","ReMap--ChIP-seq(rank=161); ARCHS4--Coexpression(rank=619); Enrichr--Queries(rank=1020); GTEx--Coexpression(rank=1024)","1000","0.38019999999999998","ARCHS4 Coexpression,0.3802"
"LHX2","3.3275500790298249143","3.3275500790298249143","3.3275500790298249143","Activated","34","viper","34","3.3275500790298249143",NA,NA,"4","GTEx--Coexpression(rank=73); ARCHS4--Coexpression(rank=150); ReMap--ChIP-seq(rank=185); Enrichr--Queries(rank=236)","196","0.04543000000000000","GTEx Coexpression,0.04543"
"KLF6","3.2942031866648955329","3.2942031866648955329","3.2942031866648955329","Activated","35","viper","35","3.2942031866648955329",NA,NA,"4","ReMap--ChIP-seq(rank=14); ARCHS4--Coexpression(rank=251); Enrichr--Queries(rank=650); GTEx--Coexpression(rank=1140)","200","0.04714000000000000","ReMap ChIP-seq,0.04714"
"ZNF384","3.2519226956555873365","3.2519226956555873365","3.2519226956555873365","Activated","36","viper","36","3.2519226956555873365",NA,NA,"5","ENCODE--ChIP-seq(rank=39); ReMap--ChIP-seq(rank=162); GTEx--Coexpression(rank=1022); Enrichr--Queries(rank=1336); ARCHS4--Coexpression(rank=1551)","911","0.33050000000000002","ENCODE ChIP-seq,0.3305"
"TCF7","3.2172717272963557988","3.2172717272963557988","3.2172717272963557988","Activated","37","viper","37","3.2172717272963557988",NA,NA,"5","Literature--ChIP-seq(rank=100); ARCHS4--Coexpression(rank=148); ReMap--ChIP-seq(rank=230); GTEx--Coexpression(rank=237); Enrichr--Queries(rank=611)","346","0.09091000000000000","ARCHS4 Coexpression,0.09091"
"MEIS1","3.2082042288876535530","3.2082042288876535530","3.2082042288876535530","Activated","38","viper","38","3.2082042288876535530",NA,NA,"5","Enrichr--Queries(rank=16); Literature--ChIP-seq(rank=30); ReMap--ChIP-seq(rank=58); GTEx--Coexpression(rank=114); ARCHS4--Coexpression(rank=509)","51","0.01140000000000000","Enrichr Queries,0.0114"
"JUNB","3.1936998511043803717","3.1936998511043803717","3.1936998511043803717","Activated","39","viper","39","3.1936998511043803717",NA,NA,"4","ReMap--ChIP-seq(rank=191); ARCHS4--Coexpression(rank=266); Enrichr--Queries(rank=774); GTEx--Coexpression(rank=928)","548","0.16339999999999999","ARCHS4 Coexpression,0.1634"
"STAT1","3.1472712889015643789","3.1472712889015643789","3.1472712889015643789","Activated","40","viper","40","3.1472712889015643789",NA,NA,"6","ENCODE--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=16); ARCHS4--Coexpression(rank=95); Literature--ChIP-seq(rank=136); Enrichr--Queries(rank=270); GTEx--Coexpression(rank=1038)","224","0.05387000000000000","ReMap ChIP-seq,0.05387"
"SP4","3.1084970474796036477","3.1084970474796036477","3.1084970474796036477","Activated","41","viper","41","3.1084970474796036477",NA,NA,"5","ENCODE--ChIP-seq(rank=118); ReMap--ChIP-seq(rank=258); Enrichr--Queries(rank=882); GTEx--Coexpression(rank=1209); ARCHS4--Coexpression(rank=1348)","1387","0.62819999999999998","Enrichr Queries,0.6282"
"IRF1","3.0539858586249479799","3.0539858586249479799","3.0539858586249479799","Activated","42","viper","42","3.0539858586249479799",NA,NA,"6","Literature--ChIP-seq(rank=60); ReMap--ChIP-seq(rank=74); ENCODE--ChIP-seq(rank=93); ARCHS4--Coexpression(rank=104); Enrichr--Queries(rank=185); GTEx--Coexpression(rank=194)","261","0.06388000000000001","ARCHS4 Coexpression,0.06388"
"GRHL2","3.0318488587058856076","3.0318488587058856076","3.0318488587058856076","Activated","43","viper","43","3.0318488587058856076",NA,NA,"5","Literature--ChIP-seq(rank=119); ReMap--ChIP-seq(rank=121); ARCHS4--Coexpression(rank=195); Enrichr--Queries(rank=596); GTEx--Coexpression(rank=660)","431","0.11980000000000000","ARCHS4 Coexpression,0.1198"
"CEBPG","3.0305178040995737199","3.0305178040995737199","3.0305178040995737199","Activated","44","viper","44","3.0305178040995737199",NA,NA,"4","ReMap--ChIP-seq(rank=183); ARCHS4--Coexpression(rank=648); Enrichr--Queries(rank=850); GTEx--Coexpression(rank=1204)","1028","0.39800000000000002","ARCHS4 Coexpression,0.398"
"HNF4G","3.0103498272680595527","3.0103498272680595527","3.0103498272680595527","Activated","45","viper","45","3.0103498272680595527",NA,NA,"5","ENCODE--ChIP-seq(rank=41); ReMap--ChIP-seq(rank=104); ARCHS4--Coexpression(rank=179); Enrichr--Queries(rank=247); GTEx--Coexpression(rank=383)","402","0.11000000000000000","ARCHS4 Coexpression,0.11"
"GATA6","2.9733551668689348624","2.9733551668689348624","2.9733551668689348624","Activated","46","viper","46","2.9733551668689348624",NA,NA,"5","ReMap--ChIP-seq(rank=32); Enrichr--Queries(rank=98); Literature--ChIP-seq(rank=102); ARCHS4--Coexpression(rank=225); GTEx--Coexpression(rank=420)","282","0.06980000000000000","Enrichr Queries,0.0698"
"SP3","2.9531813974990024363","2.9531813974990024363","2.9531813974990024363","Activated","47","viper","47","2.9531813974990024363",NA,NA,"3","GTEx--Coexpression(rank=1013); Enrichr--Queries(rank=1266); ARCHS4--Coexpression(rank=1537)","1392","0.63039999999999996","GTEx Coexpression,0.6304"
"IRF9","2.9464600289208360273","2.9464600289208360273","2.9464600289208360273","Activated","48","viper","48","2.9464600289208360273",NA,NA,"4","GTEx--Coexpression(rank=31); ARCHS4--Coexpression(rank=84); ReMap--ChIP-seq(rank=147); Enrichr--Queries(rank=170)","83","0.01929000000000000","GTEx Coexpression,0.01929"
"POU5F1","2.9047775595231311030","2.9047775595231311030","2.9047775595231311030","Activated","49","viper","49","2.9047775595231311030",NA,NA,"5","Literature--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=61); GTEx--Coexpression(rank=222); ARCHS4--Coexpression(rank=694); Enrichr--Queries(rank=712)","440","0.12200000000000000","Literature ChIP-seq,0.122"
"TBP","2.8962904444912580537","2.8962904444912580537","2.8962904444912580537","Activated","50","viper","50","2.8962904444912580537",NA,NA,"5","ENCODE--ChIP-seq(rank=77); Literature--ChIP-seq(rank=146); ReMap--ChIP-seq(rank=248); ARCHS4--Coexpression(rank=1379); GTEx--Coexpression(rank=1440)","1421","0.65249999999999997","ENCODE ChIP-seq,0.6525"
"NR2C2","-2.8813418983616032598","-2.8813418983616032598","2.8813418983616032598","Repressed","51","viper","51","2.8813418983616032598",NA,NA,"5","ENCODE--ChIP-seq(rank=82); ReMap--ChIP-seq(rank=271); Enrichr--Queries(rank=1254); GTEx--Coexpression(rank=1433); ARCHS4--Coexpression(rank=1597)","1464","0.69489999999999996","ENCODE ChIP-seq,0.6949"
"MYOD1","2.8529628079884346015","2.8529628079884346015","2.8529628079884346015","Activated","52","viper","52","2.8529628079884346015",NA,NA,"5","ENCODE--ChIP-seq(rank=12); ReMap--ChIP-seq(rank=19); ARCHS4--Coexpression(rank=277); Enrichr--Queries(rank=733); GTEx--Coexpression(rank=844)","262","0.06397000000000000","ReMap ChIP-seq,0.06397"
"KMT2A","-2.8477320876275298289","-2.8477320876275298289","2.8477320876275298289","Repressed","53","viper","53","2.8477320876275298289",NA,NA,"3","ReMap--ChIP-seq(rank=239); GTEx--Coexpression(rank=950); ARCHS4--Coexpression(rank=1144)","1342","0.59119999999999984","GTEx Coexpression,0.5912"
"SOX13","2.8021258596610558733","2.8021258596610558733","2.8021258596610558733","Activated","54","viper","54","2.8021258596610558733",NA,NA,"4","ReMap--ChIP-seq(rank=26); GTEx--Coexpression(rank=268); Enrichr--Queries(rank=507); ARCHS4--Coexpression(rank=756)","335","0.08754000000000001","ReMap ChIP-seq,0.08754"
"HOXA9","2.7817053565399776360","2.7817053565399776360","2.7817053565399776360","Activated","55","viper","55","2.7817053565399776360",NA,NA,"4","ReMap--ChIP-seq(rank=195); GTEx--Coexpression(rank=201); Enrichr--Queries(rank=264); ARCHS4--Coexpression(rank=331)","454","0.12509999999999999","GTEx Coexpression,0.1251"
"DUX4","2.7770565458197258302","2.7770565458197258302","2.7770565458197258302","Activated","56","viper","56","2.7770565458197258302",NA,NA,"2","ReMap--ChIP-seq(rank=249); ARCHS4--Coexpression(rank=1290)","1547","0.79239999999999999","ARCHS4 Coexpression,0.7924"
"PRDM1","2.7285889256789661594","2.7285889256789661594","2.7285889256789661594","Activated","57","viper","57","2.7285889256789661594",NA,NA,"5","ENCODE--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=54); Enrichr--Queries(rank=358); ARCHS4--Coexpression(rank=543); GTEx--Coexpression(rank=769)","594","0.18179999999999999","ReMap ChIP-seq,0.1818"
"HMBOX1","-2.6980873127223183872","-2.6980873127223183872","2.6980873127223183872","Repressed","58","viper","58","2.6980873127223183872",NA,NA,"4","ReMap--ChIP-seq(rank=208); GTEx--Coexpression(rank=753); Enrichr--Queries(rank=977); ARCHS4--Coexpression(rank=1449)","1146","0.46860000000000002","GTEx Coexpression,0.4686"
"PRDM14","2.6845597986471871899","2.6845597986471871899","2.6845597986471871899","Activated","59","viper","59","2.6845597986471871899",NA,NA,"5","ReMap--ChIP-seq(rank=6); Literature--ChIP-seq(rank=16); ARCHS4--Coexpression(rank=464); Enrichr--Queries(rank=533); GTEx--Coexpression(rank=964)","86","0.02020000000000000","ReMap ChIP-seq,0.0202"
"RBPJ","2.6845290336971951994","2.6845290336971951994","2.6845290336971951994","Activated","60","viper","60","2.6845290336971951994",NA,NA,"5","Literature--ChIP-seq(rank=130); ReMap--ChIP-seq(rank=203); Enrichr--Queries(rank=883); GTEx--Coexpression(rank=940); ARCHS4--Coexpression(rank=1272)","1329","0.58489999999999998","GTEx Coexpression,0.5849"
"LEF1","2.6798132029323831205","2.6798132029323831205","2.6798132029323831205","Activated","61","viper","61","2.6798132029323831205",NA,NA,"4","ReMap--ChIP-seq(rank=71); Enrichr--Queries(rank=206); ARCHS4--Coexpression(rank=237); GTEx--Coexpression(rank=322)","509","0.14560000000000001","ARCHS4 Coexpression,0.1456"
"USF2","2.6754290955939010743","2.6754290955939010743","2.6754290955939010743","Activated","62","viper","62","2.6754290955939010743",NA,NA,"5","ENCODE--ChIP-seq(rank=86); ReMap--ChIP-seq(rank=108); GTEx--Coexpression(rank=528); ARCHS4--Coexpression(rank=1113); Enrichr--Queries(rank=1204)","906","0.32860000000000000","GTEx Coexpression,0.3286"
"NFE2L1","2.6061827829406269963","2.6061827829406269963","2.6061827829406269963","Activated","63","viper","63","2.6061827829406269963",NA,NA,"4","ReMap--ChIP-seq(rank=227); GTEx--Coexpression(rank=956); Enrichr--Queries(rank=1056); ARCHS4--Coexpression(rank=1177)","1348","0.59489999999999998","GTEx Coexpression,0.5949"
"FOXO3","2.5753424562363069761","2.5753424562363069761","2.5753424562363069761","Activated","64","viper","64","2.5753424562363069761",NA,NA,"4","Literature--ChIP-seq(rank=42); GTEx--Coexpression(rank=922); Enrichr--Queries(rank=928); ARCHS4--Coexpression(rank=951)","757","0.25609999999999999","Literature ChIP-seq,0.2561"
"SP2","2.5068836579923354790","2.5068836579923354790","2.5068836579923354790","Activated","65","viper","65","2.5068836579923354790",NA,NA,"5","ENCODE--ChIP-seq(rank=105); ReMap--ChIP-seq(rank=281); GTEx--Coexpression(rank=608); ARCHS4--Coexpression(rank=824); Enrichr--Queries(rank=1152)","996","0.37830000000000003","GTEx Coexpression,0.3783"
"SIX2","2.4996491347581684117","2.4996491347581684117","2.4996491347581684117","Activated","66","viper","66","2.4996491347581684117",NA,NA,"4","ReMap--ChIP-seq(rank=9); ARCHS4--Coexpression(rank=113); Enrichr--Queries(rank=245); GTEx--Coexpression(rank=1063)","132","0.03030000000000000","ReMap ChIP-seq,0.0303"
"NFKB2","-2.4119932422078584899","-2.4119932422078584899","2.4119932422078584899","Repressed","67","viper","67","2.4119932422078584899",NA,NA,"4","ReMap--ChIP-seq(rank=50); Enrichr--Queries(rank=552); GTEx--Coexpression(rank=564); ARCHS4--Coexpression(rank=763)","559","0.16839999999999999","ReMap ChIP-seq,0.1684"
"USF1","2.4084271311731564325","2.4084271311731564325","2.4084271311731564325","Activated","68","viper","68","2.4084271311731564325",NA,NA,"5","ENCODE--ChIP-seq(rank=54); ReMap--ChIP-seq(rank=179); GTEx--Coexpression(rank=296); ARCHS4--Coexpression(rank=688); Enrichr--Queries(rank=1110)","597","0.18420000000000000","GTEx Coexpression,0.1842"
"FOXA1","2.3859318366842625636","2.3859318366842625636","2.3859318366842625636","Activated","69","viper","69","2.3859318366842625636",NA,NA,"6","ReMap--ChIP-seq(rank=37); ENCODE--ChIP-seq(rank=43); Literature--ChIP-seq(rank=63); ARCHS4--Coexpression(rank=367); Enrichr--Queries(rank=398); GTEx--Coexpression(rank=703)","451","0.12460000000000000","ReMap ChIP-seq,0.1246"
"E2F7","2.3348264217753706973","2.3348264217753706973","2.3348264217753706973","Activated","70","viper","70","2.3348264217753706973",NA,NA,"5","ReMap--ChIP-seq(rank=96); Literature--ChIP-seq(rank=163); ARCHS4--Coexpression(rank=1280); GTEx--Coexpression(rank=1343); Enrichr--Queries(rank=1360)","896","0.32319999999999999","ReMap ChIP-seq,0.3232"
"GABPA","2.3327665229063021535","2.3327665229063021535","2.3327665229063021535","Activated","71","viper","71","2.3327665229063021535",NA,NA,"6","Literature--ChIP-seq(rank=11); ENCODE--ChIP-seq(rank=61); ReMap--ChIP-seq(rank=242); GTEx--Coexpression(rank=993); Enrichr--Queries(rank=1380); ARCHS4--Coexpression(rank=1582)","273","0.06707000000000000","Literature ChIP-seq,0.06707"
"ONECUT1","2.3324487131713977917","2.3324487131713977917","2.3324487131713977917","Activated","72","viper","72","2.3324487131713977917",NA,NA,"4","ReMap--ChIP-seq(rank=42); ARCHS4--Coexpression(rank=290); GTEx--Coexpression(rank=629); Enrichr--Queries(rank=698)","496","0.14140000000000000","ReMap ChIP-seq,0.1414"
"AHR","2.3245607663985423663","2.3245607663985423663","2.3245607663985423663","Activated","73","viper","73","2.3245607663985423663",NA,NA,"5","Literature--ChIP-seq(rank=23); ReMap--ChIP-seq(rank=46); GTEx--Coexpression(rank=200); Enrichr--Queries(rank=304); ARCHS4--Coexpression(rank=636)","450","0.12450000000000000","GTEx Coexpression,0.1245"
"NR1H3","2.3087037111252985966","2.3087037111252985966","2.3087037111252985966","Activated","74","viper","74","2.3087037111252985966",NA,NA,"5","Literature--ChIP-seq(rank=81); Enrichr--Queries(rank=202); ReMap--ChIP-seq(rank=222); ARCHS4--Coexpression(rank=357); GTEx--Coexpression(rank=487)","506","0.14390000000000000","Enrichr Queries,0.1439"
"NFATC1","2.3031177833600264826","2.3031177833600264826","2.3031177833600264826","Activated","75","viper","75","2.3031177833600264826",NA,NA,"5","ENCODE--ChIP-seq(rank=117); ReMap--ChIP-seq(rank=287); Enrichr--Queries(rank=434); ARCHS4--Coexpression(rank=542); GTEx--Coexpression(rank=710)","865","0.30909999999999999","Enrichr Queries,0.3091"
"EOMES","2.2815302944438715649","2.2815302944438715649","2.2815302944438715649","Activated","76","viper","76","2.2815302944438715649",NA,NA,"5","ReMap--ChIP-seq(rank=13); Literature--ChIP-seq(rank=67); ARCHS4--Coexpression(rank=204); Enrichr--Queries(rank=404); GTEx--Coexpression(rank=512)","190","0.04377000000000000","ReMap ChIP-seq,0.04377"
"TEAD2","-2.2522051009875645455","-2.2522051009875645455","2.2522051009875645455","Repressed","77","viper","77","2.2522051009875645455",NA,NA,"4","ReMap--ChIP-seq(rank=177); GTEx--Coexpression(rank=193); Enrichr--Queries(rank=401); ARCHS4--Coexpression(rank=585)","432","0.12010000000000000","GTEx Coexpression,0.1201"
