"TF","HD_SW480","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"TCF4","3.648977289229216048","3.648977289229216048","3.648977289229216048","Activated","11","viper","11","3.648977289229216048",NA,NA,"5","ReMap--ChIP-seq(rank=14); Enrichr--Queries(rank=31); Literature--ChIP-seq(rank=45); ARCHS4--Coexpression(rank=320); GTEx--Coexpression(rank=546)","102","0.02208000000000000","Enrichr Queries,0.02208"
"ETS1","3.610518710089244188","3.610518710089244188","3.610518710089244188","Activated","12","viper","12","3.610518710089244188",NA,NA,"6","ENCODE--ChIP-seq(rank=7); Enrichr--Queries(rank=48); ARCHS4--Coexpression(rank=86); GTEx--Coexpression(rank=95); Literature--ChIP-seq(rank=164); ReMap--ChIP-seq(rank=200)","158","0.03419000000000000","Enrichr Queries,0.03419"
"LHX2","3.586462738371884118","3.586462738371884118","3.586462738371884118","Activated","13","viper","13","3.586462738371884118",NA,NA,"4","GTEx--Coexpression(rank=148); ReMap--ChIP-seq(rank=290); ARCHS4--Coexpression(rank=435); Enrichr--Queries(rank=476)","360","0.09210000000000000","GTEx Coexpression,0.0921"
"STAT2","3.482301723432148055","3.482301723432148055","3.482301723432148055","Activated","14","viper","14","3.482301723432148055",NA,NA,"5","ENCODE--ChIP-seq(rank=27); ReMap--ChIP-seq(rank=62); ARCHS4--Coexpression(rank=225); Enrichr--Queries(rank=537); GTEx--Coexpression(rank=727)","491","0.13819999999999999","ARCHS4 Coexpression,0.1382"
"TBP","3.473738643537438886","3.473738643537438886","3.473738643537438886","Activated","15","viper","15","3.473738643537438886",NA,NA,"5","ENCODE--ChIP-seq(rank=68); Literature--ChIP-seq(rank=126); ReMap--ChIP-seq(rank=250); ARCHS4--Coexpression(rank=1280); GTEx--Coexpression(rank=1454)","1326","0.57630000000000003","ENCODE ChIP-seq,0.5763"
"ONECUT1","3.461453381697824572","3.461453381697824572","3.461453381697824572","Activated","16","viper","16","3.461453381697824572",NA,NA,"4","ReMap--ChIP-seq(rank=96); Enrichr--Queries(rank=546); ARCHS4--Coexpression(rank=624); GTEx--Coexpression(rank=927)","886","0.32319999999999999","ReMap ChIP-seq,0.3232"
"ETV4","3.396252627177331895","3.396252627177331895","3.396252627177331895","Activated","17","viper","17","3.396252627177331895",NA,NA,"4","ReMap--ChIP-seq(rank=191); Enrichr--Queries(rank=334); ARCHS4--Coexpression(rank=691); GTEx--Coexpression(rank=1062)","721","0.23790000000000000","Enrichr Queries,0.2379"
"POU5F1","3.373155579685720884","3.373155579685720884","3.373155579685720884","Activated","18","viper","18","3.373155579685720884",NA,NA,"5","Literature--ChIP-seq(rank=54); ReMap--ChIP-seq(rank=160); GTEx--Coexpression(rank=252); ARCHS4--Coexpression(rank=607); Enrichr--Queries(rank=717)","533","0.15679999999999999","GTEx Coexpression,0.1568"
"ZNF384","3.353782538542066760","3.353782538542066760","3.353782538542066760","Activated","19","viper","19","3.353782538542066760",NA,NA,"5","ENCODE--ChIP-seq(rank=31); ReMap--ChIP-seq(rank=274); GTEx--Coexpression(rank=796); Enrichr--Queries(rank=1291); ARCHS4--Coexpression(rank=1509)","771","0.26269999999999999","ENCODE ChIP-seq,0.2627"
"MAFF","3.319010775322667861","3.319010775322667861","3.319010775322667861","Activated","20","viper","20","3.319010775322667861",NA,NA,"5","ENCODE--ChIP-seq(rank=98); Enrichr--Queries(rank=208); ReMap--ChIP-seq(rank=227); GTEx--Coexpression(rank=325); ARCHS4--Coexpression(rank=1087)","515","0.14810000000000001","Enrichr Queries,0.1481"
"SPI1","3.284000380079434400","3.284000380079434400","3.284000380079434400","Activated","21","viper","21","3.284000380079434400",NA,NA,"6","ENCODE--ChIP-seq(rank=56); Literature--ChIP-seq(rank=60); ReMap--ChIP-seq(rank=92); ARCHS4--Coexpression(rank=465); GTEx--Coexpression(rank=634); Enrichr--Queries(rank=1063)","809","0.28560000000000002","ARCHS4 Coexpression,0.2856"
"ATF3","-3.204100148678989513","-3.204100148678989513","3.204100148678989513","Repressed","22","viper","22","3.204100148678989513",NA,NA,"6","ARCHS4--Coexpression(rank=30); Literature--ChIP-seq(rank=85); ENCODE--ChIP-seq(rank=92); ReMap--ChIP-seq(rank=221); Enrichr--Queries(rank=312); GTEx--Coexpression(rank=629)","85","0.01843000000000000","ARCHS4 Coexpression,0.01843"
"MEIS2","3.146574589015779466","3.146574589015779466","3.146574589015779466","Activated","23","viper","23","3.146574589015779466",NA,NA,"4","ARCHS4--Coexpression(rank=87); Enrichr--Queries(rank=168); ReMap--ChIP-seq(rank=197); GTEx--Coexpression(rank=230)","232","0.05344000000000000","ARCHS4 Coexpression,0.05344"
"E2F1","3.134483140788636213","3.134483140788636213","3.134483140788636213","Activated","24","viper","24","3.134483140788636213",NA,NA,"6","ENCODE--ChIP-seq(rank=63); Literature--ChIP-seq(rank=94); ReMap--ChIP-seq(rank=271); GTEx--Coexpression(rank=1074); ARCHS4--Coexpression(rank=1158); Enrichr--Queries(rank=1277)","1268","0.53390000000000004","ENCODE ChIP-seq,0.5339"
"KLF13","-3.134307698631455086","-3.134307698631455086","3.134307698631455086","Repressed","25","viper","25","3.134307698631455086",NA,NA,"4","ReMap--ChIP-seq(rank=90); Enrichr--Queries(rank=233); ARCHS4--Coexpression(rank=364); GTEx--Coexpression(rank=699)","556","0.16600000000000001","Enrichr Queries,0.166"
"JUNB","3.093280181792764427","3.093280181792764427","3.093280181792764427","Activated","26","viper","26","3.093280181792764427",NA,NA,"4","ARCHS4--Coexpression(rank=74); ReMap--ChIP-seq(rank=214); Enrichr--Queries(rank=447); GTEx--Coexpression(rank=532)","200","0.04545000000000000","ARCHS4 Coexpression,0.04545"
"USF2","2.964469407427040348","2.964469407427040348","2.964469407427040348","Activated","27","viper","27","2.964469407427040348",NA,NA,"5","ENCODE--ChIP-seq(rank=75); ReMap--ChIP-seq(rank=224); GTEx--Coexpression(rank=446); Enrichr--Queries(rank=1095); ARCHS4--Coexpression(rank=1484)","791","0.27750000000000002","GTEx Coexpression,0.2775"
"PDX1","2.955551477745427480","2.955551477745427480","2.955551477745427480","Activated","28","viper","28","2.955551477745427480",NA,NA,"5","Literature--ChIP-seq(rank=151); ReMap--ChIP-seq(rank=185); ARCHS4--Coexpression(rank=295); Enrichr--Queries(rank=768); GTEx--Coexpression(rank=844)","593","0.18120000000000000","ARCHS4 Coexpression,0.1812"
"E2F7","2.856936397404128858","2.856936397404128858","2.856936397404128858","Activated","29","viper","29","2.856936397404128858",NA,NA,"5","ReMap--ChIP-seq(rank=91); Literature--ChIP-seq(rank=141); ARCHS4--Coexpression(rank=635); GTEx--Coexpression(rank=1268); Enrichr--Queries(rank=1283)","850","0.30640000000000001","ReMap ChIP-seq,0.3064"
"HNF1A","-2.831891700861475236","-2.831891700861475236","2.831891700861475236","Repressed","30","viper","30","2.831891700861475236",NA,NA,"3","ARCHS4--Coexpression(rank=523); Enrichr--Queries(rank=598); GTEx--Coexpression(rank=842)","883","0.32129999999999992","ARCHS4 Coexpression,0.3213"
"KLF6","2.777388770392376305","2.777388770392376305","2.777388770392376305","Activated","31","viper","31","2.777388770392376305",NA,NA,"4","ReMap--ChIP-seq(rank=5); ARCHS4--Coexpression(rank=102); Enrichr--Queries(rank=398); GTEx--Coexpression(rank=697)","76","0.01684000000000000","ReMap ChIP-seq,0.01684"
"IRF4","2.734937526540058172","2.734937526540058172","2.734937526540058172","Activated","32","viper","32","2.734937526540058172",NA,NA,"5","ARCHS4--Coexpression(rank=72); ENCODE--ChIP-seq(rank=116); ReMap--ChIP-seq(rank=173); Enrichr--Queries(rank=592); GTEx--Coexpression(rank=878)","195","0.04423000000000000","ARCHS4 Coexpression,0.04423"
"TEAD4","2.731809896420184458","2.731809896420184458","2.731809896420184458","Activated","33","viper","33","2.731809896420184458",NA,NA,"6","ENCODE--ChIP-seq(rank=29); Literature--ChIP-seq(rank=51); ReMap--ChIP-seq(rank=54); Enrichr--Queries(rank=462); ARCHS4--Coexpression(rank=818); GTEx--Coexpression(rank=953)","595","0.18179999999999999","ReMap ChIP-seq,0.1818"
"MEIS1","2.723480215324098896","2.723480215324098896","2.723480215324098896","Activated","34","viper","34","2.723480215324098896",NA,NA,"5","Enrichr--Queries(rank=36); Literature--ChIP-seq(rank=49); GTEx--Coexpression(rank=210); ReMap--ChIP-seq(rank=241); ARCHS4--Coexpression(rank=776)","117","0.02564000000000000","Enrichr Queries,0.02564"
"SP3","2.690018499936377872","2.690018499936377872","2.690018499936377872","Activated","35","viper","35","2.690018499936377872",NA,NA,"3","GTEx--Coexpression(rank=604); ARCHS4--Coexpression(rank=982); Enrichr--Queries(rank=1107)","986","0.37590000000000001","GTEx Coexpression,0.3759"
"CLOCK","2.680189199587581061","2.680189199587581061","2.680189199587581061","Activated","36","viper","36","2.680189199587581061",NA,NA,"5","Literature--ChIP-seq(rank=89); ReMap--ChIP-seq(rank=131); ARCHS4--Coexpression(rank=611); Enrichr--Queries(rank=1136); GTEx--Coexpression(rank=1216)","985","0.37530000000000002","ARCHS4 Coexpression,0.3753"
"RBPJ","2.671823042475469645","2.671823042475469645","2.671823042475469645","Activated","37","viper","37","2.671823042475469645",NA,NA,"5","Literature--ChIP-seq(rank=144); ReMap--ChIP-seq(rank=268); Enrichr--Queries(rank=603); GTEx--Coexpression(rank=1049); ARCHS4--Coexpression(rank=1171)","1076","0.42949999999999999","Enrichr Queries,0.4295"
"NFE2L1","2.661289309596805985","2.661289309596805985","2.661289309596805985","Activated","38","viper","38","2.661289309596805985",NA,NA,"4","ReMap--ChIP-seq(rank=266); GTEx--Coexpression(rank=824); Enrichr--Queries(rank=873); ARCHS4--Coexpression(rank=1363)","1230","0.51280000000000003","GTEx Coexpression,0.5128"
"MYBL2","2.571342664806140377","2.571342664806140377","2.571342664806140377","Activated","39","viper","39","2.571342664806140377",NA,NA,"6","ENCODE--ChIP-seq(rank=114); Literature--ChIP-seq(rank=154); ReMap--ChIP-seq(rank=259); ARCHS4--Coexpression(rank=965); GTEx--Coexpression(rank=989); Enrichr--Queries(rank=1376)","1350","0.59279999999999999","ARCHS4 Coexpression,0.5928"
"IRF2","2.539233753996656962","2.539233753996656962","2.539233753996656962","Activated","40","viper","40","2.539233753996656962",NA,NA,"4","ARCHS4--Coexpression(rank=180); ReMap--ChIP-seq(rank=194); Enrichr--Queries(rank=342); GTEx--Coexpression(rank=440)","416","0.11060000000000000","ARCHS4 Coexpression,0.1106"
"IRF9","2.539072555036126388","2.539072555036126388","2.539072555036126388","Activated","41","viper","41","2.539072555036126388",NA,NA,"4","ReMap--ChIP-seq(rank=60); GTEx--Coexpression(rank=67); ARCHS4--Coexpression(rank=216); Enrichr--Queries(rank=496)","184","0.04169000000000000","GTEx Coexpression,0.04169"
"NR2C2","-2.495512915310210023","-2.495512915310210023","2.495512915310210023","Repressed","42","viper","42","2.495512915310210023",NA,NA,"5","ENCODE--ChIP-seq(rank=88); ReMap--ChIP-seq(rank=278); Enrichr--Queries(rank=1166); ARCHS4--Coexpression(rank=1439); GTEx--Coexpression(rank=1493)","1524","0.74580000000000002","ENCODE ChIP-seq,0.7458"
"NCOA1","2.439776635949647776","2.439776635949647776","2.439776635949647776","Activated","43","viper","43","2.439776635949647776",NA,NA,"4","ARCHS4--Coexpression(rank=88); ReMap--ChIP-seq(rank=209); GTEx--Coexpression(rank=512); Enrichr--Queries(rank=514)","234","0.05405000000000000","ARCHS4 Coexpression,0.05405"
"CUX1","2.410032606207932471","2.410032606207932471","2.410032606207932471","Activated","44","viper","44","2.410032606207932471",NA,NA,"6","ENCODE--ChIP-seq(rank=87); Literature--ChIP-seq(rank=111); ReMap--ChIP-seq(rank=121); Enrichr--Queries(rank=293); GTEx--Coexpression(rank=365); ARCHS4--Coexpression(rank=898)","662","0.20870000000000000","Enrichr Queries,0.2087"
"NFKB1","2.409840943108280786","2.409840943108280786","2.409840943108280786","Activated","45","viper","45","2.409840943108280786",NA,NA,"4","ARCHS4--Coexpression(rank=80); ReMap--ChIP-seq(rank=151); Enrichr--Queries(rank=452); GTEx--Coexpression(rank=470)","214","0.04914000000000000","ARCHS4 Coexpression,0.04914"
"LEF1","2.400982408899758003","2.400982408899758003","2.400982408899758003","Activated","46","viper","46","2.400982408899758003",NA,NA,"4","ARCHS4--Coexpression(rank=52); Enrichr--Queries(rank=126); ReMap--ChIP-seq(rank=175); GTEx--Coexpression(rank=542)","147","0.03194000000000000","ARCHS4 Coexpression,0.03194"
"MYCN","2.376636265600705400","2.376636265600705400","2.376636265600705400","Activated","47","viper","47","2.376636265600705400",NA,NA,"5","GTEx--Coexpression(rank=97); ReMap--ChIP-seq(rank=101); Literature--ChIP-seq(rank=125); Enrichr--Queries(rank=372); ARCHS4--Coexpression(rank=493)","254","0.06036000000000000","GTEx Coexpression,0.06036"
"RFX5","2.375641458371648085","2.375641458371648085","2.375641458371648085","Activated","48","viper","48","2.375641458371648085",NA,NA,"5","ENCODE--ChIP-seq(rank=37); ReMap--ChIP-seq(rank=228); GTEx--Coexpression(rank=594); Enrichr--Queries(rank=770); ARCHS4--Coexpression(rank=1198)","865","0.31359999999999999","ENCODE ChIP-seq,0.3136"
"SP4","2.370176189028921687","2.370176189028921687","2.370176189028921687","Activated","49","viper","49","2.370176189028921687",NA,NA,"5","ENCODE--ChIP-seq(rank=104); ReMap--ChIP-seq(rank=269); ARCHS4--Coexpression(rank=813); Enrichr--Queries(rank=830); GTEx--Coexpression(rank=1146)","1213","0.49940000000000001","ARCHS4 Coexpression,0.4994"
"BACH2","2.351501447524792621","2.351501447524792621","2.351501447524792621","Activated","50","viper","50","2.351501447524792621",NA,NA,"4","Enrichr--Queries(rank=55); ReMap--ChIP-seq(rank=145); ARCHS4--Coexpression(rank=395); GTEx--Coexpression(rank=742)","173","0.03917000000000000","Enrichr Queries,0.03917"
"ATF4","-2.314334627872072225","-2.314334627872072225","2.314334627872072225","Repressed","51","viper","51","2.314334627872072225",NA,NA,"4","ReMap--ChIP-seq(rank=44); GTEx--Coexpression(rank=58); Enrichr--Queries(rank=1249); ARCHS4--Coexpression(rank=1369)","163","0.03609000000000000","GTEx Coexpression,0.03609"
"NFATC1","2.278704258201502686","2.278704258201502686","2.278704258201502686","Activated","52","viper","52","2.278704258201502686",NA,NA,"5","ARCHS4--Coexpression(rank=73); ENCODE--ChIP-seq(rank=118); Enrichr--Queries(rank=203); ReMap--ChIP-seq(rank=260); GTEx--Coexpression(rank=716)","197","0.04484000000000000","ARCHS4 Coexpression,0.04484"
"ZNF263","2.241075024534515236","2.241075024534515236","2.241075024534515236","Activated","53","viper","53","2.241075024534515236",NA,NA,"6","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=38); Literature--ChIP-seq(rank=130); Enrichr--Queries(rank=998); GTEx--Coexpression(rank=1439); ARCHS4--Coexpression(rank=1563)","157","0.03390000000000000","ENCODE ChIP-seq,0.0339"
"NR2F6","2.238192577295329944","2.238192577295329944","2.238192577295329944","Activated","54","viper","54","2.238192577295329944",NA,NA,"4","ReMap--ChIP-seq(rank=61); GTEx--Coexpression(rank=615); ARCHS4--Coexpression(rank=760); Enrichr--Queries(rank=940)","651","0.20540000000000000","ReMap ChIP-seq,0.2054"
"GFI1B","2.222081363297458978","2.222081363297458978","2.222081363297458978","Activated","55","viper","55","2.222081363297458978",NA,NA,"5","ReMap--ChIP-seq(rank=117); Literature--ChIP-seq(rank=131); ARCHS4--Coexpression(rank=472); GTEx--Coexpression(rank=719); Enrichr--Queries(rank=756)","818","0.28989999999999999","ARCHS4 Coexpression,0.2899"
"GATA3","2.214041270062897304","2.214041270062897304","2.214041270062897304","Activated","56","viper","56","2.214041270062897304",NA,NA,"6","ENCODE--ChIP-seq(rank=16); ReMap--ChIP-seq(rank=32); Literature--ChIP-seq(rank=76); Enrichr--Queries(rank=77); ARCHS4--Coexpression(rank=249); GTEx--Coexpression(rank=356)","238","0.05484000000000000","Enrichr Queries,0.05484"
"STAT1","2.211589426364242605","2.211589426364242605","2.211589426364242605","Activated","57","viper","57","2.211589426364242605",NA,NA,"6","ENCODE--ChIP-seq(rank=15); ReMap--ChIP-seq(rank=16); ARCHS4--Coexpression(rank=79); Literature--ChIP-seq(rank=153); Enrichr--Queries(rank=421); GTEx--Coexpression(rank=925)","211","0.04853000000000000","ARCHS4 Coexpression,0.04853"
"TFDP1","2.176749433529124644","2.176749433529124644","2.176749433529124644","Activated","58","viper","58","2.176749433529124644",NA,NA,"4","ReMap--ChIP-seq(rank=283); GTEx--Coexpression(rank=1152); Enrichr--Queries(rank=1386); ARCHS4--Coexpression(rank=1396)","1502","0.71689999999999998","GTEx Coexpression,0.7169"
"SP1","2.133739916758593314","2.133739916758593314","2.133739916758593314","Activated","59","viper","59","2.133739916758593314",NA,NA,"5","ENCODE--ChIP-seq(rank=72); ReMap--ChIP-seq(rank=193); GTEx--Coexpression(rank=555); Enrichr--Queries(rank=995); ARCHS4--Coexpression(rank=1076)","926","0.34539999999999998","GTEx Coexpression,0.3454"
"NR3C1","-2.106018233781777216","-2.106018233781777216","2.106018233781777216","Repressed","60","viper","60","2.106018233781777216",NA,NA,"6","ENCODE--ChIP-seq(rank=20); Literature--ChIP-seq(rank=50); ARCHS4--Coexpression(rank=160); ReMap--ChIP-seq(rank=172); Enrichr--Queries(rank=325); GTEx--Coexpression(rank=1092)","374","0.09828000000000001","ARCHS4 Coexpression,0.09828"
"GABPA","2.079033543031510778","2.079033543031510778","2.079033543031510778","Activated","61","viper","61","2.079033543031510778",NA,NA,"6","Literature--ChIP-seq(rank=23); ENCODE--ChIP-seq(rank=44); ReMap--ChIP-seq(rank=258); GTEx--Coexpression(rank=1042); Enrichr--Queries(rank=1319); ARCHS4--Coexpression(rank=1385)","495","0.14019999999999999","Literature ChIP-seq,0.1402"
"MAFK","2.062427554451091272","2.062427554451091272","2.062427554451091272","Activated","62","viper","62","2.062427554451091272",NA,NA,"5","ENCODE--ChIP-seq(rank=25); GTEx--Coexpression(rank=174); ReMap--ChIP-seq(rank=206); Enrichr--Queries(rank=473); ARCHS4--Coexpression(rank=1071)","411","0.10829999999999999","GTEx Coexpression,0.1083"
"CREB3L1","2.049824563143681111","2.049824563143681111","2.049824563143681111","Activated","63","viper","63","2.049824563143681111",NA,NA,"4","ARCHS4--Coexpression(rank=18); Enrichr--Queries(rank=111); ReMap--ChIP-seq(rank=135); GTEx--Coexpression(rank=510)","53","0.01106000000000000","ARCHS4 Coexpression,0.01106"
"MEF2B","2.022173327107539276","2.022173327107539276","2.022173327107539276","Activated","64","viper","64","2.022173327107539276",NA,NA,"4","ReMap--ChIP-seq(rank=202); GTEx--Coexpression(rank=401); Enrichr--Queries(rank=503); ARCHS4--Coexpression(rank=504)","744","0.24950000000000000","GTEx Coexpression,0.2495"
"JUN","2.012048826351813702","2.012048826351813702","2.012048826351813702","Activated","65","viper","65","2.012048826351813702",NA,NA,"6","ENCODE--ChIP-seq(rank=26); Literature--ChIP-seq(rank=84); ReMap--ChIP-seq(rank=127); GTEx--Coexpression(rank=189); ARCHS4--Coexpression(rank=208); Enrichr--Queries(rank=223)","441","0.11760000000000000","GTEx Coexpression,0.1176"
"RUNX3","-1.990425510231008221","-1.990425510231008221","1.990425510231008221","Repressed","66","viper","66","1.990425510231008221",NA,NA,"5","ENCODE--ChIP-seq(rank=93); ReMap--ChIP-seq(rank=143); Enrichr--Queries(rank=279); ARCHS4--Coexpression(rank=300); GTEx--Coexpression(rank=321)","600","0.18429999999999999","ARCHS4 Coexpression,0.1843"
"TCF7","1.940890382191197361","1.940890382191197361","1.940890382191197361","Activated","67","viper","67","1.940890382191197361",NA,NA,"5","Literature--ChIP-seq(rank=52); ARCHS4--Coexpression(rank=95); ReMap--ChIP-seq(rank=136); Enrichr--Queries(rank=276); GTEx--Coexpression(rank=389)","250","0.05835000000000000","ARCHS4 Coexpression,0.05835"
"EBF1","1.919272097845566183","1.919272097845566183","1.919272097845566183","Activated","68","viper","68","1.919272097845566183",NA,NA,"5","ReMap--ChIP-seq(rank=69); ENCODE--ChIP-seq(rank=89); GTEx--Coexpression(rank=92); Enrichr--Queries(rank=278); ARCHS4--Coexpression(rank=308)","247","0.05725000000000000","GTEx Coexpression,0.05725"
"USF1","1.912471177121134236","1.912471177121134236","1.912471177121134236","Activated","69","viper","69","1.912471177121134236",NA,NA,"5","ENCODE--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=138); GTEx--Coexpression(rank=238); ARCHS4--Coexpression(rank=639); Enrichr--Queries(rank=997)","514","0.14810000000000001","GTEx Coexpression,0.1481"
"RELA","1.908960111491700529","1.908960111491700529","1.908960111491700529","Activated","70","viper","70","1.908960111491700529",NA,NA,"6","Literature--ChIP-seq(rank=13); ENCODE--ChIP-seq(rank=53); ReMap--ChIP-seq(rank=207); GTEx--Coexpression(rank=561); ARCHS4--Coexpression(rank=767); Enrichr--Queries(rank=797)","320","0.07926999999999999","Literature ChIP-seq,0.07927"
"FOXM1","1.876103753205193625","1.876103753205193625","1.876103753205193625","Activated","71","viper","71","1.876103753205193625",NA,NA,"6","Literature--ChIP-seq(rank=16); ENCODE--ChIP-seq(rank=67); ReMap--ChIP-seq(rank=272); ARCHS4--Coexpression(rank=957); GTEx--Coexpression(rank=1246); Enrichr--Queries(rank=1315)","373","0.09755999999999999","Literature ChIP-seq,0.09756"
"TP53","1.854592283564568067","1.854592283564568067","1.854592283564568067","Activated","72","viper","72","1.854592283564568067",NA,NA,"5","Literature--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=99); Enrichr--Queries(rank=821); ARCHS4--Coexpression(rank=1342); GTEx--Coexpression(rank=1381)","337","0.08537000000000000","Literature ChIP-seq,0.08537"
"POU4F2","1.854582758550495480","1.854582758550495480","1.854582758550495480","Activated","73","viper","73","1.854582758550495480",NA,NA,"4","ARCHS4--Coexpression(rank=262); ReMap--ChIP-seq(rank=282); Enrichr--Queries(rank=965); GTEx--Coexpression(rank=1538)","542","0.16089999999999999","ARCHS4 Coexpression,0.1609"
"NR1H2","1.829498548785566614","1.829498548785566614","1.829498548785566614","Activated","74","viper","74","1.829498548785566614",NA,NA,"4","ReMap--ChIP-seq(rank=63); ARCHS4--Coexpression(rank=499); GTEx--Coexpression(rank=518); Enrichr--Queries(rank=1253)","669","0.21210000000000001","ReMap ChIP-seq,0.2121"
"MXI1","-1.817081832179350709","-1.817081832179350709","1.817081832179350709","Repressed","75","viper","75","1.817081832179350709",NA,NA,"5","ENCODE--ChIP-seq(rank=40); ReMap--ChIP-seq(rank=222); ARCHS4--Coexpression(rank=281); GTEx--Coexpression(rank=373); Enrichr--Queries(rank=712)","572","0.17260000000000000","ARCHS4 Coexpression,0.1726"
"FOXO1","-1.777721247958497175","-1.777721247958497175","1.777721247958497175","Repressed","76","viper","76","1.777721247958497175",NA,NA,"5","Literature--ChIP-seq(rank=59); ReMap--ChIP-seq(rank=70); Enrichr--Queries(rank=78); ARCHS4--Coexpression(rank=290); GTEx--Coexpression(rank=666)","241","0.05556000000000000","Enrichr Queries,0.05556"
"BCL6","-1.765593679879157163","-1.765593679879157163","1.765593679879157163","Repressed","77","viper","77","1.765593679879157163",NA,NA,"5","Literature--ChIP-seq(rank=103); ReMap--ChIP-seq(rank=109); Enrichr--Queries(rank=172); ARCHS4--Coexpression(rank=447); GTEx--Coexpression(rank=1068)","456","0.12250000000000000","Enrichr Queries,0.1225"
"ETV1","1.765157566121252408","1.765157566121252408","1.765157566121252408","Activated","78","viper","78","1.765157566121252408",NA,NA,"4","Enrichr--Queries(rank=64); ARCHS4--Coexpression(rank=153); ReMap--ChIP-seq(rank=177); GTEx--Coexpression(rank=549)","201","0.04558000000000000","Enrichr Queries,0.04558"
