"GeneID","Symbol","Ensembl","Entrez","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000164199","ADGRV1","ENSG00000164199","84059","0.5273404070337415","3.96474283158078888","3.579573445621909","0.00387033591417791298","0.9998576205266885","-3.973857617666401"
"ENSG00000105792","CFAP69","ENSG00000105792","79846","-0.6696561738135778","2.17797767078801874","-3.499601736033311","0.00447864304155313250","0.9998576205266885","-4.294610402673485"
"ENSG00000070540","WIPI1","ENSG00000070540","55062","0.5113355989107156","5.40469718458911164","3.476291044432598","0.00467370985101937201","0.9998576205266885","-3.757273139180836"
"ENSG00000180914","OXTR","ENSG00000180914","5021","-1.2611844866178090","0.77115284830160735","-3.475300631035783","0.00468218699996802556","0.9998576205266885","-4.429272031135000"
"ENSG00000184454","NCMAP","ENSG00000184454","400746","0.5192171799338414","2.47621700666280242","3.464631872380909","0.00477450260765864033","0.9998576205266885","-4.252506185869573"
"ENSG00000107957","SH3PXD2A","ENSG00000107957","9644","0.6364562704039778","3.59907415977061840","3.449299047630908","0.00491043388100295946","0.9998576205266885","-4.071760644761013"
"ENSG00000225614","ZNF469","ENSG00000225614","84627","0.9124338250893747","2.76035610836519396","3.406923886141739","0.00530696187904301873","0.9998576205266885","-4.221422922358422"
"ENSG00000186472","PCLO","ENSG00000186472","27445","-1.8738609610638108","2.24705541801814679","-3.347244723941766","0.00592131350437538877","0.9998576205266885","-4.321710681847049"
"ENSG00000180530","NRIP1","ENSG00000180530","8204","-0.5007019760424738","5.36528789481261459","-3.336516088117548","0.00603918924834758331","0.9998576205266885","-3.821791617613637"
"ENSG00000178695","KCTD12","ENSG00000178695","115207","-0.8428253924945110","0.62381644006311998","-3.229193631619680","0.00735759219864638107","0.9998576205266885","-4.452461329454652"
"ENSG00000183742","MACC1","ENSG00000183742","346389","-1.4266731752866124","4.13800815493167384","-3.219608224752460","0.00748866783670938934","0.9998576205266885","-4.059165734765299"
"ENSG00000134802","SLC43A3","ENSG00000134802","29015","-0.9633925887435937","2.69280142390143551","-3.182770879065894","0.00801472415895410593","0.9998576205266885","-4.270683429056881"
"ENSG00000241468","ATP5MF","ENSG00000241468","9551","-0.6695844019222097","4.21887628137583892","-3.165242847047373","0.00827797068812123962","0.9998576205266885","-4.043650657831257"
"ENSG00000181458","TMEM45A","ENSG00000181458","55076","-0.5337956790832665","2.44063259462721627","-3.153432422414582","0.00846024447262465167","0.9998576205266885","-4.301129123722648"
"ENSG00000135636","DYSF","ENSG00000135636","8291","0.6328521737122430","2.31089230585780525","3.127593493328158","0.00887324654162843611","0.9998576205266885","-4.314095693426543"
"ENSG00000162576","MXRA8","ENSG00000162576","54587","0.6459453242604598","2.13633070502659228","3.103657901119104","0.00927391092844561359","0.9998576205266885","-4.335547625698201"
"ENSG00000179846","NKPD1","ENSG00000179846","284353","0.7237805498170986","0.63011087782479824","3.098960988726914","0.00935464379539934637","0.9998576205266885","-4.451940152222257"
"ENSG00000100100","PIK3IP1","ENSG00000100100","113791","0.6126192804479289","2.06442932104629717","3.038657286928429","0.01045610130299550605","0.9998576205266885","-4.350206939400363"
"ENSG00000062582","MRPS24","ENSG00000062582","64951","-1.0276326327332388","-1.22595504213928064","-3.032369134217846","0.01057819738606284067","0.9998576205266885","-4.538707489981418"
"ENSG00000152926","ZNF117","ENSG00000152926","51351","-0.5049182497933304","2.77108590480269212","-3.025192195641810","0.01071929772176424475","0.9998576205266885","-4.278572838401582"
"ENSG00000272899","SPMIP1","ENSG00000272899","100130705","0.7916883431421049","-0.59654077193507105","2.988284993142630","0.01147522236464485444","0.9998576205266885","-4.517155653327759"
"ENSG00000129353","SLC44A2","ENSG00000129353","57153","-0.7912927334830009","5.82097995898150700","-2.982492068075746","0.01159862160933038296","0.9998576205266885","-3.906560026169589"
"ENSG00000169306","IL1RAPL1","ENSG00000169306","11141","-1.7209504475987953","2.39999453440022448","-2.948569281364694","0.01234832229044398322","0.9998576205266885","-4.342892312072657"
"ENSG00000088386","SLC15A1","ENSG00000088386","6564","0.8060985984499778","1.42542620939254649","2.905527108978518","0.01336956263996257228","0.9998576205266885","-4.415767085705335"
"ENSG00000139946","PELI2","ENSG00000139946","57161","-0.7105483200795699","1.61226924731174748","-2.895014830869664","0.01363151240065335265","0.9998576205266885","-4.408847048980181"
"ENSG00000189403","HMGB1","ENSG00000189403","3146","-0.5590728787107402","9.30817170028454299","-2.872298327074620","0.01421514885655537908","0.9998576205266885","-3.962218056758444"
"ENSG00000158578","ALAS2","ENSG00000158578","212","1.1474758941460217","-1.31238872570890819","2.865960658249455","0.01438236645427679213","0.9998576205266885","-4.542963084140967"
"ENSG00000071282","LMCD1","ENSG00000071282","29995","-0.5543119099981189","2.40911835508411709","-2.854833513226633","0.01468069630044235158","0.9998576205266885","-4.343567264120189"
"ENSG00000162738","VANGL2","ENSG00000162738","57216","-0.7051699566779831","0.50821224182124525","-2.826312783341643","0.01547372654950872860","0.9998576205266885","-4.481115000037086"
"ENSG00000140022","STON2","ENSG00000140022","85439","-0.9405778208767370","3.12026245842471184","-2.809305096118432","0.01596671154203697929","0.9998576205266885","-4.275468283544954"
"ENSG00000172183","ISG20","ENSG00000172183","3669","0.6712611925628034","4.05800519953549799","2.783381548426179","0.01674822558586731847","0.9998576205266885","-4.145348885097748"
"ENSG00000124406","ATP8A1","ENSG00000124406","10396","0.8814569627431921","2.13874124379590036","2.779745378087086","0.01686083120118906167","0.9998576205266885","-4.374492442168435"
"ENSG00000114378","HYAL1","ENSG00000114378","3373","0.5412211463864387","3.77712538627119976","2.779494346050529","0.01686863279575920305","0.9998576205266885","-4.185361852423824"
"ENSG00000110427","KIAA1549L","ENSG00000110427","25758","-0.7232960272206646","0.39323827248400517","-2.769340179484219","0.01718721633212714692","0.9998576205266885","-4.488348943690958"
"ENSG00000150672","DLG2","ENSG00000150672","1740","0.5144092413015073","1.55584606076456389","2.736787199044826","0.01824918782768295694","0.9998576205266885","-4.422928286228098"
"ENSG00000196954","CASP4","ENSG00000196954","837","0.5869047078328440","3.92874476760019542","2.726400612795578","0.01860147083178508368","0.9998576205266885","-4.177500967418395"
"ENSG00000177675","CD163L1","ENSG00000177675","283316","-0.7313189151471717","3.65775455203420030","-2.685266637820480","0.02006367543255793001","0.9998576205266885","-4.232574140010398"
"ENSG00000134013","LOXL2","ENSG00000134013","4017","0.5200666394580455","5.02096303564269508","2.678931181538406","0.02029872237447415129","0.9998576205266885","-4.059379242848690"
"ENSG00000149506","ZP1","ENSG00000149506","22917","1.4685967721526294","-0.77467116622373344","2.645523557902429","0.02158364414795857153","0.9998576205266885","-4.536422394542240"
"ENSG00000110042","DTX4","ENSG00000110042","23220","0.6699526208498590","3.48790583929823761","2.640312835971054","0.02179113223935033247","0.9998576205266885","-4.254281350122135"
"ENSG00000099783","HNRNPM","ENSG00000099783","4670","-0.5011107032038060","7.50506221098344373","-2.601706408730920","0.02339055181214783757","0.9998576205266885","-4.009653603290286"
"ENSG00000105810","CDK6","ENSG00000105810","1021","-0.5438663003731108","7.09711249081861961","-2.578272812268160","0.02441685059263448351","0.9998576205266885","-4.016614668605345"
"ENSG00000153071","DAB2","ENSG00000153071","1601","0.6506509303149102","2.96110883148799831","2.573516420236190","0.02463047287273486402","0.9998576205266885","-4.326434131000535"
"ENSG00000186765","FSCN2","ENSG00000186765","25794","0.7103246935443108","2.90900754533062056","2.569722632677397","0.02480217008140335466","0.9998576205266885","-4.332597813404124"
"ENSG00000205704","SMIM45","ENSG00000205704","339674","-0.7882169339945508","-0.37565934261243700","-2.515028030638517","0.02741117780420405589","0.9998576205266885","-4.531681314262262"
