"TF","MD_HCT116"
"KLF9","5.379603757825364596"
"KMT2A","-0.630351239157586507"
"LEF1","-0.921646768762989677"
"LHX2","0.712338137870170862"
"LYL1","4.496820896505216325"
"MAF","1.292322293686176460"
"MAFB","2.347467235440822364"
"MAFF","1.580022726892584162"
"MAFG","0.905385417115602165"
"MAFK","2.248773275575790986"
"MAX","3.510559668505171427"
"MAZ","4.246710676630830683"
"MBD1","-2.660909530102420373"
"MBD2","3.511072731377362643"
"MEF2A","3.163798860348286723"
"MEF2B","2.949677332842488564"
"MEF2C","2.548478437646231054"
"MEIS1","1.174434406722003166"
"MEIS2","0.814892551020940048"
"MITF","-1.655641920979864068"
"MNT","-2.847396411536225802"
"MXI1","-3.241730464246514121"
"MYB","-0.284311340553064174"
"MYBL2","-1.584849636333487632"
"MYC","-4.078698561930078625"
"MYCN","-2.759726150709102654"
"MYOD1","2.883843234941804834"
"NANOG","1.461382114875956928"
"NCOA1","1.119650163112427821"
"NCOA2","-0.298703562612876339"
"NCOA3","0.928668238568882698"
"NEUROD1","2.531404757336925826"
"NFATC1","1.094010856774991769"
"NFE2","2.223300617176999783"
"NFE2L1","0.198880402820345720"
"NFE2L2","-2.941949643013682447"
"NFIC","-0.029847367829667369"
"NFKB1","1.321714158848324772"
"NFKB2","-2.094779923314643799"
"NFYA","-0.428579907130592797"
"NFYB","-0.746659229659411894"
"NR1H2","-0.641459142922810588"
"NR1H3","-0.004380025791026249"
"NR2C2","-3.117525622133108243"
"NR2F1","6.208570735036727406"
"NR2F6","-0.230715311340983859"
"NR3C1","-2.690933873756228056"
"NR4A1","2.434863575259158974"
"NR5A2","-1.226809437652458756"
"NRF1","0.969320049496748770"
"ONECUT1","-0.114542801176224965"
"OTX2","0.702073627118537158"
"PAX5","2.457550373260751542"
"PAX8","0.985499815269423762"
"PBX2","2.219625880256740125"
"PBX3","1.873653609240291340"
"PDX1","1.114603622267521077"
"PGR","1.898698306708749062"
"PKNOX1","-0.136884533171755890"
"POU2F1","1.340883909790040462"
"POU2F2","-0.479008981950772184"
"POU4F2","3.593546982575879234"
"POU5F1","2.404231106479721269"
"PPARA","1.317353290716548608"
"PPARG","-0.318171704363313546"
"PRDM1","-1.320819856391506786"
"PRDM14","6.895616009207872210"
"PROX1","3.533676735037639460"
"RARA","-1.259119828990324264"
"RBPJ","2.668638282738958534"
"REL","1.534657542795658358"
"RELA","2.744492969768406176"
"RELB","3.252015586244216827"
"REST","-3.303115992899509745"
"RFX1","0.655696452858720802"
"RFX2","0.180011759286668072"
"RFX5","0.990049527013228237"
"RUNX1","2.134589651451956449"
"RUNX2","1.795823559280533166"
"RUNX3","0.779093654159406679"
"RXRA","0.112723463838890134"
"SIX2","2.535080136935627504"
"SIX5","3.074811785348676718"
"SMAD1","-1.429428273251405868"
"SMAD3","1.579260288023859538"
"SMAD4","0.215759841728170559"
"SMAD5","-0.790688170284385317"
"SNAI2","-1.853588335891612759"
"SNAPC4","0.789721426636510349"
"SOX10","0.345391732408336094"
"SOX11","0.813647192991303725"
"SOX13","1.842748368780216195"
"SOX2","0.899921231894977525"
"SOX6","0.268383068953770787"
"SOX9","-1.464107520942123042"
"SP1","-1.672211135508143043"
"SP2","-0.770230817394904177"
"SP3","0.178097233661367177"
"SP4","1.261125290159198498"
"SPI1","0.476067262766152022"
"SPIB","1.301615961264845245"
"SREBF1","-4.640381612925887467"
"SREBF2","-4.911205654387616804"
"SRF","0.498531191828880393"
"STAT1","1.288247288050676120"
"STAT2","-0.684865679140105099"
"STAT3","1.401204257508736895"
"STAT4","1.271049911250817344"
"STAT5A","1.760806476598036685"
"STAT5B","1.295554319152461886"
"STAT6","1.231483884237947413"
"TAL1","1.249894596482163722"
"TBP","1.719233133043980954"
"TBX21","1.210111346445424729"
"TCF12","2.068986034880596403"
"TCF3","0.422229514906180936"
"TCF4","0.701055956958312687"
"TCF7","1.447337742764803092"
"TCF7L2","1.254642696142646896"
"TEAD1","3.796362295380708129"
"TEAD2","1.273006342840178995"
"TEAD4","3.402760791682895913"
"TFAP2A","0.690975601332803113"
"TFAP2C","2.239244717904009807"
"TFAP4","2.700173307933707800"
"TFDP1","-4.026881403907793811"
"TGIF2","-1.272958916727916723"
"THAP1","4.709630435195753861"
"THAP11","2.080506843032372544"
"TP53","-0.799166797507397053"
"TP63","-0.347722893640111774"
"TP73","0.814172467381370946"
"TWIST1","-0.996108988966420972"
"USF1","0.975107755150752986"
"USF2","1.127589399006128312"
"VDR","-1.464549170309773718"
"WT1","-0.587687239949732598"
"XBP1","0.432804699874127730"
"YY1","-0.363898021748849609"
"ZBED1","-0.863927294555814851"
"ZBTB11","-1.695014867292336191"
"ZBTB33","-1.122267851119163273"
"ZBTB7A","-6.232362870125516707"
"ZEB1","1.008978708801240520"
"ZEB2","0.537986554634776182"
"ZFX","-0.044118482589338717"
"ZKSCAN1","1.312618716842193445"
"ZNF143","2.498544679758576414"
"ZNF217","-0.900378114083214887"
"ZNF24","-1.477690360779133183"
"ZNF263","-12.515382198485998089"
"ZNF274","-0.632240204635003855"
"ZNF384","0.339019881975948900"
"ZNF592","0.312159077653228534"
"ZNF639","2.017597418132658138"
"ZNF740","1.112084850094430255"
