"TF","LD_HCT116","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"ATF3","-1.28632841610778637","-1.28632841610778637","1.28632841610778637","Repressed","148","viper","148","1.28632841610778637",NA,NA,"6","Literature--ChIP-seq(rank=32); ENCODE--ChIP-seq(rank=53); ReMap--ChIP-seq(rank=124); Enrichr--Queries(rank=150); ARCHS4--Coexpression(rank=299); GTEx--Coexpression(rank=514)","408","0.10680000000000001","Enrichr Queries,0.1068"
"ATF7","1.27603117076458705","1.27603117076458705","1.27603117076458705","Activated","149","viper","149","1.27603117076458705",NA,NA,"4","ReMap--ChIP-seq(rank=141); GTEx--Coexpression(rank=677); ARCHS4--Coexpression(rank=685); Enrichr--Queries(rank=1360)","1135","0.42080000000000001","ARCHS4 Coexpression,0.4208"
"BCL6","-1.26978331137289335","-1.26978331137289335","1.26978331137289335","Repressed","150","viper","150","1.26978331137289335",NA,NA,"5","ReMap--ChIP-seq(rank=120); Literature--ChIP-seq(rank=136); Enrichr--Queries(rank=325); ARCHS4--Coexpression(rank=585); GTEx--Coexpression(rank=1121)","766","0.23150000000000001","Enrichr Queries,0.2315"
"ATF4","1.26798059688015030","1.26798059688015030","1.26798059688015030","Activated","151","viper","151","1.26798059688015030",NA,NA,"4","ReMap--ChIP-seq(rank=256); GTEx--Coexpression(rank=588); Enrichr--Queries(rank=914); ARCHS4--Coexpression(rank=1223)","1040","0.36590000000000000","GTEx Coexpression,0.3659"
"ATF2","1.26453747134391370","1.26453747134391370","1.26453747134391370","Activated","152","viper","152","1.26453747134391370",NA,NA,"5","ENCODE--ChIP-seq(rank=81); ReMap--ChIP-seq(rank=185); GTEx--Coexpression(rank=797); ARCHS4--Coexpression(rank=1012); Enrichr--Queries(rank=1361)","1257","0.49600000000000000","GTEx Coexpression,0.496"
"STAT5A","1.24738238266010160","1.24738238266010160","1.24738238266010160","Activated","153","viper","153","1.24738238266010160",NA,NA,"6","ENCODE--ChIP-seq(rank=84); Literature--ChIP-seq(rank=88); ReMap--ChIP-seq(rank=261); Enrichr--Queries(rank=297); ARCHS4--Coexpression(rank=714); GTEx--Coexpression(rank=934)","713","0.21149999999999999","Enrichr Queries,0.2115"
"PPARA","1.24191728411870539","1.24191728411870539","1.24191728411870539","Activated","154","viper","154","1.24191728411870539",NA,NA,"3","Enrichr--Queries(rank=675); ARCHS4--Coexpression(rank=754); GTEx--Coexpression(rank=1349)","1202","0.46310000000000001","ARCHS4 Coexpression,0.4631"
"POU4F2","1.24121418661911398","1.24121418661911398","1.24121418661911398","Activated","155","viper","155","1.24121418661911398",NA,NA,"4","ReMap--ChIP-seq(rank=208); ARCHS4--Coexpression(rank=276); Enrichr--Queries(rank=1165); GTEx--Coexpression(rank=1384)","613","0.16950000000000001","ARCHS4 Coexpression,0.1695"
"PBX3","1.23694123094759467","1.23694123094759467","1.23694123094759467","Activated","156","viper","156","1.23694123094759467",NA,NA,"5","ENCODE--ChIP-seq(rank=49); ReMap--ChIP-seq(rank=58); ARCHS4--Coexpression(rank=280); GTEx--Coexpression(rank=352); Enrichr--Queries(rank=361)","622","0.17199999999999999","ARCHS4 Coexpression,0.172"
"LEF1","-1.22857398329439604","-1.22857398329439604","1.22857398329439604","Repressed","157","viper","157","1.22857398329439604",NA,NA,"4","Enrichr--Queries(rank=178); ReMap--ChIP-seq(rank=257); ARCHS4--Coexpression(rank=1070); GTEx--Coexpression(rank=1525)","478","0.12680000000000000","Enrichr Queries,0.1268"
"SP1","1.22077199907112499","1.22077199907112499","1.22077199907112499","Activated","158","viper","158","1.22077199907112499",NA,NA,"5","ENCODE--ChIP-seq(rank=8); ReMap--ChIP-seq(rank=71); GTEx--Coexpression(rank=315); Enrichr--Queries(rank=995); ARCHS4--Coexpression(rank=1477)","270","0.06780000000000000","ENCODE ChIP-seq,0.0678"
"NRF1","1.19637490926884182","1.19637490926884182","1.19637490926884182","Activated","159","viper","159","1.19637490926884182",NA,NA,"5","ReMap--ChIP-seq(rank=67); ENCODE--ChIP-seq(rank=94); Enrichr--Queries(rank=309); ARCHS4--Coexpression(rank=1009); GTEx--Coexpression(rank=1394)","740","0.22009999999999999","Enrichr Queries,0.2201"
"NFE2L1","1.18119033588839706","1.18119033588839706","1.18119033588839706","Activated","160","viper","160","1.18119033588839706",NA,NA,"4","ReMap--ChIP-seq(rank=264); GTEx--Coexpression(rank=883); ARCHS4--Coexpression(rank=958); Enrichr--Queries(rank=983)","1332","0.54949999999999999","GTEx Coexpression,0.5495"
"KMT2A","1.17892462177737589","1.17892462177737589","1.17892462177737589","Activated","161","viper","161","1.17892462177737589",NA,NA,"3","ReMap--ChIP-seq(rank=259); GTEx--Coexpression(rank=1343); ARCHS4--Coexpression(rank=1552)","1590","0.83570000000000000","GTEx Coexpression,0.8357"
"TP63","1.16955193228682042","1.16955193228682042","1.16955193228682042","Activated","162","viper","162","1.16955193228682042",NA,NA,"5","ReMap--ChIP-seq(rank=10); Literature--ChIP-seq(rank=69); Enrichr--Queries(rank=289); GTEx--Coexpression(rank=472); ARCHS4--Coexpression(rank=528)","131","0.03367000000000000","ReMap ChIP-seq,0.03367"
"ZNF217","-1.14471466525560861","-1.14471466525560861","1.14471466525560861","Repressed","163","viper","163","1.14471466525560861",NA,NA,"6","ENCODE--ChIP-seq(rank=12); Literature--ChIP-seq(rank=29); ReMap--ChIP-seq(rank=215); Enrichr--Queries(rank=303); GTEx--Coexpression(rank=546); ARCHS4--Coexpression(rank=972)","389","0.10170000000000001","ENCODE ChIP-seq,0.1017"
"RARA","1.13374277843441029","1.13374277843441029","1.13374277843441029","Activated","164","viper","164","1.13374277843441029",NA,NA,"5","ReMap--ChIP-seq(rank=40); Literature--ChIP-seq(rank=72); Enrichr--Queries(rank=523); ARCHS4--Coexpression(rank=640); GTEx--Coexpression(rank=1014)","507","0.13469999999999999","ReMap ChIP-seq,0.1347"
"ELF5","-1.13085283129197189","-1.13085283129197189","1.13085283129197189","Repressed","165","viper","165","1.13085283129197189",NA,NA,"5","Literature--ChIP-seq(rank=92); ReMap--ChIP-seq(rank=189); GTEx--Coexpression(rank=326); ARCHS4--Coexpression(rank=411); Enrichr--Queries(rank=512)","693","0.20290000000000000","GTEx Coexpression,0.2029"
"PAX8","-1.12777307209095401","-1.12777307209095401","1.12777307209095401","Repressed","166","viper","166","1.12777307209095401",NA,NA,"4","ARCHS4--Coexpression(rank=124); ReMap--ChIP-seq(rank=255); GTEx--Coexpression(rank=260); Enrichr--Queries(rank=337)","303","0.07617000000000000","ARCHS4 Coexpression,0.07617"
"HNF1B","-1.09740834470118021","-1.09740834470118021","1.09740834470118021","Repressed","167","viper","167","1.09740834470118021",NA,NA,"3","ReMap--ChIP-seq(rank=146); ARCHS4--Coexpression(rank=318); Enrichr--Queries(rank=356)","673","0.19530000000000000","ARCHS4 Coexpression,0.1953"
"HOXB13","-1.08941915682062773","-1.08941915682062773","1.08941915682062773","Repressed","168","viper","168","1.08941915682062773",NA,NA,"4","ReMap--ChIP-seq(rank=279); GTEx--Coexpression(rank=332); Enrichr--Queries(rank=353); ARCHS4--Coexpression(rank=832)","702","0.20660000000000001","GTEx Coexpression,0.2066"
"MAFG","1.08847045507322870","1.08847045507322870","1.08847045507322870","Activated","169","viper","169","1.08847045507322870",NA,NA,"4","ReMap--ChIP-seq(rank=275); Enrichr--Queries(rank=414); GTEx--Coexpression(rank=896); ARCHS4--Coexpression(rank=1169)","908","0.29490000000000000","Enrichr Queries,0.2949"
"ARID2","-1.07572455989091686","-1.07572455989091686","1.07572455989091686","Repressed","170","viper","170","1.07572455989091686",NA,NA,"4","ReMap--ChIP-seq(rank=55); ARCHS4--Coexpression(rank=478); Enrichr--Queries(rank=1304); GTEx--Coexpression(rank=1514)","647","0.18520000000000000","ReMap ChIP-seq,0.1852"
"FOXK2","1.05721095851643354","1.05721095851643354","1.05721095851643354","Activated","171","viper","171","1.05721095851643354",NA,NA,"4","ReMap--ChIP-seq(rank=249); GTEx--Coexpression(rank=964); Enrichr--Queries(rank=1015); ARCHS4--Coexpression(rank=1249)","1393","0.59989999999999999","GTEx Coexpression,0.5999"
"GRHL2","1.05626035477253488","1.05626035477253488","1.05626035477253488","Activated","172","viper","172","1.05626035477253488",NA,NA,"5","ReMap--ChIP-seq(rank=34); Literature--ChIP-seq(rank=114); GTEx--Coexpression(rank=136); Enrichr--Queries(rank=141); ARCHS4--Coexpression(rank=222)","327","0.08463000000000000","GTEx Coexpression,0.08463"
"TP53","1.05245772695263562","1.05245772695263562","1.05245772695263562","Activated","173","viper","173","1.05245772695263562",NA,NA,"5","ARCHS4--Coexpression(rank=36); Literature--ChIP-seq(rank=39); ReMap--ChIP-seq(rank=96); Enrichr--Queries(rank=156); GTEx--Coexpression(rank=189)","84","0.02211000000000000","ARCHS4 Coexpression,0.02211"
"TWIST1","1.02246858831495735","1.02246858831495735","1.02246858831495735","Activated","174","viper","174","1.02246858831495735",NA,NA,"4","ReMap--ChIP-seq(rank=44); Enrichr--Queries(rank=103); ARCHS4--Coexpression(rank=176); GTEx--Coexpression(rank=639)","294","0.07335999999999999","Enrichr Queries,0.07336"
"ZNF592","1.01875091803529183","1.01875091803529183","1.01875091803529183","Activated","175","viper","175","1.01875091803529183",NA,NA,"4","ReMap--ChIP-seq(rank=198); ARCHS4--Coexpression(rank=1144); GTEx--Coexpression(rank=1351); Enrichr--Queries(rank=1383)","1467","0.66669999999999985","ReMap ChIP-seq,0.6667"
"HNF4A","1.01436050513090792","1.01436050513090792","1.01436050513090792","Activated","176","viper","176","1.01436050513090792",NA,NA,"6","Literature--ChIP-seq(rank=44); ENCODE--ChIP-seq(rank=74); ReMap--ChIP-seq(rank=109); Enrichr--Queries(rank=572); ARCHS4--Coexpression(rank=1240); GTEx--Coexpression(rank=1366)","849","0.26829999999999998","Literature ChIP-seq,0.2683"
"FOXO3","1.00173576664392638","1.00173576664392638","1.00173576664392638","Activated","177","viper","177","1.00173576664392638",NA,NA,"4","Literature--ChIP-seq(rank=138); Enrichr--Queries(rank=580); ARCHS4--Coexpression(rank=912); GTEx--Coexpression(rank=1139)","1119","0.41310000000000002","Enrichr Queries,0.4131"
"FOXL2","0.99160226855123301","0.99160226855123301","0.99160226855123301","Activated","178","viper","178","0.99160226855123301",NA,NA,"3","ARCHS4--Coexpression(rank=354); Enrichr--Queries(rank=494); GTEx--Coexpression(rank=755)","730","0.21740000000000001","ARCHS4 Coexpression,0.2174"
"ZEB2","0.98562518083369888","0.98562518083369888","0.98562518083369888","Activated","179","viper","179","0.98562518083369888",NA,NA,"4","ReMap--ChIP-seq(rank=241); GTEx--Coexpression(rank=657); Enrichr--Queries(rank=659); ARCHS4--Coexpression(rank=910)","1108","0.40880000000000000","GTEx Coexpression,0.4088"
"HHEX","-0.95071139978025088","-0.95071139978025088","0.95071139978025088","Repressed","180","viper","180","0.95071139978025088",NA,NA,"4","ReMap--ChIP-seq(rank=183); GTEx--Coexpression(rank=305); Enrichr--Queries(rank=374); ARCHS4--Coexpression(rank=679)","659","0.18980000000000000","GTEx Coexpression,0.1898"
"ELK4","0.93748145444118625","0.93748145444118625","0.93748145444118625","Activated","181","viper","181","0.93748145444118625",NA,NA,"5","ENCODE--ChIP-seq(rank=102); ReMap--ChIP-seq(rank=130); GTEx--Coexpression(rank=558); ARCHS4--Coexpression(rank=1206); Enrichr--Queries(rank=1281)","1000","0.34720000000000001","GTEx Coexpression,0.3472"
"E2F7","-0.93086887256937167","-0.93086887256937167","0.93086887256937167","Repressed","182","viper","182","0.93086887256937167",NA,NA,"5","ARCHS4--Coexpression(rank=2); Enrichr--Queries(rank=3); Literature--ChIP-seq(rank=3); GTEx--Coexpression(rank=8); ReMap--ChIP-seq(rank=61)","3","0.00122900000000000","ARCHS4 Coexpression,0.001229"
"RFX2","0.92188526743729426","0.92188526743729426","0.92188526743729426","Activated","183","viper","183","0.92188526743729426",NA,NA,"4","ReMap--ChIP-seq(rank=150); Enrichr--Queries(rank=477); ARCHS4--Coexpression(rank=706); GTEx--Coexpression(rank=1400)","990","0.33970000000000000","Enrichr Queries,0.3397"
"TFAP2A","0.89522654356346310","0.89522654356346310","0.89522654356346310","Activated","184","viper","184","0.89522654356346310",NA,NA,"6","ENCODE--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=111); Literature--ChIP-seq(rank=148); Enrichr--Queries(rank=235); GTEx--Coexpression(rank=308); ARCHS4--Coexpression(rank=316)","232","0.05932000000000000","ENCODE ChIP-seq,0.05932"
"ETS2","0.88641955054058619","0.88641955054058619","0.88641955054058619","Activated","185","viper","185","0.88641955054058619",NA,NA,"4","Literature--ChIP-seq(rank=86); Enrichr--Queries(rank=320); ARCHS4--Coexpression(rank=801); GTEx--Coexpression(rank=936)","761","0.22789999999999999","Enrichr Queries,0.2279"
"NR2F6","-0.87004576805210354","-0.87004576805210354","0.87004576805210354","Repressed","186","viper","186","0.87004576805210354",NA,NA,"4","ReMap--ChIP-seq(rank=39); Enrichr--Queries(rank=321); ARCHS4--Coexpression(rank=579); GTEx--Coexpression(rank=717)","495","0.13130000000000000","ReMap ChIP-seq,0.1313"
"ARNT","-0.82973440550882382","-0.82973440550882382","0.82973440550882382","Repressed","187","viper","187","0.82973440550882382",NA,NA,"5","Literature--ChIP-seq(rank=89); ReMap--ChIP-seq(rank=132); ARCHS4--Coexpression(rank=220); GTEx--Coexpression(rank=413); Enrichr--Queries(rank=1347)","508","0.13510000000000000","ARCHS4 Coexpression,0.1351"
"CEBPG","0.80864414000160501","0.80864414000160501","0.80864414000160501","Activated","188","viper","188","0.80864414000160501",NA,NA,"4","ReMap--ChIP-seq(rank=180); Enrichr--Queries(rank=201); ARCHS4--Coexpression(rank=663); GTEx--Coexpression(rank=1375)","530","0.14319999999999999","Enrichr Queries,0.1432"
"BACH2","0.80248297647492817","0.80248297647492817","0.80248297647492817","Activated","189","viper","189","0.80248297647492817",NA,NA,"4","ReMap--ChIP-seq(rank=258); Enrichr--Queries(rank=563); ARCHS4--Coexpression(rank=908); GTEx--Coexpression(rank=1303)","1093","0.40100000000000002","Enrichr Queries,0.401"
"STAT5B","0.78382610628045379","0.78382610628045379","0.78382610628045379","Activated","190","viper","190","0.78382610628045379",NA,NA,"4","ReMap--ChIP-seq(rank=237); ARCHS4--Coexpression(rank=760); Enrichr--Queries(rank=1008); GTEx--Coexpression(rank=1026)","1211","0.46679999999999999","ARCHS4 Coexpression,0.4668"
"FOXA2","-0.77869582930544101","-0.77869582930544101","0.77869582930544101","Repressed","191","viper","191","0.77869582930544101",NA,NA,"6","Literature--ChIP-seq(rank=41); ENCODE--ChIP-seq(rank=52); ReMap--ChIP-seq(rank=166); Enrichr--Queries(rank=197); ARCHS4--Coexpression(rank=427); GTEx--Coexpression(rank=527)","521","0.14030000000000001","Enrichr Queries,0.1403"
"BHLHE22","-0.76561969194797186","-0.76561969194797186","0.76561969194797186","Repressed","192","viper","192","0.76561969194797186",NA,NA,"3","ReMap--ChIP-seq(rank=94); ARCHS4--Coexpression(rank=558); GTEx--Coexpression(rank=703)","954","0.31650000000000000","ReMap ChIP-seq,0.3165"
"STAT4","0.75298096697390848","0.75298096697390848","0.75298096697390848","Activated","193","viper","193","0.75298096697390848",NA,NA,"4","Literature--ChIP-seq(rank=139); Enrichr--Queries(rank=927); GTEx--Coexpression(rank=1314); ARCHS4--Coexpression(rank=1424)","1462","0.66030000000000000","Enrichr Queries,0.6603"
"TAL1","0.74546870173873259","0.74546870173873259","0.74546870173873259","Activated","194","viper","194","0.74546870173873259",NA,NA,"6","ENCODE--ChIP-seq(rank=80); Literature--ChIP-seq(rank=98); ReMap--ChIP-seq(rank=219); Enrichr--Queries(rank=743); ARCHS4--Coexpression(rank=1076); GTEx--Coexpression(rank=1153)","1294","0.52920000000000000","Enrichr Queries,0.5292"
"PGR","0.74096483089038656","0.74096483089038656","0.74096483089038656","Activated","195","viper","195","0.74096483089038656",NA,NA,"4","ReMap--ChIP-seq(rank=93); GTEx--Coexpression(rank=111); ARCHS4--Coexpression(rank=345); Enrichr--Queries(rank=972)","275","0.06907000000000001","GTEx Coexpression,0.06907"
"PKNOX1","0.74037798124082554","0.74037798124082554","0.74037798124082554","Activated","196","viper","196","0.74037798124082554",NA,NA,"4","ReMap--ChIP-seq(rank=222); Enrichr--Queries(rank=745); GTEx--Coexpression(rank=1249); ARCHS4--Coexpression(rank=1558)","1298","0.53059999999999996","Enrichr Queries,0.5306"
"RUNX2","0.73576824560047760","0.73576824560047760","0.73576824560047760","Activated","197","viper","197","0.73576824560047760",NA,NA,"5","Literature--ChIP-seq(rank=50); ReMap--ChIP-seq(rank=126); Enrichr--Queries(rank=462); GTEx--Coexpression(rank=686); ARCHS4--Coexpression(rank=866)","933","0.30490000000000000","Literature ChIP-seq,0.3049"
"HINFP","-0.73247054838002001","-0.73247054838002001","0.73247054838002001","Repressed","198","viper","198","0.73247054838002001",NA,NA,"3","ReMap--ChIP-seq(rank=278); GTEx--Coexpression(rank=882); ARCHS4--Coexpression(rank=1581)","1331","0.54879999999999995","GTEx Coexpression,0.5488"
"HBP1","0.71902688456401731","0.71902688456401731","0.71902688456401731","Activated","199","viper","199","0.71902688456401731",NA,NA,"4","ReMap--ChIP-seq(rank=42); ARCHS4--Coexpression(rank=360); Enrichr--Queries(rank=468); GTEx--Coexpression(rank=1037)","526","0.14140000000000000","ReMap ChIP-seq,0.1414"
"FOXA1","0.70107851547109479","0.70107851547109479","0.70107851547109479","Activated","200","viper","200","0.70107851547109479",NA,NA,"6","ENCODE--ChIP-seq(rank=72); ARCHS4--Coexpression(rank=89); Literature--ChIP-seq(rank=101); Enrichr--Queries(rank=160); ReMap--ChIP-seq(rank=245); GTEx--Coexpression(rank=598)","213","0.05467000000000000","ARCHS4 Coexpression,0.05467"
"NCOA3","-0.68330045337389811","-0.68330045337389811","0.68330045337389811","Repressed","201","viper","201","0.68330045337389811",NA,NA,"4","ReMap--ChIP-seq(rank=213); GTEx--Coexpression(rank=251); ARCHS4--Coexpression(rank=498); Enrichr--Queries(rank=609)","572","0.15620000000000001","GTEx Coexpression,0.1562"
"GATA2","0.63653870480006003","0.63653870480006003","0.63653870480006003","Activated","202","viper","202","0.63653870480006003",NA,NA,"6","Literature--ChIP-seq(rank=18); ENCODE--ChIP-seq(rank=22); GTEx--Coexpression(rank=183); Enrichr--Queries(rank=192); ReMap--ChIP-seq(rank=276); ARCHS4--Coexpression(rank=687)","419","0.10979999999999999","Literature ChIP-seq,0.1098"
"NR3C1","0.63167240472000385","0.63167240472000385","0.63167240472000385","Activated","203","viper","203","0.63167240472000385",NA,NA,"6","ENCODE--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=86); Literature--ChIP-seq(rank=111); ARCHS4--Coexpression(rank=700); Enrichr--Queries(rank=719); GTEx--Coexpression(rank=1065)","562","0.15250000000000000","ENCODE ChIP-seq,0.1525"
"FOSL1","0.63077526568672038","0.63077526568672038","0.63077526568672038","Activated","204","viper","204","0.63077526568672038",NA,NA,"5","ENCODE--ChIP-seq(rank=17); Enrichr--Queries(rank=90); ReMap--ChIP-seq(rank=117); ARCHS4--Coexpression(rank=159); GTEx--Coexpression(rank=452)","255","0.06410000000000000","Enrichr Queries,0.0641"
"ZFX","-0.62582701686360631","-0.62582701686360631","0.62582701686360631","Repressed","205","viper","205","0.62582701686360631",NA,NA,"5","ReMap--ChIP-seq(rank=131); Literature--ChIP-seq(rank=144); ARCHS4--Coexpression(rank=928); GTEx--Coexpression(rank=1307); Enrichr--Queries(rank=1335)","1169","0.44109999999999999","ReMap ChIP-seq,0.4411"
"SP4","0.62431755013467527","0.62431755013467527","0.62431755013467527","Activated","206","viper","206","0.62431755013467527",NA,NA,"5","ENCODE--ChIP-seq(rank=100); ReMap--ChIP-seq(rank=116); ARCHS4--Coexpression(rank=450); Enrichr--Queries(rank=928); GTEx--Coexpression(rank=1546)","869","0.27639999999999998","ARCHS4 Coexpression,0.2764"
"USF2","-0.59209633567500575","-0.59209633567500575","0.59209633567500575","Repressed","207","viper","207","0.59209633567500575",NA,NA,"5","ENCODE--ChIP-seq(rank=65); ReMap--ChIP-seq(rank=127); GTEx--Coexpression(rank=567); Enrichr--Queries(rank=865); ARCHS4--Coexpression(rank=945)","1012","0.35280000000000000","GTEx Coexpression,0.3528"
"FOSL2","0.58977341936422489","0.58977341936422489","0.58977341936422489","Activated","208","viper","208","0.58977341936422489",NA,NA,"5","ENCODE--ChIP-seq(rank=16); ReMap--ChIP-seq(rank=35); Enrichr--Queries(rank=381); GTEx--Coexpression(rank=535); ARCHS4--Coexpression(rank=564)","444","0.11780000000000000","ReMap ChIP-seq,0.1178"
"PDX1","0.57322192065307920","0.57322192065307920","0.57322192065307920","Activated","209","viper","209","0.57322192065307920",NA,NA,"5","Literature--ChIP-seq(rank=125); ReMap--ChIP-seq(rank=202); ARCHS4--Coexpression(rank=457); Enrichr--Queries(rank=1064); GTEx--Coexpression(rank=1132)","878","0.28070000000000001","ARCHS4 Coexpression,0.2807"
"NCOA2","-0.57272907492340885","-0.57272907492340885","0.57272907492340885","Repressed","210","viper","210","0.57272907492340885",NA,NA,"4","ReMap--ChIP-seq(rank=114); GTEx--Coexpression(rank=716); Enrichr--Queries(rank=1328); ARCHS4--Coexpression(rank=1373)","1066","0.38379999999999997","ReMap ChIP-seq,0.3838"
"POU2F2","0.56874614442640858","0.56874614442640858","0.56874614442640858","Activated","211","viper","211","0.56874614442640858",NA,NA,"5","ENCODE--ChIP-seq(rank=93); ReMap--ChIP-seq(rank=179); Enrichr--Queries(rank=491); ARCHS4--Coexpression(rank=783); GTEx--Coexpression(rank=786)","1006","0.34970000000000001","Enrichr Queries,0.3497"
"AHR","-0.56188020566919450","-0.56188020566919450","0.56188020566919450","Repressed","212","viper","212","0.56188020566919450",NA,NA,"5","Literature--ChIP-seq(rank=110); ReMap--ChIP-seq(rank=248); GTEx--Coexpression(rank=265); Enrichr--Queries(rank=327); ARCHS4--Coexpression(rank=574)","602","0.16489999999999999","GTEx Coexpression,0.1649"
"WT1","0.52442626110263180","0.52442626110263180","0.52442626110263180","Activated","213","viper","213","0.52442626110263180",NA,NA,"4","Literature--ChIP-seq(rank=16); ARCHS4--Coexpression(rank=350); Enrichr--Queries(rank=368); GTEx--Coexpression(rank=457)","374","0.09755999999999999","Literature ChIP-seq,0.09756"
"ATF6","0.51707019947600596","0.51707019947600596","0.51707019947600596","Activated","214","viper","214","0.51707019947600596",NA,NA,"3","GTEx--Coexpression(rank=697); ARCHS4--Coexpression(rank=699); Enrichr--Queries(rank=1201)","1150","0.42940000000000000","ARCHS4 Coexpression,0.4294"
"GLI2","0.51512717368112393","0.51512717368112393","0.51512717368112393","Activated","215","viper","215","0.51512717368112393",NA,NA,"3","ARCHS4--Coexpression(rank=185); Enrichr--Queries(rank=199); GTEx--Coexpression(rank=279)","434","0.11360000000000001","ARCHS4 Coexpression,0.1136"
"OTX2","0.50884728265936119","0.50884728265936119","0.50884728265936119","Activated","216","viper","216","0.50884728265936119",NA,NA,"4","ReMap--ChIP-seq(rank=293); ARCHS4--Coexpression(rank=622); GTEx--Coexpression(rank=840); Enrichr--Queries(rank=1071)","1065","0.38210000000000000","ARCHS4 Coexpression,0.3821"
"RUNX3","0.50696188604484593","0.50696188604484593","0.50696188604484593","Activated","217","viper","217","0.50696188604484593",NA,NA,"5","ENCODE--ChIP-seq(rank=28); ReMap--ChIP-seq(rank=274); Enrichr--Queries(rank=832); ARCHS4--Coexpression(rank=1247); GTEx--Coexpression(rank=1453)","781","0.23730000000000001","ENCODE ChIP-seq,0.2373"
"CEBPD","0.50400001622858415","0.50400001622858415","0.50400001622858415","Activated","218","viper","218","0.50400001622858415",NA,NA,"5","ReMap--ChIP-seq(rank=33); ENCODE--ChIP-seq(rank=111); Literature--ChIP-seq(rank=115); ARCHS4--Coexpression(rank=332); GTEx--Coexpression(rank=478)","424","0.11110000000000000","ReMap ChIP-seq,0.1111"
"SP2","0.50035937591140445","0.50035937591140445","0.50035937591140445","Activated","219","viper","219","0.50035937591140445",NA,NA,"5","ENCODE--ChIP-seq(rank=79); ReMap--ChIP-seq(rank=224); Enrichr--Queries(rank=808); ARCHS4--Coexpression(rank=913); GTEx--Coexpression(rank=1487)","1345","0.56079999999999997","ARCHS4 Coexpression,0.5608"
"CEBPA","-0.50016162355906812","-0.50016162355906812","0.50016162355906812","Repressed","220","viper","220","0.50016162355906812",NA,NA,"5","Literature--ChIP-seq(rank=134); ReMap--ChIP-seq(rank=277); Enrichr--Queries(rank=380); ARCHS4--Coexpression(rank=553); GTEx--Coexpression(rank=816)","855","0.27070000000000000","Enrichr Queries,0.2707"
"GABPA","-0.49074627626967782","-0.49074627626967782","0.49074627626967782","Repressed","221","viper","221","0.49074627626967782",NA,NA,"6","ENCODE--ChIP-seq(rank=92); ReMap--ChIP-seq(rank=103); Literature--ChIP-seq(rank=107); ARCHS4--Coexpression(rank=486); GTEx--Coexpression(rank=842); Enrichr--Queries(rank=924)","916","0.29849999999999999","ARCHS4 Coexpression,0.2985"
"CREB3","0.48033624714924134","0.48033624714924134","0.48033624714924134","Activated","222","viper","222","0.48033624714924134",NA,NA,"4","ReMap--ChIP-seq(rank=272); GTEx--Coexpression(rank=624); ARCHS4--Coexpression(rank=707); Enrichr--Queries(rank=792)","1076","0.38829999999999998","GTEx Coexpression,0.3883"
"FOXP1","0.47770358609272273","0.47770358609272273","0.47770358609272273","Activated","223","viper","223","0.47770358609272273",NA,NA,"5","Literature--ChIP-seq(rank=12); ReMap--ChIP-seq(rank=159); GTEx--Coexpression(rank=542); ARCHS4--Coexpression(rank=746); Enrichr--Queries(rank=991)","293","0.07317000000000000","Literature ChIP-seq,0.07317"
"GATA6","0.46809705954823411","0.46809705954823411","0.46809705954823411","Activated","224","viper","224","0.46809705954823411",NA,NA,"5","Literature--ChIP-seq(rank=34); ReMap--ChIP-seq(rank=158); Enrichr--Queries(rank=236); ARCHS4--Coexpression(rank=580); GTEx--Coexpression(rank=841)","610","0.16810000000000000","Enrichr Queries,0.1681"
"TCF4","-0.46012739265901775","-0.46012739265901775","0.46012739265901775","Repressed","225","viper","225","0.46012739265901775",NA,NA,"5","ReMap--ChIP-seq(rank=135); Literature--ChIP-seq(rank=147); Enrichr--Queries(rank=806); GTEx--Coexpression(rank=983); ARCHS4--Coexpression(rank=1379)","1185","0.45450000000000002","ReMap ChIP-seq,0.4545"
"FOXO4","0.45566899262702071","0.45566899262702071","0.45566899262702071","Activated","226","viper","226","0.45566899262702071",NA,NA,"3","Enrichr--Queries(rank=568); ARCHS4--Coexpression(rank=888); GTEx--Coexpression(rank=1159)","1100","0.40460000000000002","Enrichr Queries,0.4046"
"NANOG","0.43759245472452385","0.43759245472452385","0.43759245472452385","Activated","227","viper","227","0.43759245472452385",NA,NA,"6","Literature--ChIP-seq(rank=21); ENCODE--ChIP-seq(rank=75); ReMap--ChIP-seq(rank=106); GTEx--Coexpression(rank=235); Enrichr--Queries(rank=276); ARCHS4--Coexpression(rank=421)","483","0.12800000000000000","Literature ChIP-seq,0.128"
"ZNF24","0.42503531150272034","0.42503531150272034","0.42503531150272034","Activated","228","viper","228","0.42503531150272034",NA,NA,"4","ReMap--ChIP-seq(rank=229); GTEx--Coexpression(rank=745); Enrichr--Queries(rank=823); ARCHS4--Coexpression(rank=826)","1203","0.46360000000000001","GTEx Coexpression,0.4636"
