"TF","LD_HCT116","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"KLF1","3.84194266732334011","3.84194266732334011","3.84194266732334011","Activated","25","viper","25","3.84194266732334011",NA,NA,"5","Literature--ChIP-seq(rank=49); ReMap--ChIP-seq(rank=107); Enrichr--Queries(rank=342); ARCHS4--Coexpression(rank=363); GTEx--Coexpression(rank=1544)","748","0.22300000000000000","ARCHS4 Coexpression,0.223"
"NFE2","3.81627986788173423","3.81627986788173423","3.81627986788173423","Activated","26","viper","26","3.81627986788173423",NA,NA,"5","ENCODE--ChIP-seq(rank=97); ReMap--ChIP-seq(rank=225); Enrichr--Queries(rank=589); GTEx--Coexpression(rank=821); ARCHS4--Coexpression(rank=1149)","1131","0.41949999999999998","Enrichr Queries,0.4195"
"SNAI2","-3.71135933737204660","-3.71135933737204660","3.71135933737204660","Repressed","27","viper","27","3.71135933737204660",NA,NA,"4","ReMap--ChIP-seq(rank=2); Enrichr--Queries(rank=78); ARCHS4--Coexpression(rank=120); GTEx--Coexpression(rank=649)","23","0.00673400000000000","ReMap ChIP-seq,0.006734"
"MBD2","3.68882493678537982","3.68882493678537982","3.68882493678537982","Activated","28","viper","28","3.68882493678537982",NA,NA,"4","ReMap--ChIP-seq(rank=30); GTEx--Coexpression(rank=597); ARCHS4--Coexpression(rank=887); Enrichr--Queries(rank=1051)","386","0.10100000000000001","ReMap ChIP-seq,0.101"
"TEAD4","3.68544292115800820","3.68544292115800820","3.68544292115800820","Activated","29","viper","29","3.68544292115800820",NA,NA,"6","ENCODE--ChIP-seq(rank=9); Enrichr--Queries(rank=47); ReMap--ChIP-seq(rank=62); Literature--ChIP-seq(rank=150); ARCHS4--Coexpression(rank=515); GTEx--Coexpression(rank=902)","129","0.03348000000000000","Enrichr Queries,0.03348"
"SMAD4","3.68348602381725954","3.68348602381725954","3.68348602381725954","Activated","30","viper","30","3.68348602381725954",NA,NA,"5","Literature--ChIP-seq(rank=56); ReMap--ChIP-seq(rank=192); Enrichr--Queries(rank=1262); ARCHS4--Coexpression(rank=1311); GTEx--Coexpression(rank=1601)","992","0.34150000000000003","Literature ChIP-seq,0.3415"
"SREBF1","-3.65998876900287984","-3.65998876900287984","3.65998876900287984","Repressed","31","viper","31","3.65998876900287984",NA,NA,"6","ENCODE--ChIP-seq(rank=59); GTEx--Coexpression(rank=84); ReMap--ChIP-seq(rank=98); Literature--ChIP-seq(rank=152); Enrichr--Queries(rank=215); ARCHS4--Coexpression(rank=658)","202","0.05227000000000000","GTEx Coexpression,0.05227"
"MYOD1","3.63960394329119108","3.63960394329119108","3.63960394329119108","Activated","32","viper","32","3.63960394329119108",NA,NA,"5","ENCODE--ChIP-seq(rank=29); ReMap--ChIP-seq(rank=81); ARCHS4--Coexpression(rank=505); Enrichr--Queries(rank=779); GTEx--Coexpression(rank=891)","803","0.24579999999999999","ENCODE ChIP-seq,0.2458"
"IRF3","3.46117256669550022","3.46117256669550022","3.46117256669550022","Activated","33","viper","33","3.46117256669550022",NA,NA,"5","ENCODE--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=105); ARCHS4--Coexpression(rank=556); GTEx--Coexpression(rank=578); Enrichr--Queries(rank=1100)","913","0.29659999999999992","ENCODE ChIP-seq,0.2966"
"BHLHE40","-3.46006767779869318","-3.46006767779869318","3.46006767779869318","Repressed","34","viper","34","3.46006767779869318",NA,NA,"4","ENCODE--ChIP-seq(rank=31); ReMap--ChIP-seq(rank=43); GTEx--Coexpression(rank=79); ARCHS4--Coexpression(rank=254)","189","0.04916000000000000","GTEx Coexpression,0.04916"
