"TF","MD_ALL","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"THAP1","4.3530360010689070904","4.3530360010689070904","4.3530360010689070904","Activated","11","viper","11","4.3530360010689070904",NA,NA,"5","ENCODE--ChIP-seq(rank=112); ReMap--ChIP-seq(rank=156); Enrichr--Queries(rank=640); ARCHS4--Coexpression(rank=880); GTEx--Coexpression(rank=1236)","1246","0.455799999999999983","Enrichr Queries,0.4558"
"IRF4","4.2131747093632032630","4.2131747093632032630","4.2131747093632032630","Activated","12","viper","12","4.2131747093632032630",NA,NA,"5","ENCODE--ChIP-seq(rank=97); ReMap--ChIP-seq(rank=109); ARCHS4--Coexpression(rank=523); GTEx--Coexpression(rank=715); Enrichr--Queries(rank=1197)","968","0.321299999999999919","ARCHS4 Coexpression,0.3213"
"MYC","-4.1583313009934110838","-4.1583313009934110838","4.1583313009934110838","Repressed","13","viper","13","4.1583313009934110838",NA,NA,"6","Literature--ChIP-seq(rank=18); ENCODE--ChIP-seq(rank=57); ReMap--ChIP-seq(rank=227); GTEx--Coexpression(rank=739); Enrichr--Queries(rank=1263); ARCHS4--Coexpression(rank=1325)","420","0.109799999999999995","Literature ChIP-seq,0.1098"
"MAZ","3.8525838545096804388","3.8525838545096804388","3.8525838545096804388","Activated","14","viper","14","3.8525838545096804388",NA,NA,"5","ENCODE--ChIP-seq(rank=49); ReMap--ChIP-seq(rank=266); Enrichr--Queries(rank=850); ARCHS4--Coexpression(rank=1425); GTEx--Coexpression(rank=1539)","1175","0.415300000000000002","ENCODE ChIP-seq,0.4153"
"MYOD1","3.6465536599820920216","3.6465536599820920216","3.6465536599820920216","Activated","15","viper","15","3.6465536599820920216",NA,NA,"5","ENCODE--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=29); ARCHS4--Coexpression(rank=64); Enrichr--Queries(rank=422); GTEx--Coexpression(rank=1039)","164","0.039309999999999998","ARCHS4 Coexpression,0.03931"
"SIX5","3.6391712345097979586","3.6391712345097979586","3.6391712345097979586","Activated","16","viper","16","3.6391712345097979586",NA,NA,"5","ENCODE--ChIP-seq(rank=72); Enrichr--Queries(rank=118); ReMap--ChIP-seq(rank=127); GTEx--Coexpression(rank=582); ARCHS4--Coexpression(rank=833)","333","0.084050000000000000","Enrichr Queries,0.08405"
"NR2F1","3.6020513128797224667","3.6020513128797224667","3.6020513128797224667","Activated","17","viper","17","3.6020513128797224667",NA,NA,"4","ReMap--ChIP-seq(rank=104); Enrichr--Queries(rank=114); ARCHS4--Coexpression(rank=390); GTEx--Coexpression(rank=946)","323","0.081199999999999994","Enrichr Queries,0.0812"
"EBF1","3.5909381446789736536","3.5909381446789736536","3.5909381446789736536","Activated","18","viper","18","3.5909381446789736536",NA,NA,"5","GTEx--Coexpression(rank=17); Enrichr--Queries(rank=26); ENCODE--ChIP-seq(rank=56); ReMap--ChIP-seq(rank=222); ARCHS4--Coexpression(rank=1201)","48","0.010580000000000001","GTEx Coexpression,0.01058"
"IRF2","3.5167291173982615504","3.5167291173982615504","3.5167291173982615504","Activated","19","viper","19","3.5167291173982615504",NA,NA,"4","ReMap--ChIP-seq(rank=257); ARCHS4--Coexpression(rank=320); Enrichr--Queries(rank=538); GTEx--Coexpression(rank=1289)","686","0.196599999999999997","ARCHS4 Coexpression,0.1966"
"PBX3","3.4657655618472880121","3.4657655618472880121","3.4657655618472880121","Activated","20","viper","20","3.4657655618472880121",NA,NA,"5","ENCODE--ChIP-seq(rank=89); Enrichr--Queries(rank=109); ReMap--ChIP-seq(rank=246); ARCHS4--Coexpression(rank=465); GTEx--Coexpression(rank=674)","312","0.077640000000000001","Enrichr Queries,0.07764"
"BATF","3.4173068570226274865","3.4173068570226274865","3.4173068570226274865","Activated","21","viper","21","3.4173068570226274865",NA,NA,"5","ENCODE--ChIP-seq(rank=76); ReMap--ChIP-seq(rank=123); ARCHS4--Coexpression(rank=194); Enrichr--Queries(rank=387); GTEx--Coexpression(rank=1214)","456","0.119200000000000000","ARCHS4 Coexpression,0.1192"
"POU4F2","3.3516239221687706973","3.3516239221687706973","3.3516239221687706973","Activated","22","viper","22","3.3516239221687706973",NA,NA,"4","ReMap--ChIP-seq(rank=126); ARCHS4--Coexpression(rank=751); Enrichr--Queries(rank=792); GTEx--Coexpression(rank=1267)","1188","0.424200000000000021","ReMap ChIP-seq,0.4242"
"SIX2","3.3422420440632762961","3.3422420440632762961","3.3422420440632762961","Activated","23","viper","23","3.3422420440632762961",NA,NA,"4","ReMap--ChIP-seq(rank=2); ARCHS4--Coexpression(rank=78); Enrichr--Queries(rank=121); GTEx--Coexpression(rank=978)","29","0.006734000000000000","ReMap ChIP-seq,0.006734"
"MAFB","3.3322796637854636970","3.3322796637854636970","3.3322796637854636970","Activated","24","viper","24","3.3322796637854636970",NA,NA,"4","ReMap--ChIP-seq(rank=79); Enrichr--Queries(rank=230); GTEx--Coexpression(rank=435); ARCHS4--Coexpression(rank=533)","588","0.163800000000000001","Enrichr Queries,0.1638"
"ATF4","-3.3093280628310686176","-3.3093280628310686176","3.3093280628310686176","Repressed","25","viper","25","3.3093280628310686176",NA,NA,"4","ReMap--ChIP-seq(rank=16); GTEx--Coexpression(rank=366); Enrichr--Queries(rank=875); ARCHS4--Coexpression(rank=1360)","223","0.053870000000000001","ReMap ChIP-seq,0.05387"
"PROX1","3.3049115995892712760","3.3049115995892712760","3.3049115995892712760","Activated","26","viper","26","3.3049115995892712760",NA,NA,"4","ReMap--ChIP-seq(rank=41); Enrichr--Queries(rank=115); ARCHS4--Coexpression(rank=740); GTEx--Coexpression(rank=1364)","326","0.081909999999999997","Enrichr Queries,0.08191"
"ASCL1","3.2748317468376497708","3.2748317468376497708","3.2748317468376497708","Activated","27","viper","27","3.2748317468376497708",NA,NA,"4","ReMap--ChIP-seq(rank=17); GTEx--Coexpression(rank=365); ARCHS4--Coexpression(rank=816); Enrichr--Queries(rank=1033)","235","0.057239999999999999","ReMap ChIP-seq,0.05724"
"STAT1","3.2303491339632364188","3.2303491339632364188","3.2303491339632364188","Activated","28","viper","28","3.2303491339632364188",NA,NA,"6","ENCODE--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=80); Literature--ChIP-seq(rank=116); Enrichr--Queries(rank=305); ARCHS4--Coexpression(rank=544); GTEx--Coexpression(rank=778)","604","0.169500000000000012","ENCODE ChIP-seq,0.1695"
"MAFF","3.2151571705601780238","3.2151571705601780238","3.2151571705601780238","Activated","29","viper","29","3.2151571705601780238",NA,NA,"5","ENCODE--ChIP-seq(rank=103); ReMap--ChIP-seq(rank=145); GTEx--Coexpression(rank=165); ARCHS4--Coexpression(rank=570); Enrichr--Queries(rank=690)","396","0.102700000000000000","GTEx Coexpression,0.1027"
"CTCFL","3.1613112197841974904","3.1613112197841974904","3.1613112197841974904","Activated","30","viper","30","3.1613112197841974904",NA,NA,"5","ENCODE--ChIP-seq(rank=29); ReMap--ChIP-seq(rank=135); ARCHS4--Coexpression(rank=378); GTEx--Coexpression(rank=680); Enrichr--Queries(rank=833)","778","0.232199999999999990","ARCHS4 Coexpression,0.2322"
"CLOCK","3.1222114575892989663","3.1222114575892989663","3.1222114575892989663","Activated","31","viper","31","3.1222114575892989663",NA,NA,"5","ReMap--ChIP-seq(rank=33); Literature--ChIP-seq(rank=56); GTEx--Coexpression(rank=911); Enrichr--Queries(rank=995); ARCHS4--Coexpression(rank=1030)","426","0.111100000000000004","ReMap ChIP-seq,0.1111"
"IRF1","3.0469557549723464973","3.0469557549723464973","3.0469557549723464973","Activated","32","viper","32","3.0469557549723464973",NA,NA,"6","ENCODE--ChIP-seq(rank=88); Literature--ChIP-seq(rank=103); ReMap--ChIP-seq(rank=130); ARCHS4--Coexpression(rank=293); Enrichr--Queries(rank=408); GTEx--Coexpression(rank=1215)","637","0.179999999999999993","ARCHS4 Coexpression,0.18"
"TFAP4","2.9912720198485343026","2.9912720198485343026","2.9912720198485343026","Activated","33","viper","33","2.9912720198485343026",NA,NA,"4","ReMap--ChIP-seq(rank=140); ARCHS4--Coexpression(rank=389); Enrichr--Queries(rank=1337); GTEx--Coexpression(rank=1352)","797","0.238900000000000001","ARCHS4 Coexpression,0.2389"
"RBPJ","2.9903843858002634448","2.9903843858002634448","2.9903843858002634448","Activated","34","viper","34","2.9903843858002634448",NA,NA,"5","Literature--ChIP-seq(rank=74); GTEx--Coexpression(rank=83); ReMap--ChIP-seq(rank=219); Enrichr--Queries(rank=246); ARCHS4--Coexpression(rank=597)","214","0.051650000000000001","GTEx Coexpression,0.05165"
"RUNX2","2.9449193122870225281","2.9449193122870225281","2.9449193122870225281","Activated","35","viper","35","2.9449193122870225281",NA,NA,"5","GTEx--Coexpression(rank=9); Literature--ChIP-seq(rank=12); ReMap--ChIP-seq(rank=24); Enrichr--Queries(rank=315); ARCHS4--Coexpression(rank=561)","24","0.005600000000000000","GTEx Coexpression,0.0056"
"BCL11A","2.8724201447498027839","2.8724201447498027839","2.8724201447498027839","Activated","36","viper","36","2.8724201447498027839",NA,NA,"5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=76); ARCHS4--Coexpression(rank=252); GTEx--Coexpression(rank=468); Enrichr--Queries(rank=664)","37","0.008475000000000000","ENCODE ChIP-seq,0.008475"
"LYL1","2.8522275679950985783","2.8522275679950985783","2.8522275679950985783","Activated","37","viper","37","2.8522275679950985783",NA,NA,"5","ReMap--ChIP-seq(rank=49); Literature--ChIP-seq(rank=86); Enrichr--Queries(rank=969); GTEx--Coexpression(rank=1161); ARCHS4--Coexpression(rank=1190)","594","0.165000000000000008","ReMap ChIP-seq,0.165"
"ESRRA","2.7538016700449161611","2.7538016700449161611","2.7538016700449161611","Activated","38","viper","38","2.7538016700449161611",NA,NA,"5","ENCODE--ChIP-seq(rank=96); ReMap--ChIP-seq(rank=101); GTEx--Coexpression(rank=821); Enrichr--Queries(rank=1208); ARCHS4--Coexpression(rank=1525)","1010","0.340100000000000013","ReMap ChIP-seq,0.3401"
"NR4A1","2.7537958478639552595","2.7537958478639552595","2.7537958478639552595","Activated","39","viper","39","2.7537958478639552595",NA,NA,"4","ReMap--ChIP-seq(rank=276); GTEx--Coexpression(rank=564); ARCHS4--Coexpression(rank=659); Enrichr--Queries(rank=678)","1030","0.350999999999999979","GTEx Coexpression,0.351"
"GATA3","2.7433956695764907252","2.7433956695764907252","2.7433956695764907252","Activated","40","viper","40","2.7433956695764907252",NA,NA,"6","Literature--ChIP-seq(rank=5); ENCODE--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=18); Enrichr--Queries(rank=302); GTEx--Coexpression(rank=483); ARCHS4--Coexpression(rank=488)","131","0.030490000000000000","Literature ChIP-seq,0.03049"
"FOXP2","-2.7413122632045592297","-2.7413122632045592297","2.7413122632045592297","Repressed","41","viper","41","2.7413122632045592297",NA,NA,"6","ENCODE--ChIP-seq(rank=53); Literature--ChIP-seq(rank=79); ReMap--ChIP-seq(rank=182); GTEx--Coexpression(rank=241); Enrichr--Queries(rank=477); ARCHS4--Coexpression(rank=1393)","545","0.149999999999999994","GTEx Coexpression,0.15"
"JUNB","2.7288800522886731414","2.7288800522886731414","2.7288800522886731414","Activated","42","viper","42","2.7288800522886731414",NA,NA,"4","ReMap--ChIP-seq(rank=163); ARCHS4--Coexpression(rank=1070); Enrichr--Queries(rank=1118); GTEx--Coexpression(rank=1253)","1377","0.548799999999999955","ReMap ChIP-seq,0.5488"
"SP4","2.6887114340030118242","2.6887114340030118242","2.6887114340030118242","Activated","43","viper","43","2.6887114340030118242",NA,NA,"5","ReMap--ChIP-seq(rank=57); ENCODE--ChIP-seq(rank=108); Enrichr--Queries(rank=355); ARCHS4--Coexpression(rank=433); GTEx--Coexpression(rank=1412)","673","0.191899999999999987","ReMap ChIP-seq,0.1919"
"MAFG","2.6482851757535827986","2.6482851757535827986","2.6482851757535827986","Activated","44","viper","44","2.6482851757535827986",NA,NA,"4","ReMap--ChIP-seq(rank=241); GTEx--Coexpression(rank=1066); Enrichr--Queries(rank=1281); ARCHS4--Coexpression(rank=1465)","1505","0.663300000000000001","GTEx Coexpression,0.6633"
"PDX1","2.6334595007256185184","2.6334595007256185184","2.6334595007256185184","Activated","45","viper","45","2.6334595007256185184",NA,NA,"5","ReMap--ChIP-seq(rank=12); Literature--ChIP-seq(rank=138); ARCHS4--Coexpression(rank=182); Enrichr--Queries(rank=779); GTEx--Coexpression(rank=1185)","167","0.040399999999999998","ReMap ChIP-seq,0.0404"
"TCF4","2.6326274010438517337","2.6326274010438517337","2.6326274010438517337","Activated","46","viper","46","2.6326274010438517337",NA,NA,"5","ReMap--ChIP-seq(rank=14); Literature--ChIP-seq(rank=17); Enrichr--Queries(rank=65); ARCHS4--Coexpression(rank=387); GTEx--Coexpression(rank=389)","190","0.046300000000000001","Enrichr Queries,0.0463"
"CEBPG","2.6317853374474591277","2.6317853374474591277","2.6317853374474591277","Activated","47","viper","47","2.6317853374474591277",NA,NA,"4","ReMap--ChIP-seq(rank=114); ARCHS4--Coexpression(rank=555); Enrichr--Queries(rank=818); GTEx--Coexpression(rank=1203)","1012","0.340899999999999981","ARCHS4 Coexpression,0.3409"
"MEIS2","2.6200925938202739296","2.6200925938202739296","2.6200925938202739296","Activated","48","viper","48","2.6200925938202739296",NA,NA,"4","ARCHS4--Coexpression(rank=173); ReMap--ChIP-seq(rank=193); Enrichr--Queries(rank=213); GTEx--Coexpression(rank=326)","406","0.106300000000000006","ARCHS4 Coexpression,0.1063"
"TBP","2.6121057796452999966","2.6121057796452999966","2.6121057796452999966","Activated","49","viper","49","2.6121057796452999966",NA,NA,"5","ENCODE--ChIP-seq(rank=39); Literature--ChIP-seq(rank=77); ReMap--ChIP-seq(rank=264); GTEx--Coexpression(rank=814); ARCHS4--Coexpression(rank=937)","987","0.330500000000000016","ENCODE ChIP-seq,0.3305"
"IRF3","2.5711509284036306866","2.5711509284036306866","2.5711509284036306866","Activated","50","viper","50","2.5711509284036306866",NA,NA,"5","ENCODE--ChIP-seq(rank=109); ReMap--ChIP-seq(rank=271); ARCHS4--Coexpression(rank=1130); Enrichr--Queries(rank=1307); GTEx--Coexpression(rank=1585)","1538","0.694100000000000161","ARCHS4 Coexpression,0.6941"
"ETV1","2.5630959836229116888","2.5630959836229116888","2.5630959836229116888","Activated","51","viper","51","2.5630959836229116888",NA,NA,"4","GTEx--Coexpression(rank=104); ReMap--ChIP-seq(rank=187); ARCHS4--Coexpression(rank=356); Enrichr--Queries(rank=507)","263","0.064720000000000000","GTEx Coexpression,0.06472"
"TBX21","2.5123300763581419837","2.5123300763581419837","2.5123300763581419837","Activated","52","viper","52","2.5123300763581419837",NA,NA,"4","ReMap--ChIP-seq(rank=106); Enrichr--Queries(rank=394); ARCHS4--Coexpression(rank=697); GTEx--Coexpression(rank=1221)","891","0.280600000000000016","Enrichr Queries,0.2806"
"TCF7","2.4953778349188393548","2.4953778349188393548","2.4953778349188393548","Activated","53","viper","53","2.4953778349188393548",NA,NA,"5","Literature--ChIP-seq(rank=63); ReMap--ChIP-seq(rank=162); ARCHS4--Coexpression(rank=388); Enrichr--Queries(rank=549); GTEx--Coexpression(rank=1155)","796","0.238300000000000012","ARCHS4 Coexpression,0.2383"
"ZNF639","2.4921528475347818343","2.4921528475347818343","2.4921528475347818343","Activated","54","viper","54","2.4921528475347818343",NA,NA,"4","ReMap--ChIP-seq(rank=115); GTEx--Coexpression(rank=861); Enrichr--Queries(rank=927); ARCHS4--Coexpression(rank=1094)","1117","0.387199999999999989","ReMap ChIP-seq,0.3872"
"POU5F1","2.4535941109289391981","2.4535941109289391981","2.4535941109289391981","Activated","55","viper","55","2.4535941109289391981",NA,NA,"5","Literature--ChIP-seq(rank=23); ARCHS4--Coexpression(rank=50); ReMap--ChIP-seq(rank=149); GTEx--Coexpression(rank=355); Enrichr--Queries(rank=1108)","134","0.030710000000000001","ARCHS4 Coexpression,0.03071"
"MAFK","2.4378369096384440162","2.4378369096384440162","2.4378369096384440162","Activated","56","viper","56","2.4378369096384440162",NA,NA,"5","ENCODE--ChIP-seq(rank=28); ReMap--ChIP-seq(rank=56); GTEx--Coexpression(rank=709); Enrichr--Queries(rank=921); ARCHS4--Coexpression(rank=1542)","661","0.188599999999999990","ReMap ChIP-seq,0.1886"
"MBD2","2.4366846427523909391","2.4366846427523909391","2.4366846427523909391","Activated","57","viper","57","2.4366846427523909391",NA,NA,"4","ReMap--ChIP-seq(rank=21); Enrichr--Queries(rank=708); GTEx--Coexpression(rank=1059); ARCHS4--Coexpression(rank=1552)","293","0.070709999999999995","ReMap ChIP-seq,0.07071"
"NFE2L1","2.4215441992372874758","2.4215441992372874758","2.4215441992372874758","Activated","58","viper","58","2.4215441992372874758",NA,NA,"4","ReMap--ChIP-seq(rank=60); ARCHS4--Coexpression(rank=259); Enrichr--Queries(rank=488); GTEx--Coexpression(rank=673)","575","0.159099999999999991","ARCHS4 Coexpression,0.1591"
"SPI1","2.4023122919445318857","2.4023122919445318857","2.4023122919445318857","Activated","59","viper","59","2.4023122919445318857",NA,NA,"6","ENCODE--ChIP-seq(rank=59); Literature--ChIP-seq(rank=119); ReMap--ChIP-seq(rank=212); ARCHS4--Coexpression(rank=499); GTEx--Coexpression(rank=731); Enrichr--Queries(rank=979)","938","0.306499999999999995","ARCHS4 Coexpression,0.3065"
"IKZF1","2.3755351736446481681","2.3755351736446481681","2.3755351736446481681","Activated","60","viper","60","2.3755351736446481681",NA,NA,"6","ENCODE--ChIP-seq(rank=31); Literature--ChIP-seq(rank=53); ReMap--ChIP-seq(rank=141); Enrichr--Queries(rank=750); ARCHS4--Coexpression(rank=1025); GTEx--Coexpression(rank=1369)","845","0.262699999999999989","ENCODE ChIP-seq,0.2627"
"RELB","2.3663217685372686105","2.3663217685372686105","2.3663217685372686105","Activated","61","viper","61","2.3663217685372686105",NA,NA,"4","ReMap--ChIP-seq(rank=100); Enrichr--Queries(rank=691); ARCHS4--Coexpression(rank=801); GTEx--Coexpression(rank=1299)","1003","0.336699999999999999","ReMap ChIP-seq,0.3367"
"FOXO3","2.3512528120934197418","2.3512528120934197418","2.3512528120934197418","Activated","62","viper","62","2.3512528120934197418",NA,NA,"4","Literature--ChIP-seq(rank=65); GTEx--Coexpression(rank=805); Enrichr--Queries(rank=903); ARCHS4--Coexpression(rank=1248)","1136","0.396299999999999986","Literature ChIP-seq,0.3963"
"SOX13","2.3480075352441951431","2.3480075352441951431","2.3480075352441951431","Activated","63","viper","63","2.3480075352441951431",NA,NA,"4","Enrichr--Queries(rank=71); GTEx--Coexpression(rank=93); ARCHS4--Coexpression(rank=120); ReMap--ChIP-seq(rank=171)","208","0.050569999999999997","Enrichr Queries,0.05057"
"THAP11","2.3401594294636605120","2.3401594294636605120","2.3401594294636605120","Activated","64","viper","64","2.3401594294636605120",NA,NA,"5","Literature--ChIP-seq(rank=156); ReMap--ChIP-seq(rank=192); GTEx--Coexpression(rank=935); ARCHS4--Coexpression(rank=1013); Enrichr--Queries(rank=1365)","1421","0.581799999999999984","GTEx Coexpression,0.5818"
"ELF3","2.3081123195190680342","2.3081123195190680342","2.3081123195190680342","Activated","65","viper","65","2.3081123195190680342",NA,NA,"4","ReMap--ChIP-seq(rank=48); GTEx--Coexpression(rank=52); ARCHS4--Coexpression(rank=127); Enrichr--Queries(rank=346)","138","0.032360000000000000","GTEx Coexpression,0.03236"
"NCOA3","2.2900412751779617437","2.2900412751779617437","2.2900412751779617437","Activated","66","viper","66","2.2900412751779617437",NA,NA,"4","ReMap--ChIP-seq(rank=169); Enrichr--Queries(rank=288); ARCHS4--Coexpression(rank=409); GTEx--Coexpression(rank=714)","712","0.205100000000000005","Enrichr Queries,0.2051"
"ZNF143","2.2692040597964888704","2.2692040597964888704","2.2692040597964888704","Activated","67","viper","67","2.2692040597964888704",NA,NA,"5","ENCODE--ChIP-seq(rank=38); ReMap--ChIP-seq(rank=186); ARCHS4--Coexpression(rank=965); Enrichr--Queries(rank=1082); GTEx--Coexpression(rank=1252)","969","0.322000000000000008","ENCODE ChIP-seq,0.322"
"NFKB2","-2.2652519711136882563","-2.2652519711136882563","2.2652519711136882563","Repressed","68","viper","68","2.2652519711136882563",NA,NA,"4","ReMap--ChIP-seq(rank=50); GTEx--Coexpression(rank=464); Enrichr--Queries(rank=673); ARCHS4--Coexpression(rank=864)","601","0.168399999999999994","ReMap ChIP-seq,0.1684"
"KLF9","2.2605317284146915213","2.2605317284146915213","2.2605317284146915213","Activated","69","viper","69","2.2605317284146915213",NA,NA,"4","ARCHS4--Coexpression(rank=31); ReMap--ChIP-seq(rank=95); GTEx--Coexpression(rank=136); Enrichr--Queries(rank=229)","84","0.019040000000000001","ARCHS4 Coexpression,0.01904"
"GATA6","2.2501542588232816833","2.2501542588232816833","2.2501542588232816833","Activated","70","viper","70","2.2501542588232816833",NA,NA,"5","ReMap--ChIP-seq(rank=96); Literature--ChIP-seq(rank=122); Enrichr--Queries(rank=217); ARCHS4--Coexpression(rank=841); GTEx--Coexpression(rank=1607)","558","0.154599999999999987","Enrichr Queries,0.1546"
"PBX2","2.1865012225705067195","2.1865012225705067195","2.1865012225705067195","Activated","71","viper","71","2.1865012225705067195",NA,NA,"4","ReMap--ChIP-seq(rank=223); ARCHS4--Coexpression(rank=809); Enrichr--Queries(rank=1150); GTEx--Coexpression(rank=1454)","1312","0.496900000000000008","ARCHS4 Coexpression,0.4969"
"NFE2","2.1837170684287130484","2.1837170684287130484","2.1837170684287130484","Activated","72","viper","72","2.1837170684287130484",NA,NA,"5","ENCODE--ChIP-seq(rank=71); ReMap--ChIP-seq(rank=286); Enrichr--Queries(rank=388); ARCHS4--Coexpression(rank=784); GTEx--Coexpression(rank=799)","880","0.276399999999999979","Enrichr Queries,0.2764"
"KMT2A","-2.1825699917350247503","-2.1825699917350247503","2.1825699917350247503","Repressed","73","viper","73","2.1825699917350247503",NA,NA,"3","ReMap--ChIP-seq(rank=97); GTEx--Coexpression(rank=194); ARCHS4--Coexpression(rank=1306)","461","0.120700000000000002","GTEx Coexpression,0.1207"
"MNT","-2.1490880917697205987","-2.1490880917697205987","2.1490880917697205987","Repressed","74","viper","74","2.1490880917697205987",NA,NA,"4","ReMap--ChIP-seq(rank=234); Enrichr--Queries(rank=952); ARCHS4--Coexpression(rank=1292); GTEx--Coexpression(rank=1306)","1525","0.678100000000000036","Enrichr Queries,0.6781"
"SPIB","2.1436361583058136659","2.1436361583058136659","2.1436361583058136659","Activated","75","viper","75","2.1436361583058136659",NA,NA,"4","ReMap--ChIP-seq(rank=194); GTEx--Coexpression(rank=828); Enrichr--Queries(rank=991); ARCHS4--Coexpression(rank=1066)","1333","0.515199999999999991","GTEx Coexpression,0.5152"
"MEF2B","2.1355695153271692099","2.1355695153271692099","2.1355695153271692099","Activated","76","viper","76","2.1355695153271692099",NA,NA,"4","ReMap--ChIP-seq(rank=112); ARCHS4--Coexpression(rank=442); Enrichr--Queries(rank=881); GTEx--Coexpression(rank=1281)","871","0.271500000000000019","ARCHS4 Coexpression,0.2715"
"ARNT","2.1314288266827343676","2.1314288266827343676","2.1314288266827343676","Activated","77","viper","77","2.1314288266827343676",NA,NA,"5","Literature--ChIP-seq(rank=26); ReMap--ChIP-seq(rank=53); GTEx--Coexpression(rank=469); ARCHS4--Coexpression(rank=749); Enrichr--Queries(rank=1272)","572","0.158500000000000002","Literature ChIP-seq,0.1585"
