"statistic","source","condition","score","p_value","TF","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","Method_Direction","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"ora","BCL6","HD_ALL","0.69718521453677418","0.200823617299336926179","BCL6","101","trrust","101","0.69718521453677418","0.200823617299336926179",NA,"","5","Literature--ChIP-seq(rank=47); ReMap--ChIP-seq(rank=202); Enrichr--Queries(rank=449); ARCHS4--Coexpression(rank=557); GTEx--Coexpression(rank=843)","933","0.28660000000000002","Literature ChIP-seq,0.2866"
"ora","ATF2","HD_ALL","0.68911769373783760","0.204589012568229117184","ATF2","102","trrust","102","0.68911769373783760","0.204589012568229117184",NA,"","5","ENCODE--ChIP-seq(rank=90); ReMap--ChIP-seq(rank=265); GTEx--Coexpression(rank=838); Enrichr--Queries(rank=1272); ARCHS4--Coexpression(rank=1374)","1351","0.52149999999999996","GTEx Coexpression,0.5215"
"ora","HDAC9","HD_ALL","0.65944645615637643","0.219055188293288433110","HDAC9","103","trrust","103","0.65944645615637643","0.219055188293288433110",NA,"","0","",NA,NA,NA
"ora","HIF1A","HD_ALL","0.65766262887685856","0.219956789019068926772","HIF1A","104","trrust","104","0.65766262887685856","0.219956789019068926772",NA,"","5","Literature--ChIP-seq(rank=78); ARCHS4--Coexpression(rank=170); ReMap--ChIP-seq(rank=196); GTEx--Coexpression(rank=327); Enrichr--Queries(rank=456)","421","0.10440000000000001","ARCHS4 Coexpression,0.1044"
"ora","RELA","HD_ALL","0.65440527371136348","0.221612741498622478620","RELA","105","trrust","105","0.65440527371136348","0.221612741498622478620",NA,"","6","Literature--ChIP-seq(rank=21); ENCODE--ChIP-seq(rank=65); ReMap--ChIP-seq(rank=239); GTEx--Coexpression(rank=529); Enrichr--Queries(rank=842); ARCHS4--Coexpression(rank=965)","495","0.12800000000000000","Literature ChIP-seq,0.128"
"ora","AATF","HD_ALL","0.65413852238184222","0.221748901764305145212","AATF","106","trrust","106","0.65413852238184222","0.221748901764305145212",NA,"","0","",NA,NA,NA
"ora","AIP","HD_ALL","0.65413852238184222","0.221748901764305145212","AIP","107","trrust","107","0.65413852238184222","0.221748901764305145212",NA,"","0","",NA,NA,NA
"ora","CRX","HD_ALL","0.65413852238184222","0.221748901764305145212","CRX","108","trrust","108","0.65413852238184222","0.221748901764305145212",NA,"","4","Literature--ChIP-seq(rank=81); Enrichr--Queries(rank=866); GTEx--Coexpression(rank=1100); ARCHS4--Coexpression(rank=1101)","1314","0.49390000000000001","Literature ChIP-seq,0.4939"
"ora","FHL2","HD_ALL","0.65413852238184222","0.221748901764305145212","FHL2","109","trrust","109","0.65413852238184222","0.221748901764305145212",NA,"","0","",NA,NA,NA
"ora","GABPA","HD_ALL","0.65413852238184222","0.221748901764305145212","GABPA","110","trrust","110","0.65413852238184222","0.221748901764305145212",NA,"","6","Literature--ChIP-seq(rank=17); ENCODE--ChIP-seq(rank=46); ReMap--ChIP-seq(rank=259); Enrichr--Queries(rank=900); GTEx--Coexpression(rank=1348); ARCHS4--Coexpression(rank=1586)","418","0.10370000000000000","Literature ChIP-seq,0.1037"
"ora","GTF3A","HD_ALL","0.65413852238184222","0.221748901764305145212","GTF3A","111","trrust","111","0.65413852238184222","0.221748901764305145212",NA,"","3","ARCHS4--Coexpression(rank=633); Enrichr--Queries(rank=1379); GTEx--Coexpression(rank=1552)","1156","0.38879999999999998","ARCHS4 Coexpression,0.3888"
"ora","HDAC11","HD_ALL","0.65413852238184222","0.221748901764305145212","HDAC11","112","trrust","112","0.65413852238184222","0.221748901764305145212",NA,"","0","",NA,NA,NA
"ora","HOXA7","HD_ALL","0.65413852238184222","0.221748901764305145212","HOXA7","113","trrust","113","0.65413852238184222","0.221748901764305145212",NA,"","3","Enrichr--Queries(rank=577); ARCHS4--Coexpression(rank=592); GTEx--Coexpression(rank=1340)","1105","0.36359999999999998","ARCHS4 Coexpression,0.3636"
"ora","IFI16","HD_ALL","0.65413852238184222","0.221748901764305145212","IFI16","114","trrust","114","0.65413852238184222","0.221748901764305145212",NA,"","0","",NA,NA,NA
"ora","MAX","HD_ALL","0.65413852238184222","0.221748901764305145212","MAX","115","trrust","115","0.65413852238184222","0.221748901764305145212",NA,"","5","ENCODE--ChIP-seq(rank=38); ReMap--ChIP-seq(rank=258); GTEx--Coexpression(rank=448); ARCHS4--Coexpression(rank=488); Enrichr--Queries(rank=1093)","912","0.27879999999999999","GTEx Coexpression,0.2788"
"ora","NCOR2","HD_ALL","0.65413852238184222","0.221748901764305145212","NCOR2","116","trrust","116","0.65413852238184222","0.221748901764305145212",NA,"","0","",NA,NA,NA
"ora","SMAD2","HD_ALL","0.65413852238184222","0.221748901764305145212","SMAD2","117","trrust","117","0.65413852238184222","0.221748901764305145212",NA,"","0","",NA,NA,NA
"ora","TFAP2B","HD_ALL","0.65413852238184222","0.221748901764305145212","TFAP2B","118","trrust","118","0.65413852238184222","0.221748901764305145212",NA,"","3","GTEx--Coexpression(rank=57); ARCHS4--Coexpression(rank=457); Enrichr--Queries(rank=1072)","142","0.03547000000000000","GTEx Coexpression,0.03547"
"ora","ZNF300","HD_ALL","0.65413852238184222","0.221748901764305145212","ZNF300","119","trrust","119","0.65413852238184222","0.221748901764305145212",NA,"","3","Enrichr--Queries(rank=274); GTEx--Coexpression(rank=783); ARCHS4--Coexpression(rank=1268)","693","0.19520000000000001","Enrichr Queries,0.1952"
"ora","ESR2","HD_ALL","0.62448943086456721","0.237416320045979706288","ESR2","120","trrust","120","0.62448943086456721","0.237416320045979706288",NA,"","5","Literature--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=30); ARCHS4--Coexpression(rank=197); GTEx--Coexpression(rank=662); Enrichr--Queries(rank=1030)","99","0.02439000000000000","Literature ChIP-seq,0.02439"
"ora","GATA2","HD_ALL","0.62448943086456721","0.237416320045979706288","GATA2","121","trrust","121","0.62448943086456721","0.237416320045979706288",NA,"","6","ENCODE--ChIP-seq(rank=29); ReMap--ChIP-seq(rank=40); Literature--ChIP-seq(rank=63); Enrichr--Queries(rank=111); GTEx--Coexpression(rank=217); ARCHS4--Coexpression(rank=525)","326","0.07906000000000001","Enrichr Queries,0.07906"
"ora","XBP1","HD_ALL","0.62448943086456721","0.237416320045979706288","XBP1","122","trrust","122","0.62448943086456721","0.237416320045979706288",NA,"","4","ARCHS4--Coexpression(rank=10); ReMap--ChIP-seq(rank=65); GTEx--Coexpression(rank=353); Enrichr--Queries(rank=463)","25","0.00614300000000000","ARCHS4 Coexpression,0.006143"
"ora","IRF1","HD_ALL","0.62311117940417826","0.238170967353952461876","IRF1","123","trrust","123","0.62311117940417826","0.238170967353952461876",NA,"","6","Literature--ChIP-seq(rank=72); ENCODE--ChIP-seq(rank=79); ReMap--ChIP-seq(rank=178); GTEx--Coexpression(rank=246); ARCHS4--Coexpression(rank=452); Enrichr--Queries(rank=642)","566","0.15310000000000001","GTEx Coexpression,0.1531"
"ora","NFYA","HD_ALL","0.59201319864521451","0.255850813009400213094","NFYA","124","trrust","124","0.59201319864521451","0.255850813009400213094",NA,"","5","ENCODE--ChIP-seq(rank=40); ReMap--ChIP-seq(rank=209); Enrichr--Queries(rank=753); GTEx--Coexpression(rank=1314); ARCHS4--Coexpression(rank=1616)","1049","0.33900000000000002","ENCODE ChIP-seq,0.339"
"ora","NR1H4","HD_ALL","0.59201319864521451","0.255850813009400213094","NR1H4","125","trrust","125","0.59201319864521451","0.255850813009400213094",NA,"","3","GTEx--Coexpression(rank=731); Enrichr--Queries(rank=881); ARCHS4--Coexpression(rank=922)","1257","0.45490000000000003","GTEx Coexpression,0.4549"
"ora","STAT6","HD_ALL","0.58999212533424394","0.257044238983388573239","STAT6","126","trrust","126","0.58999212533424394","0.257044238983388573239",NA,"","4","Literature--ChIP-seq(rank=115); GTEx--Coexpression(rank=610); ARCHS4--Coexpression(rank=634); Enrichr--Queries(rank=759)","1139","0.37959999999999999","GTEx Coexpression,0.3796"
"ora","STAT3","HD_ALL","0.58569662915830756","0.259599212591669570305","STAT3","127","trrust","127","0.58569662915830756","0.259599212591669570305",NA,"","6","Literature--ChIP-seq(rank=6); ENCODE--ChIP-seq(rank=31); ReMap--ChIP-seq(rank=193); GTEx--Coexpression(rank=307); Enrichr--Queries(rank=796); ARCHS4--Coexpression(rank=797)","148","0.03659000000000000","Literature ChIP-seq,0.03659"
"ora","ARID3A","HD_ALL","0.58533595147310291","0.259814896966830799485","ARID3A","128","trrust","128","0.58533595147310291","0.259814896966830799485",NA,"","5","ENCODE--ChIP-seq(rank=74); ReMap--ChIP-seq(rank=80); GTEx--Coexpression(rank=528); Enrichr--Queries(rank=682); ARCHS4--Coexpression(rank=912)","893","0.26939999999999997","ReMap ChIP-seq,0.2694"
"ora","FOXQ1","HD_ALL","0.58533595147310291","0.259814896966830799485","FOXQ1","129","trrust","129","0.58533595147310291","0.259814896966830799485",NA,"","3","ARCHS4--Coexpression(rank=19); GTEx--Coexpression(rank=52); Enrichr--Queries(rank=174)","49","0.01167000000000000","ARCHS4 Coexpression,0.01167"
"ora","HDGF","HD_ALL","0.58533595147310291","0.259814896966830799485","HDGF","130","trrust","130","0.58533595147310291","0.259814896966830799485",NA,"","0","",NA,NA,NA
"ora","LMX1B","HD_ALL","0.58533595147310291","0.259814896966830799485","LMX1B","131","trrust","131","0.58533595147310291","0.259814896966830799485",NA,"","3","ARCHS4--Coexpression(rank=35); GTEx--Coexpression(rank=155); Enrichr--Queries(rank=1009)","87","0.02150000000000000","ARCHS4 Coexpression,0.0215"
"ora","MEF2D","HD_ALL","0.58533595147310291","0.259814896966830799485","MEF2D","132","trrust","132","0.58533595147310291","0.259814896966830799485",NA,"","3","ARCHS4--Coexpression(rank=266); GTEx--Coexpression(rank=705); Enrichr--Queries(rank=1059)","598","0.16339999999999999","ARCHS4 Coexpression,0.1634"
