"TF","MD_HCT116","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"LYL1","4.496820896505216325","4.496820896505216325","4.496820896505216325","Activated","12","viper","12","4.496820896505216325",NA,NA,"5","Literature--ChIP-seq(rank=115); ReMap--ChIP-seq(rank=188); ARCHS4--Coexpression(rank=727); Enrichr--Queries(rank=881); GTEx--Coexpression(rank=1327)","1146","0.44660000000000000","ARCHS4 Coexpression,0.4466"
"MAZ","4.246710676630830683","4.246710676630830683","4.246710676630830683","Activated","13","viper","13","4.246710676630830683",NA,NA,"5","ReMap--ChIP-seq(rank=19); ENCODE--ChIP-seq(rank=34); Enrichr--Queries(rank=1125); GTEx--Coexpression(rank=1249); ARCHS4--Coexpression(rank=1421)","251","0.06397000000000000","ReMap ChIP-seq,0.06397"
"ASCL1","4.173204052664915231","4.173204052664915231","4.173204052664915231","Activated","14","viper","14","4.173204052664915231",NA,NA,"4","ReMap--ChIP-seq(rank=24); GTEx--Coexpression(rank=386); Enrichr--Queries(rank=1001); ARCHS4--Coexpression(rank=1289)","310","0.08081000000000001","ReMap ChIP-seq,0.08081"
"MYC","-4.078698561930078625","-4.078698561930078625","4.078698561930078625","Repressed","15","viper","15","4.078698561930078625",NA,NA,"6","Literature--ChIP-seq(rank=68); ENCODE--ChIP-seq(rank=69); ReMap--ChIP-seq(rank=114); Enrichr--Queries(rank=194); GTEx--Coexpression(rank=547); ARCHS4--Coexpression(rank=1428)","490","0.13819999999999999","Enrichr Queries,0.1382"
"TFDP1","-4.026881403907793811","-4.026881403907793811","4.026881403907793811","Repressed","16","viper","16","4.026881403907793811",NA,NA,"4","ReMap--ChIP-seq(rank=157); GTEx--Coexpression(rank=286); ARCHS4--Coexpression(rank=787); Enrichr--Queries(rank=800)","597","0.17799999999999999","GTEx Coexpression,0.178"
"CLOCK","3.914835334523091959","3.914835334523091959","3.914835334523091959","Activated","17","viper","17","3.914835334523091959",NA,NA,"5","Literature--ChIP-seq(rank=67); ReMap--ChIP-seq(rank=81); GTEx--Coexpression(rank=1076); ARCHS4--Coexpression(rank=1317); Enrichr--Queries(rank=1391)","828","0.27270000000000000","ReMap ChIP-seq,0.2727"
"TEAD1","3.796362295380707685","3.796362295380707685","3.796362295380707685","Activated","18","viper","18","3.796362295380707685",NA,NA,"4","ReMap--ChIP-seq(rank=20); ARCHS4--Coexpression(rank=119); Enrichr--Queries(rank=144); GTEx--Coexpression(rank=540)","262","0.06734000000000000","ReMap ChIP-seq,0.06734"
"E2F1","-3.618499069397797197","-3.618499069397797197","3.618499069397797197","Repressed","19","viper","19","3.618499069397797197",NA,NA,"6","ENCODE--ChIP-seq(rank=64); Literature--ChIP-seq(rank=108); ReMap--ChIP-seq(rank=143); GTEx--Coexpression(rank=211); Enrichr--Queries(rank=920); ARCHS4--Coexpression(rank=1212)","469","0.13130000000000000","GTEx Coexpression,0.1313"
"POU4F2","3.593546982575879234","3.593546982575879234","3.593546982575879234","Activated","20","viper","20","3.593546982575879234",NA,NA,"4","ReMap--ChIP-seq(rank=234); ARCHS4--Coexpression(rank=361); GTEx--Coexpression(rank=1052); Enrichr--Queries(rank=1270)","704","0.22170000000000001","ARCHS4 Coexpression,0.2217"
"PROX1","3.533676735037639016","3.533676735037639016","3.533676735037639016","Activated","21","viper","21","3.533676735037639016",NA,NA,"4","ReMap--ChIP-seq(rank=31); Enrichr--Queries(rank=410); ARCHS4--Coexpression(rank=726); GTEx--Coexpression(rank=969)","385","0.10440000000000001","ReMap ChIP-seq,0.1044"
"MBD2","3.511072731377362643","3.511072731377362643","3.511072731377362643","Activated","22","viper","22","3.511072731377362643",NA,NA,"4","ReMap--ChIP-seq(rank=6); GTEx--Coexpression(rank=820); ARCHS4--Coexpression(rank=954); Enrichr--Queries(rank=1082)","89","0.02020000000000000","ReMap ChIP-seq,0.0202"
"MAX","3.510559668505171427","3.510559668505171427","3.510559668505171427","Activated","23","viper","23","3.510559668505171427",NA,NA,"5","ReMap--ChIP-seq(rank=28); ENCODE--ChIP-seq(rank=68); ARCHS4--Coexpression(rank=598); Enrichr--Queries(rank=1022); GTEx--Coexpression(rank=1138)","353","0.09428000000000000","ReMap ChIP-seq,0.09428"
"BCL11A","3.457351269372809011","3.457351269372809011","3.457351269372809011","Activated","24","viper","24","3.457351269372809011",NA,NA,"5","ENCODE--ChIP-seq(rank=21); ReMap--ChIP-seq(rank=184); GTEx--Coexpression(rank=208); Enrichr--Queries(rank=360); ARCHS4--Coexpression(rank=1030)","463","0.12939999999999999","GTEx Coexpression,0.1294"
"TEAD4","3.402760791682895913","3.402760791682895913","3.402760791682895913","Activated","25","viper","25","3.402760791682895913",NA,NA,"6","ENCODE--ChIP-seq(rank=26); ReMap--ChIP-seq(rank=51); Literature--ChIP-seq(rank=64); Enrichr--Queries(rank=222); GTEx--Coexpression(rank=546); ARCHS4--Coexpression(rank=854)","540","0.15809999999999999","Enrichr Queries,0.1581"
"ETV1","3.392102409846840860","3.392102409846840860","3.392102409846840860","Activated","26","viper","26","3.392102409846840860",NA,NA,"4","Enrichr--Queries(rank=57); ReMap--ChIP-seq(rank=113); ARCHS4--Coexpression(rank=145); GTEx--Coexpression(rank=168)","173","0.04060000000000000","Enrichr Queries,0.0406"
"IRF1","3.327876042402104328","3.327876042402104328","3.327876042402104328","Activated","27","viper","27","3.327876042402104328",NA,NA,"6","ReMap--ChIP-seq(rank=89); ENCODE--ChIP-seq(rank=110); Literature--ChIP-seq(rank=114); ARCHS4--Coexpression(rank=531); Enrichr--Queries(rank=576); GTEx--Coexpression(rank=1133)","894","0.29970000000000002","ReMap ChIP-seq,0.2997"
"REST","-3.303115992899509745","-3.303115992899509745","3.303115992899509745","Repressed","28","viper","28","3.303115992899509745",NA,NA,"6","ENCODE--ChIP-seq(rank=17); ReMap--ChIP-seq(rank=37); Literature--ChIP-seq(rank=40); GTEx--Coexpression(rank=214); ARCHS4--Coexpression(rank=320); Enrichr--Queries(rank=1158)","443","0.12460000000000000","ReMap ChIP-seq,0.1246"
"KLF1","3.296682694162680338","3.296682694162680338","3.296682694162680338","Activated","29","viper","29","3.296682694162680338",NA,NA,"5","Literature--ChIP-seq(rank=52); ReMap--ChIP-seq(rank=68); ARCHS4--Coexpression(rank=532); Enrichr--Queries(rank=648); GTEx--Coexpression(rank=1340)","720","0.22900000000000001","ReMap ChIP-seq,0.229"
"RELB","3.252015586244216827","3.252015586244216827","3.252015586244216827","Activated","30","viper","30","3.252015586244216827",NA,NA,"4","ReMap--ChIP-seq(rank=177); Enrichr--Queries(rank=365); ARCHS4--Coexpression(rank=629); GTEx--Coexpression(rank=1062)","802","0.26000000000000001","Enrichr Queries,0.26"
"MXI1","-3.241730464246514121","-3.241730464246514121","3.241730464246514121","Repressed","31","viper","31","3.241730464246514121",NA,NA,"5","ENCODE--ChIP-seq(rank=62); ReMap--ChIP-seq(rank=165); Enrichr--Queries(rank=220); ARCHS4--Coexpression(rank=515); GTEx--Coexpression(rank=721)","536","0.15670000000000001","Enrichr Queries,0.1567"
"HNF1A","-3.227188369759803610","-3.227188369759803610","3.227188369759803610","Repressed","32","viper","32","3.227188369759803610",NA,NA,"3","ARCHS4--Coexpression(rank=409); GTEx--Coexpression(rank=697); Enrichr--Queries(rank=792)","782","0.25119999999999998","ARCHS4 Coexpression,0.2512"
"E2F6","-3.181917156660059476","-3.181917156660059476","3.181917156660059476","Repressed","33","viper","33","3.181917156660059476",NA,NA,"5","ReMap--ChIP-seq(rank=10); ENCODE--ChIP-seq(rank=54); ARCHS4--Coexpression(rank=425); Enrichr--Queries(rank=626); GTEx--Coexpression(rank=922)","142","0.03367000000000000","ReMap ChIP-seq,0.03367"
"MEF2A","3.163798860348287167","3.163798860348287167","3.163798860348287167","Activated","34","viper","34","3.163798860348287167",NA,NA,"6","Literature--ChIP-seq(rank=77); ENCODE--ChIP-seq(rank=88); ReMap--ChIP-seq(rank=274); ARCHS4--Coexpression(rank=326); Enrichr--Queries(rank=677); GTEx--Coexpression(rank=1191)","652","0.20019999999999999","ARCHS4 Coexpression,0.2002"
"IRF4","3.156210748849600733","3.156210748849600733","3.156210748849600733","Activated","35","viper","35","3.156210748849600733",NA,NA,"5","ENCODE--ChIP-seq(rank=117); ReMap--ChIP-seq(rank=153); ARCHS4--Coexpression(rank=585); Enrichr--Queries(rank=688); GTEx--Coexpression(rank=751)","996","0.35930000000000001","ARCHS4 Coexpression,0.3593"
"NR2C2","-3.117525622133107799","-3.117525622133107799","3.117525622133107799","Repressed","36","viper","36","3.117525622133107799",NA,NA,"5","ENCODE--ChIP-seq(rank=98); ReMap--ChIP-seq(rank=281); ARCHS4--Coexpression(rank=1287); Enrichr--Queries(rank=1386); GTEx--Coexpression(rank=1576)","1569","0.79049999999999998","ARCHS4 Coexpression,0.7905"
"SIX5","3.074811785348677162","3.074811785348677162","3.074811785348677162","Activated","37","viper","37","3.074811785348677162",NA,NA,"5","ENCODE--ChIP-seq(rank=101); ReMap--ChIP-seq(rank=137); Enrichr--Queries(rank=169); ARCHS4--Coexpression(rank=282); GTEx--Coexpression(rank=375)","429","0.12039999999999999","Enrichr Queries,0.1204"
"MEF2B","2.949677332842488120","2.949677332842488120","2.949677332842488120","Activated","38","viper","38","2.949677332842488120",NA,NA,"4","ReMap--ChIP-seq(rank=288); ARCHS4--Coexpression(rank=399); Enrichr--Queries(rank=630); GTEx--Coexpression(rank=1221)","765","0.24510000000000001","ARCHS4 Coexpression,0.2451"
"NFE2L2","-2.941949643013682891","-2.941949643013682891","2.941949643013682891","Repressed","39","viper","39","2.941949643013682891",NA,NA,"5","GTEx--Coexpression(rank=16); Literature--ChIP-seq(rank=36); ReMap--ChIP-seq(rank=144); ARCHS4--Coexpression(rank=185); Enrichr--Queries(rank=380)","45","0.00995600000000000","GTEx Coexpression,0.009956"
"MYOD1","2.883843234941805278","2.883843234941805278","2.883843234941805278","Activated","40","viper","40","2.883843234941805278",NA,NA,"5","ENCODE--ChIP-seq(rank=6); ReMap--ChIP-seq(rank=12); ARCHS4--Coexpression(rank=207); GTEx--Coexpression(rank=683); Enrichr--Queries(rank=893)","171","0.04040000000000000","ReMap ChIP-seq,0.0404"
"MNT","-2.847396411536225802","-2.847396411536225802","2.847396411536225802","Repressed","41","viper","41","2.847396411536225802",NA,NA,"4","ReMap--ChIP-seq(rank=145); ARCHS4--Coexpression(rank=697); Enrichr--Queries(rank=874); GTEx--Coexpression(rank=1253)","1122","0.42809999999999998","ARCHS4 Coexpression,0.4281"
"FOXM1","-2.822062160491705551","-2.822062160491705551","2.822062160491705551","Repressed","42","viper","42","2.822062160491705551",NA,NA,"6","Literature--ChIP-seq(rank=13); ENCODE--ChIP-seq(rank=22); ReMap--ChIP-seq(rank=162); GTEx--Coexpression(rank=218); ARCHS4--Coexpression(rank=786); Enrichr--Queries(rank=953)","304","0.07926999999999999","Literature ChIP-seq,0.07927"
"MYCN","-2.759726150709102654","-2.759726150709102654","2.759726150709102654","Repressed","43","viper","43","2.759726150709102654",NA,NA,"5","ReMap--ChIP-seq(rank=36); Enrichr--Queries(rank=120); Literature--ChIP-seq(rank=135); GTEx--Coexpression(rank=233); ARCHS4--Coexpression(rank=457)","327","0.08547000000000000","Enrichr Queries,0.08547"
"RELA","2.744492969768406176","2.744492969768406176","2.744492969768406176","Activated","44","viper","44","2.744492969768406176",NA,NA,"6","Literature--ChIP-seq(rank=18); ENCODE--ChIP-seq(rank=48); ReMap--ChIP-seq(rank=152); Enrichr--Queries(rank=836); GTEx--Coexpression(rank=843); ARCHS4--Coexpression(rank=1533)","399","0.10979999999999999","Literature ChIP-seq,0.1098"
"TFAP4","2.700173307933708244","2.700173307933708244","2.700173307933708244","Activated","45","viper","45","2.700173307933708244",NA,NA,"4","ReMap--ChIP-seq(rank=40); ARCHS4--Coexpression(rank=947); Enrichr--Queries(rank=1058); GTEx--Coexpression(rank=1473)","481","0.13469999999999999","ReMap ChIP-seq,0.1347"
"NR3C1","-2.690933873756228056","-2.690933873756228056","2.690933873756228056","Repressed","46","viper","46","2.690933873756228056",NA,NA,"6","ENCODE--ChIP-seq(rank=18); Literature--ChIP-seq(rank=28); ReMap--ChIP-seq(rank=84); Enrichr--Queries(rank=295); ARCHS4--Coexpression(rank=365); GTEx--Coexpression(rank=1357)","529","0.15250000000000000","ENCODE ChIP-seq,0.1525"
"HIF1A","-2.668989622801116290","-2.668989622801116290","2.668989622801116290","Repressed","47","viper","47","2.668989622801116290",NA,NA,"5","ReMap--ChIP-seq(rank=13); Literature--ChIP-seq(rank=69); ARCHS4--Coexpression(rank=99); Enrichr--Queries(rank=364); GTEx--Coexpression(rank=923)","186","0.04377000000000000","ReMap ChIP-seq,0.04377"
"RBPJ","2.668638282738958534","2.668638282738958534","2.668638282738958534","Activated","48","viper","48","2.668638282738958534",NA,NA,"5","Literature--ChIP-seq(rank=120); ReMap--ChIP-seq(rank=255); Enrichr--Queries(rank=567); GTEx--Coexpression(rank=784); ARCHS4--Coexpression(rank=881)","1086","0.40379999999999999","Enrichr Queries,0.4038"
"IKZF1","2.666321709287285735","2.666321709287285735","2.666321709287285735","Activated","49","viper","49","2.666321709287285735",NA,NA,"6","ENCODE--ChIP-seq(rank=71); ReMap--ChIP-seq(rank=106); Literature--ChIP-seq(rank=118); ARCHS4--Coexpression(rank=417); GTEx--Coexpression(rank=761); Enrichr--Queries(rank=1138)","795","0.25609999999999999","ARCHS4 Coexpression,0.2561"
"MBD1","-2.660909530102420373","-2.660909530102420373","2.660909530102420373","Repressed","50","viper","50","2.660909530102420373",NA,NA,"3","GTEx--Coexpression(rank=881); Enrichr--Queries(rank=1166); ARCHS4--Coexpression(rank=1501)","1316","0.54820000000000002","GTEx Coexpression,0.5482"
"MEF2C","2.548478437646231498","2.548478437646231498","2.548478437646231498","Activated","51","viper","51","2.548478437646231498",NA,NA,"5","ENCODE--ChIP-seq(rank=99); Enrichr--Queries(rank=185); ARCHS4--Coexpression(rank=201); ReMap--ChIP-seq(rank=276); GTEx--Coexpression(rank=1301)","438","0.12350000000000001","ARCHS4 Coexpression,0.1235"
"SIX2","2.535080136935627948","2.535080136935627948","2.535080136935627948","Activated","52","viper","52","2.535080136935627948",NA,NA,"4","ARCHS4--Coexpression(rank=199); ReMap--ChIP-seq(rank=223); Enrichr--Queries(rank=299); GTEx--Coexpression(rank=634)","434","0.12220000000000000","ARCHS4 Coexpression,0.1222"
"NEUROD1","2.531404757336925826","2.531404757336925826","2.531404757336925826","Activated","53","viper","53","2.531404757336925826",NA,NA,"4","ReMap--ChIP-seq(rank=60); GTEx--Coexpression(rank=115); ARCHS4--Coexpression(rank=494); Enrichr--Queries(rank=1156)","275","0.07156000000000000","GTEx Coexpression,0.07156"
"ZNF143","2.498544679758575970","2.498544679758575970","2.498544679758575970","Activated","54","viper","54","2.498544679758575970",NA,NA,"5","ReMap--ChIP-seq(rank=49); ENCODE--ChIP-seq(rank=67); ARCHS4--Coexpression(rank=880); Enrichr--Queries(rank=1096); GTEx--Coexpression(rank=1600)","562","0.16500000000000001","ReMap ChIP-seq,0.165"
"FLI1","-2.472028812594352587","-2.472028812594352587","2.472028812594352587","Repressed","55","viper","55","2.472028812594352587",NA,NA,"6","ReMap--ChIP-seq(rank=69); ENCODE--ChIP-seq(rank=116); Literature--ChIP-seq(rank=137); GTEx--Coexpression(rank=484); ARCHS4--Coexpression(rank=620); Enrichr--Queries(rank=660)","729","0.23230000000000001","ReMap ChIP-seq,0.2323"
"PAX5","2.457550373260751986","2.457550373260751986","2.457550373260751986","Activated","56","viper","56","2.457550373260751986",NA,NA,"5","ENCODE--ChIP-seq(rank=87); ReMap--ChIP-seq(rank=130); ARCHS4--Coexpression(rank=236); Enrichr--Queries(rank=674); GTEx--Coexpression(rank=765)","509","0.14499999999999999","ARCHS4 Coexpression,0.145"
"NR4A1","2.434863575259158530","2.434863575259158530","2.434863575259158530","Activated","57","viper","57","2.434863575259158530",NA,NA,"4","Enrichr--Queries(rank=113); ARCHS4--Coexpression(rank=176); ReMap--ChIP-seq(rank=245); GTEx--Coexpression(rank=465)","309","0.08048000000000000","Enrichr Queries,0.08048"
"POU5F1","2.404231106479721269","2.404231106479721269","2.404231106479721269","Activated","58","viper","58","2.404231106479721269",NA,NA,"5","Literature--ChIP-seq(rank=24); ReMap--ChIP-seq(rank=93); ARCHS4--Coexpression(rank=254); GTEx--Coexpression(rank=293); Enrichr--Queries(rank=671)","512","0.14630000000000001","Literature ChIP-seq,0.1463"
"ESRRA","2.398011519255374147","2.398011519255374147","2.398011519255374147","Activated","59","viper","59","2.398011519255374147",NA,NA,"5","ENCODE--ChIP-seq(rank=63); ReMap--ChIP-seq(rank=99); ARCHS4--Coexpression(rank=773); GTEx--Coexpression(rank=848); Enrichr--Queries(rank=924)","947","0.33329999999999999","ReMap ChIP-seq,0.3333"
"MAFB","2.347467235440822364","2.347467235440822364","2.347467235440822364","Activated","60","viper","60","2.347467235440822364",NA,NA,"4","Enrichr--Queries(rank=151); ReMap--ChIP-seq(rank=239); ARCHS4--Coexpression(rank=286); GTEx--Coexpression(rank=396)","393","0.10750000000000000","Enrichr Queries,0.1075"
"E2F3","-2.262070337705563094","-2.262070337705563094","2.262070337705563094","Repressed","61","viper","61","2.262070337705563094",NA,NA,"3","Enrichr--Queries(rank=523); ARCHS4--Coexpression(rank=965); GTEx--Coexpression(rank=1324)","1025","0.37250000000000000","Enrichr Queries,0.3725"
"MAFK","2.248773275575790986","2.248773275575790986","2.248773275575790986","Activated","62","viper","62","2.248773275575790986",NA,NA,"5","ENCODE--ChIP-seq(rank=20); GTEx--Coexpression(rank=136); ReMap--ChIP-seq(rank=224); Enrichr--Queries(rank=285); ARCHS4--Coexpression(rank=828)","324","0.08463000000000000","GTEx Coexpression,0.08463"
"TFAP2C","2.239244717904009807","2.239244717904009807","2.239244717904009807","Activated","63","viper","63","2.239244717904009807",NA,NA,"6","Enrichr--Queries(rank=9); Literature--ChIP-seq(rank=29); ReMap--ChIP-seq(rank=34); ENCODE--ChIP-seq(rank=38); ARCHS4--Coexpression(rank=101); GTEx--Coexpression(rank=116)","27","0.00641000000000000","Enrichr Queries,0.00641"
"NFE2","2.223300617176999783","2.223300617176999783","2.223300617176999783","Activated","64","viper","64","2.223300617176999783",NA,NA,"5","ENCODE--ChIP-seq(rank=73); ReMap--ChIP-seq(rank=226); Enrichr--Queries(rank=505); ARCHS4--Coexpression(rank=577); GTEx--Coexpression(rank=977)","985","0.35439999999999999","ARCHS4 Coexpression,0.3544"
"PBX2","2.219625880256740125","2.219625880256740125","2.219625880256740125","Activated","65","viper","65","2.219625880256740125",NA,NA,"4","ReMap--ChIP-seq(rank=104); Enrichr--Queries(rank=835); GTEx--Coexpression(rank=1167); ARCHS4--Coexpression(rank=1418)","976","0.35020000000000001","ReMap ChIP-seq,0.3502"
"ATF2","-2.216594739137448311","-2.216594739137448311","2.216594739137448311","Repressed","66","viper","66","2.216594739137448311",NA,NA,"5","ENCODE--ChIP-seq(rank=108); ReMap--ChIP-seq(rank=198); ARCHS4--Coexpression(rank=1018); GTEx--Coexpression(rank=1122); Enrichr--Queries(rank=1349)","1421","0.62529999999999997","ARCHS4 Coexpression,0.6253"
"CEBPA","-2.139130743995139472","-2.139130743995139472","2.139130743995139472","Repressed","67","viper","67","2.139130743995139472",NA,NA,"5","Literature--ChIP-seq(rank=116); Enrichr--Queries(rank=258); ReMap--ChIP-seq(rank=261); ARCHS4--Coexpression(rank=353); GTEx--Coexpression(rank=602)","611","0.18379999999999999","Enrichr Queries,0.1838"
"RUNX1","2.134589651451956449","2.134589651451956449","2.134589651451956449","Activated","68","viper","68","2.134589651451956449",NA,NA,"5","Literature--ChIP-seq(rank=91); ReMap--ChIP-seq(rank=181); Enrichr--Queries(rank=215); ARCHS4--Coexpression(rank=475); GTEx--Coexpression(rank=555)","531","0.15310000000000001","Enrichr Queries,0.1531"
"NFKB2","-2.094779923314643799","-2.094779923314643799","2.094779923314643799","Repressed","69","viper","69","2.094779923314643799",NA,NA,"4","ReMap--ChIP-seq(rank=147); Enrichr--Queries(rank=418); ARCHS4--Coexpression(rank=700); GTEx--Coexpression(rank=759)","890","0.29770000000000002","Enrichr Queries,0.2977"
"ATF4","-2.090866787729977805","-2.090866787729977805","2.090866787729977805","Repressed","70","viper","70","2.090866787729977805",NA,NA,"4","ReMap--ChIP-seq(rank=229); GTEx--Coexpression(rank=231); Enrichr--Queries(rank=1097); ARCHS4--Coexpression(rank=1578)","506","0.14369999999999999","GTEx Coexpression,0.1437"
"THAP11","2.080506843032372544","2.080506843032372544","2.080506843032372544","Activated","71","viper","71","2.080506843032372544",NA,NA,"5","Literature--ChIP-seq(rank=159); ReMap--ChIP-seq(rank=263); GTEx--Coexpression(rank=1080); ARCHS4--Coexpression(rank=1248); Enrichr--Queries(rank=1263)","1468","0.67210000000000003","GTEx Coexpression,0.6721"
"TCF12","2.068986034880596403","2.068986034880596403","2.068986034880596403","Activated","72","viper","72","2.068986034880596403",NA,NA,"5","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=48); ARCHS4--Coexpression(rank=243); GTEx--Coexpression(rank=415); Enrichr--Queries(rank=801)","72","0.01695000000000000","ENCODE ChIP-seq,0.01695"
"KLF4","-2.048820928654343732","-2.048820928654343732","2.048820928654343732","Repressed","73","viper","73","2.048820928654343732",NA,NA,"5","ReMap--ChIP-seq(rank=25); Literature--ChIP-seq(rank=34); Enrichr--Queries(rank=90); ARCHS4--Coexpression(rank=121); GTEx--Coexpression(rank=303)","252","0.06410000000000000","Enrichr Queries,0.0641"
"BATF","2.037274413016986863","2.037274413016986863","2.037274413016986863","Activated","74","viper","74","2.037274413016986863",NA,NA,"5","ENCODE--ChIP-seq(rank=92); ReMap--ChIP-seq(rank=270); ARCHS4--Coexpression(rank=368); Enrichr--Queries(rank=842); GTEx--Coexpression(rank=974)","714","0.22600000000000001","ARCHS4 Coexpression,0.226"
"ZNF639","2.017597418132658138","2.017597418132658138","2.017597418132658138","Activated","75","viper","75","2.017597418132658138",NA,NA,"4","ReMap--ChIP-seq(rank=208); ARCHS4--Coexpression(rank=823); GTEx--Coexpression(rank=1155); Enrichr--Queries(rank=1278)","1246","0.50549999999999995","ARCHS4 Coexpression,0.5055"
"BHLHE22","-2.014990494306546864","-2.014990494306546864","2.014990494306546864","Repressed","76","viper","76","2.014990494306546864",NA,NA,"3","ReMap--ChIP-seq(rank=77); GTEx--Coexpression(rank=175); ARCHS4--Coexpression(rank=222)","397","0.10890000000000000","GTEx Coexpression,0.1089"
"HSF1","-1.903295296407212511","-1.903295296407212511","1.903295296407212511","Repressed","77","viper","77","1.903295296407212511",NA,NA,"5","ReMap--ChIP-seq(rank=38); ENCODE--ChIP-seq(rank=72); Literature--ChIP-seq(rank=138); GTEx--Coexpression(rank=1381); ARCHS4--Coexpression(rank=1401)","457","0.12790000000000001","ReMap ChIP-seq,0.1279"
"PGR","1.898698306708748840","1.898698306708748840","1.898698306708748840","Activated","78","viper","78","1.898698306708748840",NA,NA,"4","ReMap--ChIP-seq(rank=70); ARCHS4--Coexpression(rank=95); GTEx--Coexpression(rank=160); Enrichr--Queries(rank=476)","234","0.05835000000000000","ARCHS4 Coexpression,0.05835"
