"TF","LD_SW480","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"NCOA2","3.850753870560555736","3.850753870560555736","3.850753870560555736","Activated","22","viper","22","3.850753870560555736",NA,NA,"4","ReMap--ChIP-seq(rank=126); Enrichr--Queries(rank=1186); ARCHS4--Coexpression(rank=1430); GTEx--Coexpression(rank=1560)","1100","0.42420000000000002","ReMap ChIP-seq,0.4242"
"PBX3","3.847472828885558194","3.847472828885558194","3.847472828885558194","Activated","23","viper","23","3.847472828885558194",NA,NA,"5","ENCODE--ChIP-seq(rank=63); ARCHS4--Coexpression(rank=127); ReMap--ChIP-seq(rank=245); Enrichr--Queries(rank=397); GTEx--Coexpression(rank=598)","335","0.07801000000000000","ARCHS4 Coexpression,0.07801"
"ZNF217","3.825970731652063250","3.825970731652063250","3.825970731652063250","Activated","24","viper","24","3.825970731652063250",NA,NA,"6","Literature--ChIP-seq(rank=13); ENCODE--ChIP-seq(rank=29); ReMap--ChIP-seq(rank=61); ARCHS4--Coexpression(rank=744); GTEx--Coexpression(rank=790); Enrichr--Queries(rank=961)","341","0.07926999999999999","Literature ChIP-seq,0.07927"
"POU4F2","3.815313281596393047","3.815313281596393047","3.815313281596393047","Activated","25","viper","25","3.815313281596393047",NA,NA,"4","ARCHS4--Coexpression(rank=107); ReMap--ChIP-seq(rank=216); Enrichr--Queries(rank=435); GTEx--Coexpression(rank=1519)","288","0.06572000000000000","ARCHS4 Coexpression,0.06572"
"MEF2A","3.799579782326889088","3.799579782326889088","3.799579782326889088","Activated","26","viper","26","3.799579782326889088",NA,NA,"6","ENCODE--ChIP-seq(rank=52); Literature--ChIP-seq(rank=83); ReMap--ChIP-seq(rank=135); ARCHS4--Coexpression(rank=271); GTEx--Coexpression(rank=763); Enrichr--Queries(rank=940)","598","0.16650000000000001","ARCHS4 Coexpression,0.1665"
"LYL1","3.749816373002100800","3.749816373002100800","3.749816373002100800","Activated","27","viper","27","3.749816373002100800",NA,NA,"5","Literature--ChIP-seq(rank=52); ReMap--ChIP-seq(rank=97); ARCHS4--Coexpression(rank=285); Enrichr--Queries(rank=676); GTEx--Coexpression(rank=696)","613","0.17510000000000001","ARCHS4 Coexpression,0.1751"
"PAX5","3.749346109436249908","3.749346109436249908","3.749346109436249908","Activated","28","viper","28","3.749346109436249908",NA,NA,"5","ENCODE--ChIP-seq(rank=69); ReMap--ChIP-seq(rank=221); Enrichr--Queries(rank=618); ARCHS4--Coexpression(rank=1018); GTEx--Coexpression(rank=1423)","1135","0.44019999999999998","Enrichr Queries,0.4402"
"ZNF384","3.742767144722774830","3.742767144722774830","3.742767144722774830","Activated","29","viper","29","3.742767144722774830",NA,NA,"5","ENCODE--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=117); GTEx--Coexpression(rank=758); Enrichr--Queries(rank=1386); ARCHS4--Coexpression(rank=1514)","999","0.35589999999999999","ENCODE ChIP-seq,0.3559"
"BHLHE40","-3.712977391542281680","-3.712977391542281680","3.712977391542281680","Repressed","30","viper","30","3.712977391542281680",NA,NA,"4","ENCODE--ChIP-seq(rank=74); ReMap--ChIP-seq(rank=102); GTEx--Coexpression(rank=647); ARCHS4--Coexpression(rank=1014)","974","0.34339999999999998","ReMap ChIP-seq,0.3434"
"KLF5","3.707563241112821650","3.707563241112821650","3.707563241112821650","Activated","31","viper","31","3.707563241112821650",NA,NA,"5","Literature--ChIP-seq(rank=107); ReMap--ChIP-seq(rank=175); ARCHS4--Coexpression(rank=209); GTEx--Coexpression(rank=354); Enrichr--Queries(rank=368)","496","0.12839999999999999","ARCHS4 Coexpression,0.1284"
"KDM5B","3.691040606716645911","3.691040606716645911","3.691040606716645911","Activated","32","viper","32","3.691040606716645911",NA,NA,"5","ReMap--ChIP-seq(rank=44); ENCODE--ChIP-seq(rank=59); Literature--ChIP-seq(rank=156); ARCHS4--Coexpression(rank=750); GTEx--Coexpression(rank=1402)","545","0.14810000000000001","ReMap ChIP-seq,0.1481"
"SREBF2","3.666646239628579274","3.666646239628579274","3.666646239628579274","Activated","33","viper","33","3.666646239628579274",NA,NA,"6","ENCODE--ChIP-seq(rank=55); Literature--ChIP-seq(rank=122); ReMap--ChIP-seq(rank=133); GTEx--Coexpression(rank=209); Enrichr--Queries(rank=1042); ARCHS4--Coexpression(rank=1490)","501","0.13009999999999999","GTEx Coexpression,0.1301"
"HMBOX1","-3.640850078883037799","-3.640850078883037799","3.640850078883037799","Repressed","34","viper","34","3.640850078883037799",NA,NA,"4","ReMap--ChIP-seq(rank=212); GTEx--Coexpression(rank=846); Enrichr--Queries(rank=1096); ARCHS4--Coexpression(rank=1509)","1275","0.52639999999999998","GTEx Coexpression,0.5264"
"PRDM1","3.632914839751820946","3.632914839751820946","3.632914839751820946","Activated","35","viper","35","3.632914839751820946",NA,NA,"5","ENCODE--ChIP-seq(rank=21); ReMap--ChIP-seq(rank=159); Enrichr--Queries(rank=297); ARCHS4--Coexpression(rank=354); GTEx--Coexpression(rank=885)","619","0.17799999999999999","ENCODE ChIP-seq,0.178"
"GFI1B","3.607660068190039926","3.607660068190039926","3.607660068190039926","Activated","36","viper","36","3.607660068190039926",NA,NA,"5","ARCHS4--Coexpression(rank=119); ReMap--ChIP-seq(rank=140); Literature--ChIP-seq(rank=155); Enrichr--Queries(rank=527); GTEx--Coexpression(rank=549)","316","0.07310000000000000","ARCHS4 Coexpression,0.0731"
"MAX","3.584178912027547792","3.584178912027547792","3.584178912027547792","Activated","37","viper","37","3.584178912027547792",NA,NA,"5","ENCODE--ChIP-seq(rank=53); ReMap--ChIP-seq(rank=101); ARCHS4--Coexpression(rank=199); GTEx--Coexpression(rank=635); Enrichr--Queries(rank=1302)","476","0.12220000000000000","ARCHS4 Coexpression,0.1222"
"FOXA1","3.564072911320856463","3.564072911320856463","3.564072911320856463","Activated","38","viper","38","3.564072911320856463",NA,NA,"6","ENCODE--ChIP-seq(rank=22); Literature--ChIP-seq(rank=28); ReMap--ChIP-seq(rank=95); ARCHS4--Coexpression(rank=260); Enrichr--Queries(rank=505); GTEx--Coexpression(rank=605)","581","0.15970000000000001","ARCHS4 Coexpression,0.1597"
"KLF9","3.456718178641481565","3.456718178641481565","3.456718178641481565","Activated","39","viper","39","3.456718178641481565",NA,NA,"4","ReMap--ChIP-seq(rank=32); ARCHS4--Coexpression(rank=171); Enrichr--Queries(rank=312); GTEx--Coexpression(rank=484)","427","0.10500000000000000","ARCHS4 Coexpression,0.105"
"POU5F1","3.418682778992570448","3.418682778992570448","3.418682778992570448","Activated","40","viper","40","3.418682778992570448",NA,NA,"5","Literature--ChIP-seq(rank=45); ReMap--ChIP-seq(rank=121); ARCHS4--Coexpression(rank=651); Enrichr--Queries(rank=931); GTEx--Coexpression(rank=932)","837","0.27439999999999998","Literature ChIP-seq,0.2744"
"EOMES","3.414720728900105140","3.414720728900105140","3.414720728900105140","Activated","41","viper","41","3.414720728900105140",NA,NA,"5","Literature--ChIP-seq(rank=72); ReMap--ChIP-seq(rank=110); ARCHS4--Coexpression(rank=398); Enrichr--Queries(rank=408); GTEx--Coexpression(rank=420)","773","0.24450000000000000","ARCHS4 Coexpression,0.2445"
"SMAD1","3.401445648275527756","3.401445648275527756","3.401445648275527756","Activated","42","viper","42","3.401445648275527756",NA,NA,"5","Literature--ChIP-seq(rank=104); ReMap--ChIP-seq(rank=226); ARCHS4--Coexpression(rank=471); Enrichr--Queries(rank=701); GTEx--Coexpression(rank=1567)","867","0.28930000000000000","ARCHS4 Coexpression,0.2893"
"PDX1","3.396824230732338190","3.396824230732338190","3.396824230732338190","Activated","43","viper","43","3.396824230732338190",NA,NA,"5","ReMap--ChIP-seq(rank=64); Literature--ChIP-seq(rank=145); ARCHS4--Coexpression(rank=213); Enrichr--Queries(rank=591); GTEx--Coexpression(rank=985)","503","0.13080000000000000","ARCHS4 Coexpression,0.1308"
"PROX1","3.378008243629183838","3.378008243629183838","3.378008243629183838","Activated","44","viper","44","3.378008243629183838",NA,NA,"4","ReMap--ChIP-seq(rank=4); Enrichr--Queries(rank=205); ARCHS4--Coexpression(rank=493); GTEx--Coexpression(rank=884)","60","0.01347000000000000","ReMap ChIP-seq,0.01347"
"CEBPA","3.338056302174675416","3.338056302174675416","3.338056302174675416","Activated","45","viper","45","3.338056302174675416",NA,NA,"5","Literature--ChIP-seq(rank=113); ReMap--ChIP-seq(rank=173); ARCHS4--Coexpression(rank=367); GTEx--Coexpression(rank=417); Enrichr--Queries(rank=774)","733","0.22539999999999999","ARCHS4 Coexpression,0.2254"
"FOXP2","-3.310621168243662815","-3.310621168243662815","3.310621168243662815","Repressed","46","viper","46","3.310621168243662815",NA,NA,"6","Enrichr--Queries(rank=20); ENCODE--ChIP-seq(rank=31); ReMap--ChIP-seq(rank=43); Literature--ChIP-seq(rank=101); GTEx--Coexpression(rank=548); ARCHS4--Coexpression(rank=648)","64","0.01425000000000000","Enrichr Queries,0.01425"
"ZEB1","-3.283773899120072670","-3.283773899120072670","3.283773899120072670","Repressed","47","viper","47","3.283773899120072670",NA,NA,"5","ENCODE--ChIP-seq(rank=54); ReMap--ChIP-seq(rank=219); ARCHS4--Coexpression(rank=392); GTEx--Coexpression(rank=432); Enrichr--Queries(rank=508)","764","0.24079999999999999","ARCHS4 Coexpression,0.2408"
"NR4A1","3.277158192138631243","3.277158192138631243","3.277158192138631243","Activated","48","viper","48","3.277158192138631243",NA,NA,"4","ReMap--ChIP-seq(rank=204); ARCHS4--Coexpression(rank=272); GTEx--Coexpression(rank=372); Enrichr--Queries(rank=570)","599","0.16710000000000000","ARCHS4 Coexpression,0.1671"
"NFE2","3.272557610839575748","3.272557610839575748","3.272557610839575748","Activated","49","viper","49","3.272557610839575748",NA,NA,"5","ENCODE--ChIP-seq(rank=56); ReMap--ChIP-seq(rank=227); ARCHS4--Coexpression(rank=385); Enrichr--Queries(rank=785); GTEx--Coexpression(rank=802)","757","0.23649999999999999","ARCHS4 Coexpression,0.2365"
"IRF3","3.213831528050971720","3.213831528050971720","3.213831528050971720","Activated","50","viper","50","3.213831528050971720",NA,NA,"5","ENCODE--ChIP-seq(rank=109); ReMap--ChIP-seq(rank=280); ARCHS4--Coexpression(rank=627); GTEx--Coexpression(rank=1289); Enrichr--Queries(rank=1297)","1044","0.38510000000000000","ARCHS4 Coexpression,0.3851"
"SOX13","3.205802903044188135","3.205802903044188135","3.205802903044188135","Activated","51","viper","51","3.205802903044188135",NA,NA,"4","ReMap--ChIP-seq(rank=137); GTEx--Coexpression(rank=383); Enrichr--Queries(rank=663); ARCHS4--Coexpression(rank=735)","761","0.23830000000000001","GTEx Coexpression,0.2383"
"PKNOX1","3.190978366305694536","3.190978366305694536","3.190978366305694536","Activated","52","viper","52","3.190978366305694536",NA,NA,"4","ReMap--ChIP-seq(rank=111); GTEx--Coexpression(rank=361); ARCHS4--Coexpression(rank=663); Enrichr--Queries(rank=1037)","730","0.22459999999999999","GTEx Coexpression,0.2246"
"MYOD1","3.185355023214421877","3.185355023214421877","3.185355023214421877","Activated","53","viper","53","3.185355023214421877",NA,NA,"5","ENCODE--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=33); ARCHS4--Coexpression(rank=288); Enrichr--Queries(rank=828); GTEx--Coexpression(rank=1055)","444","0.11110000000000000","ReMap ChIP-seq,0.1111"
"SNAI2","-3.096330334877989365","-3.096330334877989365","3.096330334877989365","Repressed","54","viper","54","3.096330334877989365",NA,NA,"4","ARCHS4--Coexpression(rank=5); Enrichr--Queries(rank=26); ReMap--ChIP-seq(rank=42); GTEx--Coexpression(rank=47)","12","0.00307100000000000","ARCHS4 Coexpression,0.003071"
"CREM","3.091051323082155466","3.091051323082155466","3.091051323082155466","Activated","55","viper","55","3.091051323082155466",NA,NA,"5","Literature--ChIP-seq(rank=158); ReMap--ChIP-seq(rank=223); ARCHS4--Coexpression(rank=353); Enrichr--Queries(rank=756); GTEx--Coexpression(rank=1452)","711","0.21679999999999999","ARCHS4 Coexpression,0.2168"
"IKZF1","3.078714839747289211","3.078714839747289211","3.078714839747289211","Activated","56","viper","56","3.078714839747289211",NA,NA,"6","ReMap--ChIP-seq(rank=38); ENCODE--ChIP-seq(rank=45); Literature--ChIP-seq(rank=77); ARCHS4--Coexpression(rank=412); GTEx--Coexpression(rank=476); Enrichr--Queries(rank=910)","494","0.12790000000000001","ReMap ChIP-seq,0.1279"
"MAF","3.036097396500981205","3.036097396500981205","3.036097396500981205","Activated","57","viper","57","3.036097396500981205",NA,NA,"4","GTEx--Coexpression(rank=75); ReMap--ChIP-seq(rank=143); ARCHS4--Coexpression(rank=265); Enrichr--Queries(rank=550)","208","0.04667000000000000","GTEx Coexpression,0.04667"
"ESRRA","3.025195312886430177","3.025195312886430177","3.025195312886430177","Activated","58","viper","58","3.025195312886430177",NA,NA,"5","ReMap--ChIP-seq(rank=50); ENCODE--ChIP-seq(rank=51); ARCHS4--Coexpression(rank=1071); GTEx--Coexpression(rank=1097); Enrichr--Queries(rank=1196)","602","0.16839999999999999","ReMap ChIP-seq,0.1684"
"MEIS2","3.023925827209308359","3.023925827209308359","3.023925827209308359","Activated","59","viper","59","3.023925827209308359",NA,NA,"4","ARCHS4--Coexpression(rank=61); Enrichr--Queries(rank=123); GTEx--Coexpression(rank=133); ReMap--ChIP-seq(rank=156)","170","0.03747000000000000","ARCHS4 Coexpression,0.03747"
"NCOA3","3.008605639550405719","3.008605639550405719","3.008605639550405719","Activated","60","viper","60","3.008605639550405719",NA,NA,"4","ReMap--ChIP-seq(rank=76); ARCHS4--Coexpression(rank=483); Enrichr--Queries(rank=1090); GTEx--Coexpression(rank=1589)","804","0.25590000000000002","ReMap ChIP-seq,0.2559"
"ARID3A","2.991430409738581098","2.991430409738581098","2.991430409738581098","Activated","61","viper","61","2.991430409738581098",NA,NA,"5","ENCODE--ChIP-seq(rank=87); ReMap--ChIP-seq(rank=277); GTEx--Coexpression(rank=564); Enrichr--Queries(rank=857); ARCHS4--Coexpression(rank=1471)","990","0.35099999999999998","GTEx Coexpression,0.351"
"NR2F6","-2.988954696782008646","-2.988954696782008646","2.988954696782008646","Repressed","62","viper","62","2.988954696782008646",NA,NA,"4","ReMap--ChIP-seq(rank=67); Enrichr--Queries(rank=928); ARCHS4--Coexpression(rank=1122); GTEx--Coexpression(rank=1337)","734","0.22559999999999999","ReMap ChIP-seq,0.2256"
"ONECUT1","2.966296561103021645","2.966296561103021645","2.966296561103021645","Activated","63","viper","63","2.966296561103021645",NA,NA,"4","ReMap--ChIP-seq(rank=60); ARCHS4--Coexpression(rank=225); Enrichr--Queries(rank=602); GTEx--Coexpression(rank=632)","521","0.13819999999999999","ARCHS4 Coexpression,0.1382"
"FOXO3","2.965992590136064422","2.965992590136064422","2.965992590136064422","Activated","64","viper","64","2.965992590136064422",NA,NA,"4","Literature--ChIP-seq(rank=50); GTEx--Coexpression(rank=805); Enrichr--Queries(rank=1099); ARCHS4--Coexpression(rank=1314)","896","0.30490000000000000","Literature ChIP-seq,0.3049"
"ATF4","-2.961122032283673100","-2.961122032283673100","2.961122032283673100","Repressed","65","viper","65","2.961122032283673100",NA,NA,"4","ReMap--ChIP-seq(rank=65); GTEx--Coexpression(rank=1214); Enrichr--Queries(rank=1272); ARCHS4--Coexpression(rank=1460)","715","0.21890000000000001","ReMap ChIP-seq,0.2189"
"PBX2","2.950892784657896062","2.950892784657896062","2.950892784657896062","Activated","66","viper","66","2.950892784657896062",NA,NA,"4","ReMap--ChIP-seq(rank=167); GTEx--Coexpression(rank=669); ARCHS4--Coexpression(rank=1116); Enrichr--Queries(rank=1221)","1086","0.41630000000000000","GTEx Coexpression,0.4163"
"ZKSCAN1","2.945042317563107304","2.945042317563107304","2.945042317563107304","Activated","67","viper","67","2.945042317563107304",NA,NA,"5","ENCODE--ChIP-seq(rank=27); ReMap--ChIP-seq(rank=58); ARCHS4--Coexpression(rank=576); GTEx--Coexpression(rank=1087); Enrichr--Queries(rank=1309)","660","0.19530000000000000","ReMap ChIP-seq,0.1953"
"BCL11A","2.914110515888749031","2.914110515888749031","2.914110515888749031","Activated","68","viper","68","2.914110515888749031",NA,NA,"5","ENCODE--ChIP-seq(rank=50); GTEx--Coexpression(rank=180); ReMap--ChIP-seq(rank=218); ARCHS4--Coexpression(rank=482); Enrichr--Queries(rank=566)","446","0.11200000000000000","GTEx Coexpression,0.112"
"THAP1","2.912963020596274877","2.912963020596274877","2.912963020596274877","Activated","69","viper","69","2.912963020596274877",NA,NA,"5","ReMap--ChIP-seq(rank=36); ENCODE--ChIP-seq(rank=115); ARCHS4--Coexpression(rank=1133); GTEx--Coexpression(rank=1254); Enrichr--Queries(rank=1269)","473","0.12120000000000000","ReMap ChIP-seq,0.1212"
"HNF4A","2.840268586518734040","2.840268586518734040","2.840268586518734040","Activated","70","viper","70","2.840268586518734040",NA,NA,"6","ENCODE--ChIP-seq(rank=67); Literature--ChIP-seq(rank=79); ReMap--ChIP-seq(rank=142); ARCHS4--Coexpression(rank=505); GTEx--Coexpression(rank=621); Enrichr--Queries(rank=1031)","908","0.31019999999999992","ARCHS4 Coexpression,0.3102"
"EBF1","2.797477468759054897","2.797477468759054897","2.797477468759054897","Activated","71","viper","71","2.797477468759054897",NA,NA,"5","Enrichr--Queries(rank=87); ENCODE--ChIP-seq(rank=97); GTEx--Coexpression(rank=160); ReMap--ChIP-seq(rank=166); ARCHS4--Coexpression(rank=182)","271","0.06197000000000000","Enrichr Queries,0.06197"
"TCF7","2.775752301668354960","2.775752301668354960","2.775752301668354960","Activated","72","viper","72","2.775752301668354960",NA,NA,"5","Literature--ChIP-seq(rank=46); ReMap--ChIP-seq(rank=115); GTEx--Coexpression(rank=255); ARCHS4--Coexpression(rank=318); Enrichr--Queries(rank=673)","577","0.15870000000000001","GTEx Coexpression,0.1587"
"TP73","2.769597649597315137","2.769597649597315137","2.769597649597315137","Activated","73","viper","73","2.769597649597315137",NA,NA,"3","GTEx--Coexpression(rank=241); Enrichr--Queries(rank=698); ARCHS4--Coexpression(rank=733)","551","0.14999999999999999","GTEx Coexpression,0.15"
"TFAP2C","2.765270932297248407","2.765270932297248407","2.765270932297248407","Activated","74","viper","74","2.765270932297248407",NA,NA,"6","Literature--ChIP-seq(rank=44); GTEx--Coexpression(rank=71); ReMap--ChIP-seq(rank=71); ENCODE--ChIP-seq(rank=104); Enrichr--Queries(rank=250); ARCHS4--Coexpression(rank=428)","201","0.04418000000000000","GTEx Coexpression,0.04418"
"ELF1","2.751826100035604128","2.751826100035604128","2.751826100035604128","Activated","75","viper","75","2.751826100035604128",NA,NA,"5","ENCODE--ChIP-seq(rank=84); Literature--ChIP-seq(rank=102); ReMap--ChIP-seq(rank=193); GTEx--Coexpression(rank=471); ARCHS4--Coexpression(rank=645)","873","0.29310000000000003","GTEx Coexpression,0.2931"
"HNF1B","2.741809613866426076","2.741809613866426076","2.741809613866426076","Activated","76","viper","76","2.741809613866426076",NA,NA,"3","ReMap--ChIP-seq(rank=25); ARCHS4--Coexpression(rank=499); Enrichr--Queries(rank=878)","357","0.08418000000000000","ReMap ChIP-seq,0.08418"
"TCF4","2.735106569926500697","2.735106569926500697","2.735106569926500697","Activated","77","viper","77","2.735106569926500697",NA,NA,"5","Literature--ChIP-seq(rank=30); ReMap--ChIP-seq(rank=46); ARCHS4--Coexpression(rank=176); GTEx--Coexpression(rank=393); Enrichr--Queries(rank=565)","435","0.10810000000000000","ARCHS4 Coexpression,0.1081"
"IRF4","2.670035829686611351","2.670035829686611351","2.670035829686611351","Activated","78","viper","78","2.670035829686611351",NA,NA,"5","ENCODE--ChIP-seq(rank=98); ReMap--ChIP-seq(rank=177); Enrichr--Queries(rank=740); ARCHS4--Coexpression(rank=747); GTEx--Coexpression(rank=1489)","1164","0.45879999999999999","ARCHS4 Coexpression,0.4588"
