"TF","HD_ALL","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"ESRRA","-2.483385908849191637","-2.483385908849191637","2.483385908849191637","Repressed","27","viper","27","2.483385908849191637",NA,NA,"5","ENCODE--ChIP-seq(rank=78); ReMap--ChIP-seq(rank=115); ARCHS4--Coexpression(rank=409); Enrichr--Queries(rank=991); GTEx--Coexpression(rank=1424)","845","0.251199999999999979","ARCHS4 Coexpression,0.2512"
"SOX6","-2.473830252934031471","-2.473830252934031471","2.473830252934031471","Repressed","28","viper","28","2.473830252934031471",NA,NA,"4","ReMap--ChIP-seq(rank=37); ARCHS4--Coexpression(rank=334); GTEx--Coexpression(rank=888); Enrichr--Queries(rank=969)","482","0.124600000000000002","ReMap ChIP-seq,0.1246"
"TBX21","-2.459575747156519387","-2.459575747156519387","2.459575747156519387","Repressed","29","viper","29","2.459575747156519387",NA,NA,"4","ReMap--ChIP-seq(rank=21); ARCHS4--Coexpression(rank=337); GTEx--Coexpression(rank=524); Enrichr--Queries(rank=1203)","290","0.070709999999999995","ReMap ChIP-seq,0.07071"
"KLF3","-2.403174940617232469","-2.403174940617232469","2.403174940617232469","Repressed","30","viper","30","2.403174940617232469",NA,NA,"4","ReMap--ChIP-seq(rank=58); GTEx--Coexpression(rank=91); Enrichr--Queries(rank=916); ARCHS4--Coexpression(rank=992)","228","0.056630000000000000","GTEx Coexpression,0.05663"
"SMAD3","-2.348912308901013102","-2.348912308901013102","2.348912308901013102","Repressed","31","viper","31","2.348912308901013102",NA,NA,"5","Literature--ChIP-seq(rank=57); ReMap--ChIP-seq(rank=96); ARCHS4--Coexpression(rank=496); Enrichr--Queries(rank=588); GTEx--Coexpression(rank=597)","979","0.304700000000000026","ARCHS4 Coexpression,0.3047"
"HNF1B","-2.295117559893798287","-2.295117559893798287","2.295117559893798287","Repressed","32","viper","32","2.295117559893798287",NA,NA,"3","ARCHS4--Coexpression(rank=24); ReMap--ChIP-seq(rank=161); Enrichr--Queries(rank=184)","60","0.014740000000000000","ARCHS4 Coexpression,0.01474"
"SP4","2.197744750493383581","2.197744750493383581","2.197744750493383581","Activated","33","viper","33","2.197744750493383581",NA,NA,"5","ENCODE--ChIP-seq(rank=106); ReMap--ChIP-seq(rank=237); Enrichr--Queries(rank=540); GTEx--Coexpression(rank=1223); ARCHS4--Coexpression(rank=1476)","1151","0.384599999999999997","Enrichr Queries,0.3846"
"HNF1A","-2.179253593938209388","-2.179253593938209388","2.179253593938209388","Repressed","34","viper","34","2.179253593938209388",NA,NA,"3","ARCHS4--Coexpression(rank=191); Enrichr--Queries(rank=380); GTEx--Coexpression(rank=835)","461","0.117300000000000001","ARCHS4 Coexpression,0.1173"
"SNAI2","2.154466305304065354","2.154466305304065354","2.154466305304065354","Activated","35","viper","35","2.154466305304065354",NA,NA,"4","ReMap--ChIP-seq(rank=12); ARCHS4--Coexpression(rank=50); Enrichr--Queries(rank=502); GTEx--Coexpression(rank=1022)","128","0.030710000000000001","ARCHS4 Coexpression,0.03071"
"HNF4G","-2.150650345915545270","-2.150650345915545270","2.150650345915545270","Repressed","36","viper","36","2.150650345915545270",NA,NA,"5","ReMap--ChIP-seq(rank=7); ARCHS4--Coexpression(rank=36); ENCODE--ChIP-seq(rank=41); GTEx--Coexpression(rank=230); Enrichr--Queries(rank=385)","89","0.022110000000000001","ARCHS4 Coexpression,0.02211"
"ESR1","-2.136716463635089713","-2.136716463635089713","2.136716463635089713","Repressed","37","viper","37","2.136716463635089713",NA,NA,"6","ReMap--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=14); ARCHS4--Coexpression(rank=29); Literature--ChIP-seq(rank=35); GTEx--Coexpression(rank=458); Enrichr--Queries(rank=589)","44","0.010100000000000000","ReMap ChIP-seq,0.0101"
"SNAPC4","2.133376473769171611","2.133376473769171611","2.133376473769171611","Activated","38","viper","38","2.133376473769171611",NA,NA,"4","ReMap--ChIP-seq(rank=221); Enrichr--Queries(rank=1081); GTEx--Coexpression(rank=1084); ARCHS4--Coexpression(rank=1334)","1508","0.674499999999999988","GTEx Coexpression,0.6745"
"TFAP4","-2.110818786975212635","-2.110818786975212635","2.110818786975212635","Repressed","39","viper","39","2.110818786975212635",NA,NA,"4","Enrichr--Queries(rank=31); ReMap--ChIP-seq(rank=56); ARCHS4--Coexpression(rank=328); GTEx--Coexpression(rank=1311)","88","0.022079999999999999","Enrichr Queries,0.02208"
"TP63","-2.089847011332240267","-2.089847011332240267","2.089847011332240267","Repressed","40","viper","40","2.089847011332240267",NA,NA,"5","Literature--ChIP-seq(rank=13); ReMap--ChIP-seq(rank=31); GTEx--Coexpression(rank=40); ARCHS4--Coexpression(rank=57); Enrichr--Queries(rank=377)","101","0.024889999999999999","GTEx Coexpression,0.02489"
"LYL1","-2.026568725440708985","-2.026568725440708985","2.026568725440708985","Repressed","41","viper","41","2.026568725440708985",NA,NA,"5","Literature--ChIP-seq(rank=99); ReMap--ChIP-seq(rank=135); ARCHS4--Coexpression(rank=893); Enrichr--Queries(rank=1153); GTEx--Coexpression(rank=1209)","1256","0.454500000000000015","ReMap ChIP-seq,0.4545"
"IRF9","1.957666674016107500","1.957666674016107500","1.957666674016107500","Activated","42","viper","42","1.957666674016107500",NA,NA,"4","GTEx--Coexpression(rank=131); ReMap--ChIP-seq(rank=143); ARCHS4--Coexpression(rank=282); Enrichr--Queries(rank=487)","337","0.081519999999999995","GTEx Coexpression,0.08152"
"KLF4","-1.948751825728351816","-1.948751825728351816","1.948751825728351816","Repressed","43","viper","43","1.948751825728351816",NA,NA,"5","ARCHS4--Coexpression(rank=23); Literature--ChIP-seq(rank=71); ReMap--ChIP-seq(rank=89); GTEx--Coexpression(rank=97); Enrichr--Queries(rank=455)","57","0.014130000000000000","ARCHS4 Coexpression,0.01413"
"NCOA3","1.925878463925465800","1.925878463925465800","1.925878463925465800","Activated","44","viper","44","1.925878463925465800",NA,NA,"4","ARCHS4--Coexpression(rank=20); ReMap--ChIP-seq(rank=148); Enrichr--Queries(rank=567); GTEx--Coexpression(rank=1065)","53","0.012290000000000001","ARCHS4 Coexpression,0.01229"
"TEAD4","-1.922809735298393052","-1.922809735298393052","1.922809735298393052","Repressed","45","viper","45","1.922809735298393052",NA,NA,"6","Enrichr--Queries(rank=20); ENCODE--ChIP-seq(rank=30); ReMap--ChIP-seq(rank=79); Literature--ChIP-seq(rank=98); ARCHS4--Coexpression(rank=775); GTEx--Coexpression(rank=959)","58","0.014250000000000001","Enrichr Queries,0.01425"
"GATA2","-1.844096241410607684","-1.844096241410607684","1.844096241410607684","Repressed","46","viper","46","1.844096241410607684",NA,NA,"6","ENCODE--ChIP-seq(rank=29); ReMap--ChIP-seq(rank=40); Literature--ChIP-seq(rank=63); Enrichr--Queries(rank=111); GTEx--Coexpression(rank=217); ARCHS4--Coexpression(rank=525)","326","0.079060000000000005","Enrichr Queries,0.07906"
"ESR2","-1.833204685240993115","-1.833204685240993115","1.833204685240993115","Repressed","47","viper","47","1.833204685240993115",NA,NA,"5","Literature--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=30); ARCHS4--Coexpression(rank=197); GTEx--Coexpression(rank=662); Enrichr--Queries(rank=1030)","99","0.024389999999999998","Literature ChIP-seq,0.02439"
"STAT5B","1.819722621464565870","1.819722621464565870","1.819722621464565870","Activated","48","viper","48","1.819722621464565870",NA,NA,"4","ReMap--ChIP-seq(rank=184); Enrichr--Queries(rank=850); ARCHS4--Coexpression(rank=1011); GTEx--Coexpression(rank=1109)","1447","0.605400000000000049","Enrichr Queries,0.6054"
"MAFK","-1.810484268652279738","-1.810484268652279738","1.810484268652279738","Repressed","49","viper","49","1.810484268652279738",NA,NA,"5","ENCODE--ChIP-seq(rank=25); ReMap--ChIP-seq(rank=106); Enrichr--Queries(rank=176); GTEx--Coexpression(rank=504); ARCHS4--Coexpression(rank=996)","484","0.125400000000000011","Enrichr Queries,0.1254"
"USF2","1.807447626678515551","1.807447626678515551","1.807447626678515551","Activated","50","viper","50","1.807447626678515551",NA,NA,"5","ENCODE--ChIP-seq(rank=49); ReMap--ChIP-seq(rank=120); GTEx--Coexpression(rank=543); ARCHS4--Coexpression(rank=982); Enrichr--Queries(rank=1038)","1048","0.337899999999999978","GTEx Coexpression,0.3379"
"CREM","-1.802022655896092340","-1.802022655896092340","1.802022655896092340","Repressed","51","viper","51","1.802022655896092340",NA,NA,"5","Literature--ChIP-seq(rank=113); ReMap--ChIP-seq(rank=233); Enrichr--Queries(rank=512); ARCHS4--Coexpression(rank=686); GTEx--Coexpression(rank=1599)","1107","0.364700000000000024","Enrichr Queries,0.3647"
"CEBPG","-1.770754037496430122","-1.770754037496430122","1.770754037496430122","Repressed","52","viper","52","1.770754037496430122",NA,NA,"4","ReMap--ChIP-seq(rank=10); ARCHS4--Coexpression(rank=26); Enrichr--Queries(rank=34); GTEx--Coexpression(rank=177)","66","0.015970000000000002","ARCHS4 Coexpression,0.01597"
"NR3C1","-1.751655471967543010","-1.751655471967543010","1.751655471967543010","Repressed","53","viper","53","1.751655471967543010",NA,NA,"6","Literature--ChIP-seq(rank=44); ENCODE--ChIP-seq(rank=59); ReMap--ChIP-seq(rank=121); ARCHS4--Coexpression(rank=434); Enrichr--Queries(rank=514); GTEx--Coexpression(rank=1155)","888","0.266600000000000004","ARCHS4 Coexpression,0.2666"
"GABPA","1.748098542480447382","1.748098542480447382","1.748098542480447382","Activated","54","viper","54","1.748098542480447382",NA,NA,"6","Literature--ChIP-seq(rank=17); ENCODE--ChIP-seq(rank=46); ReMap--ChIP-seq(rank=259); Enrichr--Queries(rank=900); GTEx--Coexpression(rank=1348); ARCHS4--Coexpression(rank=1586)","418","0.103700000000000001","Literature ChIP-seq,0.1037"
"MXI1","-1.733641361148382742","-1.733641361148382742","1.733641361148382742","Repressed","55","viper","55","1.733641361148382742",NA,NA,"5","ENCODE--ChIP-seq(rank=28); Enrichr--Queries(rank=269); ReMap--ChIP-seq(rank=285); ARCHS4--Coexpression(rank=526); GTEx--Coexpression(rank=546)","682","0.191599999999999993","Enrichr Queries,0.1916"
"NFE2","-1.725645095193338419","-1.725645095193338419","1.725645095193338419","Repressed","56","viper","56","1.725645095193338419",NA,NA,"5","ENCODE--ChIP-seq(rank=89); ReMap--ChIP-seq(rank=226); ARCHS4--Coexpression(rank=907); Enrichr--Queries(rank=923); GTEx--Coexpression(rank=1330)","1402","0.557100000000000040","ARCHS4 Coexpression,0.5571"
"IRF3","1.699684689595417852","1.699684689595417852","1.699684689595417852","Activated","57","viper","57","1.699684689595417852",NA,NA,"5","ENCODE--ChIP-seq(rank=63); ARCHS4--Coexpression(rank=210); ReMap--ChIP-seq(rank=262); GTEx--Coexpression(rank=482); Enrichr--Queries(rank=1226)","501","0.129000000000000004","ARCHS4 Coexpression,0.129"
"ELK1","-1.685655412812316456","-1.685655412812316456","1.685655412812316456","Repressed","58","viper","58","1.685655412812316456",NA,NA,"5","ENCODE--ChIP-seq(rank=102); Literature--ChIP-seq(rank=143); ReMap--ChIP-seq(rank=274); GTEx--Coexpression(rank=611); ARCHS4--Coexpression(rank=1475)","1140","0.380199999999999982","GTEx Coexpression,0.3802"
"SP3","-1.631700380171889675","-1.631700380171889675","1.631700380171889675","Repressed","59","viper","59","1.631700380171889675",NA,NA,"3","Enrichr--Queries(rank=897); ARCHS4--Coexpression(rank=1373); GTEx--Coexpression(rank=1377)","1479","0.638900000000000023","Enrichr Queries,0.6389"
"SREBF2","-1.612475990331049047","-1.612475990331049047","1.612475990331049047","Repressed","60","viper","60","1.612475990331049047",NA,NA,"6","ENCODE--ChIP-seq(rank=92); Literature--ChIP-seq(rank=108); ReMap--ChIP-seq(rank=244); GTEx--Coexpression(rank=718); Enrichr--Queries(rank=913); ARCHS4--Coexpression(rank=1439)","1245","0.446799999999999975","GTEx Coexpression,0.4468"
"LHX2","1.599619870799894539","1.599619870799894539","1.599619870799894539","Activated","61","viper","61","1.599619870799894539",NA,NA,"4","Enrichr--Queries(rank=262); ReMap--ChIP-seq(rank=294); GTEx--Coexpression(rank=460); ARCHS4--Coexpression(rank=864)","673","0.186599999999999988","Enrichr Queries,0.1866"
"MBD2","-1.596559371157498575","-1.596559371157498575","1.596559371157498575","Repressed","62","viper","62","1.596559371157498575",NA,NA,"4","ReMap--ChIP-seq(rank=24); ARCHS4--Coexpression(rank=609); Enrichr--Queries(rank=1138); GTEx--Coexpression(rank=1535)","334","0.080810000000000007","ReMap ChIP-seq,0.08081"
"NANOG","-1.580816118029518158","-1.580816118029518158","1.580816118029518158","Repressed","63","viper","63","1.580816118029518158",NA,NA,"6","Literature--ChIP-seq(rank=20); ENCODE--ChIP-seq(rank=88); ReMap--ChIP-seq(rank=235); GTEx--Coexpression(rank=563); ARCHS4--Coexpression(rank=613); Enrichr--Queries(rank=618)","477","0.121999999999999997","Literature ChIP-seq,0.122"
"NFYA","-1.572410730946902868","-1.572410730946902868","1.572410730946902868","Repressed","64","viper","64","1.572410730946902868",NA,NA,"5","ENCODE--ChIP-seq(rank=40); ReMap--ChIP-seq(rank=209); Enrichr--Queries(rank=753); GTEx--Coexpression(rank=1314); ARCHS4--Coexpression(rank=1616)","1049","0.339000000000000024","ENCODE ChIP-seq,0.339"
"MAX","-1.570764608568470999","-1.570764608568470999","1.570764608568470999","Repressed","65","viper","65","1.570764608568470999",NA,NA,"5","ENCODE--ChIP-seq(rank=38); ReMap--ChIP-seq(rank=258); GTEx--Coexpression(rank=448); ARCHS4--Coexpression(rank=488); Enrichr--Queries(rank=1093)","912","0.278799999999999992","GTEx Coexpression,0.2788"
"FOXA2","-1.569375713455917642","-1.569375713455917642","1.569375713455917642","Repressed","66","viper","66","1.569375713455917642",NA,NA,"6","Literature--ChIP-seq(rank=9); ENCODE--ChIP-seq(rank=50); ReMap--ChIP-seq(rank=81); Enrichr--Queries(rank=121); GTEx--Coexpression(rank=501); ARCHS4--Coexpression(rank=909)","220","0.054879999999999998","Literature ChIP-seq,0.05488"
"NCOA1","1.564792576671776070","1.564792576671776070","1.564792576671776070","Activated","67","viper","67","1.564792576671776070",NA,NA,"4","ReMap--ChIP-seq(rank=146); ARCHS4--Coexpression(rank=347); Enrichr--Queries(rank=772); GTEx--Coexpression(rank=910)","746","0.213100000000000012","ARCHS4 Coexpression,0.2131"
"MAFG","-1.539593610111085642","-1.539593610111085642","1.539593610111085642","Repressed","68","viper","68","1.539593610111085642",NA,NA,"4","ReMap--ChIP-seq(rank=128); Enrichr--Queries(rank=135); GTEx--Coexpression(rank=814); ARCHS4--Coexpression(rank=1432)","392","0.096150000000000013","Enrichr Queries,0.09615"
"WT1","-1.537220389646569263","-1.537220389646569263","1.537220389646569263","Repressed","69","viper","69","1.537220389646569263",NA,NA,"4","Literature--ChIP-seq(rank=12); ARCHS4--Coexpression(rank=174); Enrichr--Queries(rank=520); GTEx--Coexpression(rank=701)","300","0.073169999999999999","Literature ChIP-seq,0.07317"
"CDX2","-1.505319166944380394","-1.505319166944380394","1.505319166944380394","Repressed","70","viper","70","1.505319166944380394",NA,NA,"5","ARCHS4--Coexpression(rank=15); ReMap--ChIP-seq(rank=35); Literature--ChIP-seq(rank=64); GTEx--Coexpression(rank=198); Enrichr--Queries(rank=558)","39","0.009214000000000000","ARCHS4 Coexpression,0.009214"
"SIX2","-1.504987396643721054","-1.504987396643721054","1.504987396643721054","Repressed","71","viper","71","1.504987396643721054",NA,NA,"4","ReMap--ChIP-seq(rank=179); ARCHS4--Coexpression(rank=206); Enrichr--Queries(rank=324); GTEx--Coexpression(rank=687)","488","0.126500000000000001","ARCHS4 Coexpression,0.1265"
"HOXB13","-1.496982589379613593","-1.496982589379613593","1.496982589379613593","Repressed","72","viper","72","1.496982589379613593",NA,NA,"4","ReMap--ChIP-seq(rank=187); GTEx--Coexpression(rank=213); Enrichr--Queries(rank=301); ARCHS4--Coexpression(rank=343)","512","0.132500000000000007","GTEx Coexpression,0.1325"
"ZBED1","1.492624209179360228","1.492624209179360228","1.492624209179360228","Activated","73","viper","73","1.492624209179360228",NA,NA,"4","ReMap--ChIP-seq(rank=288); Enrichr--Queries(rank=413); ARCHS4--Coexpression(rank=417); GTEx--Coexpression(rank=786)","862","0.256099999999999994","ARCHS4 Coexpression,0.2561"
"CREB3L1","1.487978492696311106","1.487978492696311106","1.487978492696311106","Activated","74","viper","74","1.487978492696311106",NA,NA,"4","ARCHS4--Coexpression(rank=66); ReMap--ChIP-seq(rank=263); GTEx--Coexpression(rank=270); Enrichr--Queries(rank=503)","165","0.040540000000000000","ARCHS4 Coexpression,0.04054"
"NFYB","1.485886020261473206","1.485886020261473206","1.485886020261473206","Activated","75","viper","75","1.485886020261473206",NA,NA,"5","ENCODE--ChIP-seq(rank=26); ReMap--ChIP-seq(rank=34); Enrichr--Queries(rank=545); GTEx--Coexpression(rank=766); ARCHS4--Coexpression(rank=863)","454","0.114500000000000005","ReMap ChIP-seq,0.1145"
"FOSL2","1.472143282704678313","1.472143282704678313","1.472143282704678313","Activated","76","viper","76","1.472143282704678313",NA,NA,"5","ENCODE--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=94); GTEx--Coexpression(rank=291); Enrichr--Queries(rank=342); ARCHS4--Coexpression(rank=900)","241","0.059319999999999998","ENCODE ChIP-seq,0.05932"
"IKZF1","-1.448010410833006745","-1.448010410833006745","1.448010410833006745","Repressed","77","viper","77","1.448010410833006745",NA,NA,"6","ENCODE--ChIP-seq(rank=27); ReMap--ChIP-seq(rank=70); Literature--ChIP-seq(rank=110); ARCHS4--Coexpression(rank=323); GTEx--Coexpression(rank=520); Enrichr--Queries(rank=1150)","705","0.198399999999999993","ARCHS4 Coexpression,0.1984"
"SREBF1","-1.447696200635065544","-1.447696200635065544","1.447696200635065544","Repressed","78","viper","78","1.447696200635065544",NA,NA,"6","ENCODE--ChIP-seq(rank=84); Literature--ChIP-seq(rank=95); GTEx--Coexpression(rank=111); ReMap--ChIP-seq(rank=116); Enrichr--Queries(rank=464); ARCHS4--Coexpression(rank=681)","282","0.069070000000000006","GTEx Coexpression,0.06907"
