"TF","Best_Rank","Mean_Rank","Library_Count","Best_P_Value","Best_Adjusted_P_Value","Best_Combined_Score","Library","Top_Terms","Rank","Score","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","Method_Direction","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"PHOX2B","435","435.000000000000000","1","0.4513743936908166110022477824","0.7459674580196677950993944","0.881074386404431142417","ChEA_2022(rank=435, adjP=0.746)","PHOX2B 30127528 ChIP-Seq BE2C Human Brain Neuroblastoma","371","0.881074386404431142417","enrichr","371","0.881074386404431142417","0.4513743936908166110022477824","0.7459674580196677950993944","","3","GTEx--Coexpression(rank=219); ARCHS4--Coexpression(rank=810); Enrichr--Queries(rank=1241)","509","0.13630000000000000","GTEx Coexpression,0.1363"
"TAF7L","438","438.000000000000000","1","0.4564121551671778131975543147","0.7502665564391961527945796","0.889069276781402684229","ChEA_2022(rank=438, adjP=0.75)","TAF7L 23326641 ChIP-Seq C3H10T1-2 Mouse","372","0.889069276781402684229","enrichr","372","0.889069276781402684229","0.4564121551671778131975543147","0.7502665564391961527945796","","0","",NA,NA,NA
"SREBP2","439","439.000000000000000","1","0.4604909675271494085002643715","0.7552471449192422747742626","0.851040893516583407674","ChEA_2022(rank=439, adjP=0.755)","SREBP2 21459322 ChIP-Seq LIVER Mouse","373","0.851040893516583407674","enrichr","373","0.851040893516583407674","0.4604909675271494085002643715","0.7552471449192422747742626","","0","",NA,NA,NA
"SMC4","440","440.000000000000000","1","0.4659345851770300694916215889","0.7613393764277053277211849","0.807688586352599546814","ChEA_2022(rank=440, adjP=0.761)","SMC4 20622854 ChIP-Seq HELA Human","374","0.807688586352599546814","enrichr","374","0.807688586352599546814","0.4659345851770300694916215889","0.7613393764277053277211849","","0","",NA,NA,NA
"HOXB13","442","442.000000000000000","1","0.4692749994448707773209150673","0.7635762956366761722293290","0.800589789570099075178","ChEA_2022(rank=442, adjP=0.764)","HOXB13 26457646 ChIP-Seq LNCaP Human Prostate Carcinoma","375","0.800589789570099075178","enrichr","375","0.800589789570099075178","0.4692749994448707773209150673","0.7635762956366761722293290","","4","ReMap--ChIP-seq(rank=117); GTEx--Coexpression(rank=152); ARCHS4--Coexpression(rank=263); Enrichr--Queries(rank=410)","366","0.09458999999999999","GTEx Coexpression,0.09459"
"AUTS2","444","444.000000000000000","1","0.4708720489759504190807604118","0.7635762956366761722293290","0.817986112944445897810","ChEA_2022(rank=444, adjP=0.764)","AUTS2 25519132 ChIP-Seq 293T-REX Human","376","0.817986112944445897810","enrichr","376","0.817986112944445897810","0.4708720489759504190807604118","0.7635762956366761722293290","","0","",NA,NA,NA
"KAP1","458","458.000000000000000","1","0.5056497057319153665133626419","0.7937747745193547421749258","0.701752985437691156889","ChEA_2022(rank=458, adjP=0.794)","KAP1 27257070 Chip-Seq ESCs Mouse","377","0.701752985437691156889","enrichr","377","0.701752985437691156889","0.5056497057319153665133626419","0.7937747745193547421749258","","0","",NA,NA,NA
"POU2F2","462","462.000000000000000","1","0.9913281313095191338291556349","0.9999961280798164153793550","0.003611640371982755525","ENCODE_TF_ChIP-seq_2015(rank=462, adjP=1)","POU2F2 GM12878 hg19","378","0.003611640371982755525","enrichr","378","0.003611640371982755525","0.9913281313095191338291556349","0.9999961280798164153793550","","5","ENCODE--ChIP-seq(rank=102); ReMap--ChIP-seq(rank=176); Enrichr--Queries(rank=763); ARCHS4--Coexpression(rank=807); GTEx--Coexpression(rank=1081)","1309","0.49569999999999997","ARCHS4 Coexpression,0.4957"
"FOXI1","465","465.000000000000000","1","0.5175018453180979527417093777","0.7997094629984430325109201","0.764726971608874039887","ChEA_2022(rank=465, adjP=0.8)","FOXI1 33610681 ChIP-Seq GES1 Human Gastric Carcinoma","379","0.764726971608874039887","enrichr","379","0.764726971608874039887","0.5175018453180979527417093777","0.7997094629984430325109201","","3","GTEx--Coexpression(rank=503); ARCHS4--Coexpression(rank=529); Enrichr--Queries(rank=606)","949","0.31300000000000000","GTEx Coexpression,0.313"
"UTX","469","469.000000000000000","1","0.5383156646355756747013288077","0.8243541093219746151987692","0.620986967271342504837","ChEA_2022(rank=469, adjP=0.824)","UTX 26944678 Chip-Seq JUKART Human","380","0.620986967271342504837","enrichr","380","0.620986967271342504837","0.5383156646355756747013288077","0.8243541093219746151987692","","0","",NA,NA,NA
